date,GDP,CPI,UR,NFP,CCI,ICI,M1,M2,TY10,FSI,EPU,GPR,Serv PMI,Manu PMI
2014-01-01,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,3.01,-3.3,93.5,112.16,53.0,56.5
2014-01-02,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,3.0,-3.23,93.5,82.13,53.0,56.5
2014-01-03,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,3.01,-3.3,93.5,117.95,53.0,56.5
2014-01-06,17953.97,1.6,6.6,137561.0,81.2,28.8,2717.0,11179.0,2.98,-3.18,93.5,103.52,54.0,51.3
2014-01-07,17953.97,1.6,6.6,137561.0,81.2,28.8,2717.0,11179.0,2.96,-3.31,93.5,91.53,54.0,51.3
2014-01-08,17953.97,1.6,6.6,137561.0,81.2,28.8,2717.0,11179.0,3.01,-3.36,93.5,93.83,54.0,51.3
2014-01-09,17953.97,1.6,6.6,137561.0,81.2,28.8,2717.0,11179.0,2.97,-3.39,93.5,61.47,54.0,51.3
2014-01-10,17953.97,1.6,6.6,137561.0,81.2,28.8,2717.0,11179.0,2.88,-3.48,93.5,96.66,54.0,51.3
2014-01-13,17953.97,1.6,6.6,137561.0,81.2,28.8,2594.8,11131.1,2.84,-3.4,93.5,108.97,54.0,51.3
2014-01-14,17953.97,1.6,6.6,137561.0,81.2,28.8,2594.8,11131.1,2.88,-3.4,93.5,91.65,54.0,51.3
2014-01-15,17953.97,1.6,6.6,137561.0,81.2,28.8,2594.8,11131.1,2.9,-3.47,93.5,87.8,54.0,51.3
2014-01-16,17953.97,1.6,6.6,137561.0,81.2,28.8,2594.8,11131.1,2.86,-3.44,93.5,60.78,54.0,51.3
2014-01-17,17953.97,1.6,6.6,137561.0,81.2,28.8,2594.8,11131.1,2.84,-3.45,93.5,64.95,54.0,51.3
2014-01-20,17953.97,1.6,6.6,137561.0,81.2,28.8,2674.9,11100.9,2.75,-2.67,93.5,85.71,54.0,51.3
2014-01-21,17953.97,1.6,6.6,137561.0,81.2,28.8,2674.9,11100.9,2.85,-3.47,93.5,125.09,54.0,51.3
2014-01-22,17953.97,1.6,6.6,137561.0,81.2,28.8,2674.9,11100.9,2.87,-3.48,93.5,81.95,54.0,51.3
2014-01-23,17953.97,1.6,6.6,137561.0,81.2,28.8,2674.9,11100.9,2.79,-3.24,93.5,61.22,54.0,51.3
2014-01-24,17953.97,1.6,6.6,137561.0,81.2,28.8,2674.9,11100.9,2.75,-2.67,93.5,106.38,54.0,51.3
2014-01-27,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,2.78,-2.54,93.5,105.47,54.0,51.3
2014-01-28,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,2.77,-2.7,93.5,64.61,54.0,51.3
2014-01-29,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,2.69,-2.56,93.5,66.8,54.0,51.3
2014-01-30,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,2.72,-2.48,93.5,45.56,54.0,51.3
2014-01-31,17953.97,1.6,6.6,137561.0,81.2,28.8,2757.3,11033.2,2.67,-2.23,93.5,75.72,54.0,51.3
2014-02-03,17953.97,1.1,6.7,137712.0,81.6,26.6,2839.2,11089.1,2.61,-1.9,88.99,156.58,51.6,53.2
2014-02-04,17953.97,1.1,6.7,137712.0,81.6,26.6,2839.2,11089.1,2.64,-1.99,88.99,51.89,51.6,53.2
2014-02-05,17953.97,1.1,6.7,137712.0,81.6,26.6,2839.2,11089.1,2.7,-2.02,88.99,91.35,51.6,53.2
2014-02-06,17953.97,1.1,6.7,137712.0,81.6,26.6,2839.2,11089.1,2.73,-2.34,88.99,43.72,51.6,53.2
2014-02-07,17953.97,1.1,6.7,137712.0,81.6,26.6,2839.2,11089.1,2.71,-2.59,88.99,60.64,51.6,53.2
2014-02-10,17953.97,1.1,6.7,137712.0,81.6,26.6,2625.6,11138.3,2.7,-2.68,88.99,55.36,51.6,53.2
2014-02-11,17953.97,1.1,6.7,137712.0,81.6,26.6,2625.6,11138.3,2.75,-2.84,88.99,77.7,51.6,53.2
2014-02-12,17953.97,1.1,6.7,137712.0,81.6,26.6,2625.6,11138.3,2.8,-2.95,88.99,59.72,51.6,53.2
2014-02-13,17953.97,1.1,6.7,137712.0,81.6,26.6,2625.6,11138.3,2.73,-2.85,88.99,68.09,51.6,53.2
2014-02-14,17953.97,1.1,6.7,137712.0,81.6,26.6,2625.6,11138.3,2.75,-2.92,88.99,61.68,51.6,53.2
2014-02-17,17953.97,1.1,6.7,137712.0,81.6,26.6,2659.6,11187.0,2.73,-3.01,88.99,84.4,51.6,53.2
2014-02-18,17953.97,1.1,6.7,137712.0,81.6,26.6,2659.6,11187.0,2.71,-3.01,88.99,95.14,51.6,53.2
2014-02-19,17953.97,1.1,6.7,137712.0,81.6,26.6,2659.6,11187.0,2.73,-2.95,88.99,85.04,51.6,53.2
2014-02-20,17953.97,1.1,6.7,137712.0,81.6,26.6,2659.6,11187.0,2.76,-2.9,88.99,115.87,51.6,53.2
2014-02-21,17953.97,1.1,6.7,137712.0,81.6,26.6,2659.6,11187.0,2.73,-3.01,88.99,116.56,51.6,53.2
