date,GDP,CPI,UR,NFP,CCI,ICI,M1,M2,TY10,FSI,EPU,GPR,Serv PMI,Manu PMI
20160101,,,,,,,,,,,,208.84,,
20151231,"18,892.21",0.7,5,"143,077.00",92.6,18.8,,,2.27,-0.6,99.34,70.11,55.8,48.2
20151230,,,,,,,,,2.31,-0.65,,141.56,,
20151229,,,,,,,,,2.32,-0.79,,109.35,,
20151228,,,,,,,"3,312.00","12,453.00",2.24,-0.61,,147.82,,
20151227,,,,,,,,,,,,102.93,,
20151226,,,,,,,,,,,,135.35,,
20151225,,,,,,,,,,,,160.93,,
20151224,,,,,,,,,2.25,-0.72,,111.12,,
20151223,,,,,,,,,2.27,-0.72,,73.74,,
20151222,,,,,,,,,2.24,-0.55,,143.28,,
20151221,,,,,,,"3,168.40","12,461.70",2.2,-0.33,,165.02,,
20151220,,,,,,,,,,,,100.6,,
20151219,,,,,,,,,,,,115.44,,
20151218,,,,,,,,,2.19,-0.29,,134.48,,
20151217,,,,,,,,,2.24,-0.65,,162.98,,
20151216,,,,,,,,,2.3,-0.6,,170.6,,
20151215,,,,,,,,,2.28,-0.18,,142.26,,
20151214,,,,,,,"3,006.30","12,406.60",2.23,0.04,,119.42,,
20151213,,,,,,,,,,,,81.62,,
20151212,,,,,,,,,,,,103.65,,
20151211,,,,,,,,,2.13,-0.12,,150,,
20151210,,,,,,,,,2.24,-0.61,,147.41,,
20151209,,,,,,,,,2.22,-0.7,,199.5,,
20151208,,,,,,,,,2.24,-0.88,,197.98,,
20151207,,,,,,,"2,974.90","12,369.40",2.23,-1.1,,197.37,,
20151206,,,,,,,,,,,,135.34,,
20151205,,,,,,,,,,,,158.13,,
20151204,,,,,,,,,2.28,-1.15,,156.33,,
20151203,,,,,,,,,2.33,-1.06,,157.92,,
20151202,,,,,,,,,2.18,-0.96,,192.7,,
20151201,,,,,,,,,2.15,-1.02,,170.5,,
20151130,,0.5,5.1,"142,808.00",91.3,20.8,"3,193.60","12,304.60",2.21,-0.88,92.1,100.23,55.9,48.6
20151129,,,,,,,,,,,,103.52,,
20151128,,,,,,,,,,,,101.36,,
20151127,,,,,,,,,2.22,-1,,237.59,,
20151126,,,,,,,,,,,,172.98,,
20151125,,,,,,,,,2.23,-0.96,,247.62,,
20151124,,,,,,,,,2.24,-0.97,,246.84,,
20151123,,,,,,,"3,077.40","12,270.80",2.25,-1.03,,170.01,,
20151122,,,,,,,,,,,,203.53,,
20151121,,,,,,,,,,,,171.54,,
20151120,,,,,,,,,2.26,-1.13,,212.19,,
20151119,,,,,,,,,2.24,-0.99,,242.89,,
20151118,,,,,,,,,2.27,-0.88,,309.5,,
20151117,,,,,,,,,2.25,-0.78,,354.05,,
20151116,,,,,,,"2,970.10","12,323.50",2.27,-0.6,,291.99,,
20151115,,,,,,,,,,,,129.06,,
20151114,,,,,,,,,,,,121.15,,
20151113,,,,,,,,,2.28,-0.62,,61.57,,
20151112,,,,,,,,,2.32,-0.82,,44.12,,
20151111,,,,,,,,,,-1.01,,51.98,,
20151110,,,,,,,,,2.32,-0.95,,85.3,,
20151109,,,,,,,"2,963.40","12,291.90",2.36,-0.93,,87.31,,
20151108,,,,,,,,,,,,84.11,,
20151107,,,,,,,,,,,,102.22,,
20151106,,,,,,,,,2.34,-1.09,,89.18,,
20151105,,,,,,,,,2.26,-0.99,,60.45,,
20151104,,,,,,,,,2.25,-0.9,,96.48,,
20151103,,,,,,,,,2.23,-0.98,,53.27,,
20151102,,,,,,,"3,194.30","12,249.40",2.2,-0.95,,109.92,,
20151101,,,,,,,,,,,,46.56,,
20151031,,0.2,5,"142,579.00",90,16.4,,,,,102.89,81.29,59.1,50.1
20151030,,,,,,,,,2.16,-0.93,,91.51,,
20151029,,,,,,,,,2.19,-0.84,,62.65,,
20151028,,,,,,,,,2.1,-0.8,,68.04,,
20151027,,,,,,,,,2.05,-0.72,,49.44,,
20151026,,,,,,,"3,085.40","12,132.90",2.07,-0.8,,83.86,,
20151025,,,,,,,,,,,,51.94,,
20151024,,,,,,,,,,,,73.33,,
20151023,,,,,,,,,2.09,-0.84,,79.14,,
20151022,,,,,,,,,2.04,-0.76,,68.85,,
20151021,,,,,,,,,2.04,-0.69,,69.37,,
20151020,,,,,,,,,2.08,-0.7,,70.16,,
20151019,,,,,,,"2,959.50","12,167.40",2.04,-0.59,,85.07,,
20151018,,,,,,,,,,,,67.11,,
20151017,,,,,,,,,,,,110.29,,
20151016,,,,,,,,,2.04,-0.65,,90.19,,
20151015,,,,,,,,,2.04,-0.43,,84.32,,
20151014,,,,,,,,,1.99,-0.23,,105.44,,
20151013,,,,,,,,,2.06,-0.36,,80.69,,
20151012,,,,,,,"2,886.10","12,160.60",,-0.53,,79.32,,
20151011,,,,,,,,,,,,83.11,,
20151010,,,,,,,,,,,,107.57,,
20151009,,,,,,,,,2.12,-0.52,,88.39,,
20151008,,,,,,,,,2.12,-0.31,,70.64,,
20151007,,,,,,,,,2.08,-0.16,,110.68,,
20151006,,,,,,,,,2.05,0.14,,113.13,,
20151005,,,,,,,"3,025.50","12,171.10",2.07,0.26,,91.1,,
20151004,,,,,,,,,,,,81.99,,
20151003,,,,,,,,,,,,70.56,,
20151002,,,,,,,,,1.99,0.65,,180.35,,
20151001,,,,,,,,,2.05,0.77,,128.45,,
20150930,"18,857.42",0,5,"142,275.00",87.2,19.8,,,2.06,0.96,138.72,101.28,56.9,50.2
20150929,,,,,,,,,2.05,1.42,,111.61,,
20150928,,,,,,,"3,146.20","12,074.00",2.1,1.23,,92.13,,
20150927,,,,,,,,,,,,75.04,,
20150926,,,,,,,,,,,,78.38,,
20150925,,,,,,,,,2.17,0.87,,81.84,,
20150924,,,,,,,,,2.13,1.1,,88.7,,
20150923,,,,,,,,,2.16,0.73,,85.78,,
20150922,,,,,,,,,2.14,0.79,,188.75,,
20150921,,,,,,,"3,013.50","12,133.70",2.2,0.33,,86.41,,
20150920,,,,,,,,,,,,68.18,,
20150919,,,,,,,,,,,,83.01,,
20150918,,,,,,,,,2.13,0.45,,83.91,,
20150917,,,,,,,,,2.21,0.3,,83.41,,
20150916,,,,,,,,,2.3,0.25,,83.47,,
20150915,,,,,,,,,2.28,0.45,,122.69,,
20150914,,,,,,,"2,915.60","12,187.30",2.18,0.74,,79.94,,
20150913,,,,,,,,,,,,55.31,,
20150912,,,,,,,,,,,,101.75,,
20150911,,,,,,,,,2.2,0.64,,118.87,,
20150910,,,,,,,,,2.23,0.75,,143.31,,
20150909,,,,,,,,,2.21,0.6,,142.71,,
20150908,,,,,,,,,2.2,0.84,,117.95,,
20150907,,,,,,,"2,932.90","12,161.10",,,,84.08,,
20150906,,,,,,,,,,,,82.64,,
20150905,,,,,,,,,,,,91.28,,
20150904,,,,,,,,,2.13,1.18,,98.03,,
20150903,,,,,,,,,2.18,0.71,,85.49,,
20150902,,,,,,,,,2.2,0.91,,75.72,,
20150901,,,,,,,,,2.17,1.16,,96.33,,
20150831,,0.2,5.1,"142,125.00",91.9,22.1,"3,144.00","12,076.40",2.21,0.46,129.7,79.25,59,51.1
20150830,,,,,,,,,,,,70.75,,
20150829,,,,,,,,,,,,64.28,,
20150828,,,,,,,,,2.19,0.17,,52.89,,
20150827,,,,,,,,,2.18,0.36,,85.71,,
20150826,,,,,,,,,2.18,0.72,,79.11,,
20150825,,,,,,,,,2.12,1.23,,58.12,,
20150824,,,,,,,"3,032.00","12,041.30",2.01,1.48,,103.36,,
20150823,,,,,,,,,,,,55.21,,
20150822,,,,,,,,,,,,79.32,,
20150821,,,,,,,,,2.05,-0.12,,86.26,,
20150820,,,,,,,,,2.09,-0.91,,28.85,,
20150819,,,,,,,,,2.12,-1.29,,121.07,,
20150818,,,,,,,,,2.2,-1.62,,88.54,,
20150817,,,,,,,"2,946.70","12,096.80",2.16,-1.67,,95.61,,
20150816,,,,,,,,,,,,71.24,,
20150815,,,,,,,,,,,,47.83,,
20150814,,,,,,,,,2.2,-1.69,,78.32,,
20150813,,,,,,,,,2.19,-1.55,,110.11,,
20150812,,,,,,,,,2.14,-1.32,,97.43,,
20150811,,,,,,,,,2.15,-1.68,,93.8,,
20150810,,,,,,,"2,915.30","12,063.60",2.24,-2.02,,88.93,,
20150809,,,,,,,,,,,,85.34,,
20150808,,,,,,,,,,,,68.76,,
20150807,,,,,,,,,2.18,-1.87,,90.14,,
20150806,,,,,,,,,2.23,-1.87,,128.8,,
20150805,,,,,,,,,2.28,-2.02,,77.83,,
20150804,,,,,,,,,2.23,-1.93,,155.1,,
20150803,,,,,,,"3,188.60","12,034.70",2.16,-1.89,,28.46,,
20150802,,,,,,,,,,,,69.56,,
20150801,,,,,,,,,,,,64.01,,
20150731,,0.2,5.2,"141,991.00",93.1,24.4,,,2.2,-1.96,98.92,72.27,60.3,52.7
20150730,,,,,,,,,2.28,-1.98,,74.98,,
20150729,,,,,,,,,2.29,-1.96,,99.95,,
20150728,,,,,,,,,2.26,-1.77,,132.93,,
20150727,,,,,,,"3,114.70","11,949.60",2.23,-1.61,,171.44,,
20150726,,,,,,,,,,,,127.41,,
20150725,,,,,,,,,,,,92.13,,
20150724,,,,,,,,,2.27,-1.92,,113.36,,
20150723,,,,,,,,,2.28,-2.15,,87.72,,
20150722,,,,,,,,,2.33,-2.23,,152.95,,
20150721,,,,,,,,,2.35,-2.32,,193.98,,
20150720,,,,,,,"3,006.30","11,998.60",2.38,-2.3,,125.31,,
20150719,,,,,,,,,,,,98.67,,
20150718,,,,,,,,,,,,63.47,,
20150717,,,,,,,,,2.34,-2.3,,146.96,,
20150716,,,,,,,,,2.36,-2.24,,117.65,,
20150715,,,,,,,,,2.36,-2.02,,229.98,,
20150714,,,,,,,,,2.41,-1.94,,67.7,,
20150713,,,,,,,"2,930.20","12,035.20",2.44,-1.76,,123.07,,
20150712,,,,,,,,,,,,105.27,,
20150711,,,,,,,,,,,,81.55,,
20150710,,,,,,,,,2.42,-1.32,,107.39,,
20150709,,,,,,,,,2.32,-0.88,,58.63,,
20150708,,,,,,,,,2.22,-0.61,,61.78,,
20150707,,,,,,,,,2.27,-1.03,,82.09,,
20150706,,,,,,,"3,026.40","12,080.60",2.3,-1.11,,109.33,,
20150705,,,,,,,,,,,,80.4,,
20150704,,,,,,,,,,,,50.12,,
20150703,,,,,,,,,,,,86.95,,
20150702,,,,,,,,,2.4,-1.43,,84.56,,
20150701,,,,,,,,,2.43,-1.45,,93.14,,
20150630,"18,782.24",0.1,5.3,"141,709.00",96.1,20.8,,,2.35,-1.14,108.95,169.32,56,53.5
20150629,,,,,,,"3,188.80","11,947.40",2.33,-1.11,,136.93,,
20150628,,,,,,,,,,,,109.96,,
20150627,,,,,,,,,,,,78.13,,
20150626,,,,,,,,,2.49,-1.98,,81.49,,
20150625,,,,,,,,,2.4,-1.99,,131.01,,
20150624,,,,,,,,,2.38,-2.05,,84.82,,
20150623,,,,,,,,,2.42,-2.15,,103.52,,
20150622,,,,,,,"3,038.00","11,930.00",2.37,-1.98,,90.68,,
20150621,,,,,,,,,,,,74.67,,
20150620,,,,,,,,,,,,99.45,,
20150619,,,,,,,,,2.26,-1.56,,44.27,,
20150618,,,,,,,,,2.35,-1.64,,83.09,,
20150617,,,,,,,,,2.32,-1.54,,79.93,,
20150616,,,,,,,,,2.32,-1.45,,114.23,,
20150615,,,,,,,"2,930.70","11,985.50",2.36,-1.44,,63.2,,
20150614,,,,,,,,,,,,64.7,,
20150613,,,,,,,,,,,,56.15,,
20150612,,,,,,,,,2.39,-1.68,,41.64,,
20150611,,,,,,,,,2.39,-1.82,,54.97,,
20150610,,,,,,,,,2.5,-1.71,,48.58,,
20150609,,,,,,,,,2.42,-1.64,,95.46,,
20150608,,,,,,,"2,901.80","11,969.80",2.39,-1.68,,81.79,,
20150607,,,,,,,,,,,,86.6,,
20150606,,,,,,,,,,,,36.68,,
20150605,,,,,,,,,2.41,-1.79,,62.5,,
20150604,,,,,,,,,2.31,-1.79,,84.13,,
20150603,,,,,,,,,2.38,-1.96,,129.12,,
20150602,,,,,,,,,2.27,-1.95,,65.35,,
20150601,,,,,,,"3,087.50","11,932.70",2.19,-1.9,,106.23,,
20150531,,0,5.6,"141,538.00",90.7,17.2,,,,,101.02,84.04,55.7,52.8
20150530,,,,,,,,,,,,68.61,,
20150529,,,,,,,,,2.12,-1.95,,55.47,,
20150528,,,,,,,,,2.13,-2.08,,55.89,,
20150527,,,,,,,,,2.14,-2.08,,83.28,,
20150526,,,,,,,,,2.14,-1.96,,37.4,,
20150525,,,,,,,"3,031.10","11,873.40",,,,86.68,,
20150524,,,,,,,,,,,,63.16,,
20150523,,,,,,,,,,,,80.79,,
20150522,,,,,,,,,2.21,-2.29,,84.29,,
20150521,,,,,,,,,2.19,-2.3,,56.79,,
20150520,,,,,,,,,2.26,-2.23,,71.46,,
20150519,,,,,,,,,2.27,-2.24,,128.44,,
20150518,,,,,,,"2,924.30","11,919.20",2.23,-2.31,,112.12,,
20150517,,,,,,,,,,,,76.89,,
20150516,,,,,,,,,,,,78.19,,
20150515,,,,,,,,,2.14,-2.18,,95.24,,
20150514,,,,,,,,,2.23,-2.14,,77.47,,
20150513,,,,,,,,,2.27,-2.1,,114.38,,
20150512,,,,,,,,,2.28,-1.94,,62.17,,
20150511,,,,,,,"2,880.40","11,904.90",2.28,-2.04,,118.67,,
20150510,,,,,,,,,,,,52.58,,
20150509,,,,,,,,,,,,50.07,,
20150508,,,,,,,,,2.16,-1.97,,71.75,,
20150507,,,,,,,,,2.18,-1.54,,64.28,,
20150506,,,,,,,,,2.25,-1.69,,99.69,,
20150505,,,,,,,,,2.19,-1.68,,44.76,,
20150504,,,,,,,"3,041.90","11,898.00",2.16,-1.82,,70.6,,
20150503,,,,,,,,,,,,43.83,,
20150502,,,,,,,,,,,,41.45,,
20150501,,,,,,,,,2.12,-1.76,,76.24,,
20150430,,-0.2,5.4,"141,196.00",95.9,22.6,,,2.05,-1.7,109.64,52.75,57.8,51.5
20150429,,,,,,,,,2.06,-1.85,,84.1,,
20150428,,,,,,,,,2,-1.93,,46.01,,
20150427,,,,,,,"3,108.60","11,852.80",1.94,-1.78,,76.04,,
20150426,,,,,,,,,,,,39.28,,
20150425,,,,,,,,,,,,41.45,,
20150424,,,,,,,,,1.93,-1.75,,156.4,,
20150423,,,,,,,,,1.96,-1.73,,61.08,,
20150422,,,,,,,,,1.99,-1.72,,75.59,,
20150421,,,,,,,,,1.92,-1.64,,85.28,,
20150420,,,,,,,"3,040.30","12,034.30",1.9,-1.6,,91.73,,
20150419,,,,,,,,,,,,97.81,,
20150418,,,,,,,,,,,,47.48,,
20150417,,,,,,,,,1.87,-1.53,,99.06,,
20150416,,,,,,,,,1.9,-1.79,,104.72,,
20150415,,,,,,,,,1.91,-1.87,,143.66,,
20150414,,,,,,,,,1.9,-1.81,,121.65,,
20150413,,,,,,,"2,943.10","12,091.50",1.94,-1.8,,79.22,,
20150412,,,,,,,,,,,,53,,
20150411,,,,,,,,,,,,74.88,,
20150410,,,,,,,,,1.96,-1.88,,142.14,,
20150409,,,,,,,,,1.97,-1.85,,134.81,,
20150408,,,,,,,,,1.92,-1.76,,166.76,,
20150407,,,,,,,,,1.89,-1.64,,110.13,,
20150406,,,,,,,"3,010.80","12,113.20",1.92,-1.58,,116.79,,
20150405,,,,,,,,,,,,116.46,,
20150404,,,,,,,,,,,,165.63,,
20150403,,,,,,,,,1.85,,,150.14,,
20150402,,,,,,,,,1.92,-1.47,,113.85,,
20150401,,,,,,,,,1.87,-1.35,,138.93,,
20150331,"18,666.62",-0.1,5.4,"140,923.00",93,28.8,,,1.94,-1.32,105.22,131.06,56.5,51.5
20150330,,,,,,,"3,169.70","11,960.90",1.96,-1.57,,123.24,,
20150329,,,,,,,,,,,,129.14,,
20150328,,,,,,,,,,,,91.81,,
