date,GDP,CPI,UR,NFP,CCI,ICI,M1,M2,TY10,FSI,EPU,GPR,Serv PMI,Manu PMI
2019-01-01,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.67,0.03,201.03,83.74,56.7,56.6
2019-01-02,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.66,0.23,201.03,189.86,56.7,56.6
2019-01-03,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.56,0.51,201.03,9.49,56.7,56.6
2019-01-04,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.67,0.03,201.03,99.02,56.7,56.6
2019-01-07,5141.83,1.6,4.0,150059.0,91.2,6.6,3705.0,14533.9,2.7,-0.23,201.03,83.16,56.7,56.6
2019-01-08,5141.83,1.6,4.0,150059.0,91.2,6.6,3705.0,14533.9,2.73,-0.49,201.03,67.88,56.7,56.6
2019-01-09,5141.83,1.6,4.0,150059.0,91.2,6.6,3705.0,14533.9,2.74,-0.6,201.03,106.43,56.7,56.6
2019-01-10,5141.83,1.6,4.0,150059.0,91.2,6.6,3705.0,14533.9,2.74,-0.62,201.03,76.84,56.7,56.6
2019-01-11,5141.83,1.6,4.0,150059.0,91.2,6.6,3705.0,14533.9,2.71,-0.69,201.03,101.24,56.7,56.6
2019-01-14,5141.83,1.6,4.0,150059.0,91.2,6.6,3620.6,14485.4,2.71,-0.65,201.03,89.27,56.7,56.6
2019-01-15,5141.83,1.6,4.0,150059.0,91.2,6.6,3620.6,14485.4,2.72,-0.77,201.03,102.54,56.7,56.6
2019-01-16,5141.83,1.6,4.0,150059.0,91.2,6.6,3620.6,14485.4,2.73,-0.89,201.03,92.77,56.7,56.6
2019-01-17,5141.83,1.6,4.0,150059.0,91.2,6.6,3620.6,14485.4,2.75,-1.02,201.03,160.64,56.7,56.6
2019-01-18,5141.83,1.6,4.0,150059.0,91.2,6.6,3620.6,14485.4,2.79,-1.25,201.03,112.83,56.7,56.6
2019-01-21,5141.83,1.6,4.0,150059.0,91.2,6.6,3725.9,14393.7,2.76,-1.62,201.03,70.8,56.7,56.6
2019-01-22,5141.83,1.6,4.0,150059.0,91.2,6.6,3725.9,14393.7,2.74,-1.11,201.03,144.77,56.7,56.6
2019-01-23,5141.83,1.6,4.0,150059.0,91.2,6.6,3725.9,14393.7,2.76,-1.24,201.03,58.19,56.7,56.6
2019-01-24,5141.83,1.6,4.0,150059.0,91.2,6.6,3725.9,14393.7,2.72,-1.29,201.03,91.32,56.7,56.6
2019-01-25,5141.83,1.6,4.0,150059.0,91.2,6.6,3725.9,14393.7,2.76,-1.62,201.03,91.14,56.7,56.6
2019-01-28,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.75,-1.52,201.03,101.15,56.7,56.6
2019-01-29,5141.83,1.6,4.0,150059.0,91.2,6.6,3864.2,14324.5,2.72,-1.53,201.03,101.45,56.7,56.6
