Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1465.2,1553.36,1460.93,1539.13,1539.13,7983103.0
2019-01-03,1520.01,1538.0,1497.11,1500.28,1500.28,6975572.0
2019-01-04,1530.0,1594.0,1518.31,1575.39,1575.39,9182575.0
2019-01-07,1602.31,1634.56,1589.185,1629.51,1629.51,7993212.999999999
2019-01-08,1664.69,1676.61,1616.61,1656.58,1656.58,8881428.0
2019-01-09,1652.98,1667.799,1641.395,1659.42,1659.42,6348801.0
2019-01-10,1641.01,1663.25,1621.615,1656.22,1656.22,6507693.0
2019-01-11,1640.55,1660.294,1636.22,1640.56,1640.56,4686222.0
2019-01-14,1615.0,1648.2,1595.15,1617.21,1617.21,6005888.0
2019-01-15,1632.0,1675.16,1626.01,1674.56,1674.56,5998510.0
2019-01-16,1684.22,1705.0,1675.879,1683.78,1683.78,6366864.000000001
2019-01-17,1680.0,1700.17,1677.5,1693.22,1693.22,4208875.0
2019-01-18,1712.0,1716.2,1691.54,1696.2,1696.2,6020503.0
2019-01-22,1681.0,1681.867,1610.2,1632.17,1632.17,6416796.000000001
2019-01-23,1656.0,1657.43,1612.0,1640.02,1640.02,5225212.0
2019-01-24,1641.07,1657.257,1631.785,1654.93,1654.93,4089943.0
2019-01-25,1670.5,1683.48,1661.612,1670.57,1670.57,4959679.0
2019-01-28,1643.59,1645.0,1614.09,1637.89,1637.89,4837711.0
2019-01-29,1631.27,1632.38,1590.72,1593.88,1593.88,4632782.0
2019-01-30,1623.0,1676.95,1619.68,1670.43,1670.43,5783822.0
2019-01-31,1692.85,1736.411,1679.082,1718.73,1718.73,10910338.0
2019-02-01,1638.88,1673.06,1622.01,1626.23,1626.23,11506213.0
2019-02-04,1623.0,1649.63,1613.5,1633.31,1633.31,4929187.0
2019-02-05,1643.34,1665.26,1642.5,1658.81,1658.81,4453105.0
2019-02-06,1670.75,1672.26,1633.34,1640.26,1640.26,3939883.0
2019-02-07,1625.0,1625.539,1592.91,1614.37,1614.37,4626589.0
2019-02-08,1586.0,1588.59,1566.756,1588.22,1588.22,5657457.000000001
2019-02-11,1600.98,1609.29,1586.0,1591.0,1591.0,3317328.0
2019-02-12,1604.0,1639.395,1598.88,1638.01,1638.01,4858604.0
2019-02-13,1647.0,1656.38,1637.106,1640.0,1640.0,3560321.0
2019-02-14,1624.5,1637.9,1606.061,1622.65,1622.65,4120524.0
2019-02-15,1627.86,1628.91,1604.5,1607.95,1607.95,4343893.0
2019-02-19,1601.0,1634.0,1600.56,1627.58,1627.58,3681656.0
2019-02-20,1630.0,1634.93,1610.12,1622.1,1622.1,3337589.0
2019-02-21,1619.85,1623.56,1600.91,1619.44,1619.44,3483392.0
2019-02-22,1623.5,1634.94,1621.17,1631.56,1631.56,3096191.0
2019-02-25,1641.45,1654.6,1630.387,1633.0,1633.0,3184461.9999999995
2019-02-26,1625.98,1639.99,1616.134,1636.4,1636.4,2665815.0
2019-02-27,1628.18,1641.81,1615.1,1641.09,1641.09,3148824.0
2019-02-28,1635.25,1651.77,1633.83,1639.83,1639.83,3025890.9999999995
2019-03-01,1655.13,1674.26,1651.0,1671.73,1671.73,4974877.0
2019-03-04,1685.0,1709.43,1674.36,1696.17,1696.17,6167358.0
2019-03-05,1702.95,1707.8,1689.01,1692.43,1692.43,3681522.0
2019-03-06,1695.97,1697.75,1668.28,1668.95,1668.95,3996001.0
2019-03-07,1667.37,1669.753,1620.51,1625.95,1625.95,4957017.0
2019-03-08,1604.01,1622.72,1586.57,1620.8,1620.8,4667014.0
2019-03-11,1626.12,1672.285,1626.01,1670.62,1670.62,3876352.0
2019-03-12,1669.0,1684.265,1660.98,1673.1,1673.1,3614498.0
2019-03-13,1683.0,1700.0,1679.35,1690.81,1690.81,3552041.0
2019-03-14,1691.2,1702.0,1684.34,1686.22,1686.22,2946618.0000000005
2019-03-15,1703.0,1718.8,1693.13,1712.36,1712.36,7550870.0
2019-03-18,1712.7,1750.0,1712.63,1742.15,1742.15,5429058.0
2019-03-19,1753.51,1784.16,1753.51,1761.85,1761.85,6364161.0
2019-03-20,1769.94,1799.5,1767.034,1797.27,1797.27,6265633.0
2019-03-21,1796.26,1823.75,1787.281,1819.26,1819.26,5767797.000000001
2019-03-22,1810.17,1818.98,1763.11,1764.77,1764.77,6362983.0
2019-03-25,1757.79,1782.675,1747.5,1774.26,1774.26,5103803.0
2019-03-26,1793.0,1805.77,1773.36,1783.76,1783.76,4865880.0
2019-03-27,1784.13,1787.5,1745.68,1765.7,1765.7,4324801.0
2019-03-28,1770.0,1777.93,1753.47,1773.42,1773.42,3042958.0
2019-03-29,1786.58,1792.86,1776.63,1780.75,1780.75,3320793.0
2019-04-01,1800.11,1815.67,1798.73,1814.19,1814.19,4238752.0
2019-04-02,1811.02,1820.0,1805.121,1813.98,1813.98,3448115.0000000005
2019-04-03,1826.72,1830.0,1809.62,1820.7,1820.7,3980590.0000000005
2019-04-04,1820.65,1828.75,1804.2,1818.86,1818.86,3623867.0
2019-04-05,1829.0,1838.58,1825.19,1837.28,1837.28,3640476.0
2019-04-08,1833.23,1850.2,1825.11,1849.86,1849.86,3752841.0000000005
2019-04-09,1845.49,1853.09,1831.78,1835.84,1835.84,3714368.0
2019-04-10,1841.0,1848.0,1828.81,1847.33,1847.33,2963972.9999999995
2019-04-11,1848.7,1849.95,1840.31,1844.07,1844.07,2654842.0
2019-04-12,1848.4,1851.5,1841.3,1843.06,1843.06,3114413.0
