Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,316.19,323.95,313.71,323.81,323.81,3292204.0
2019-01-03,319.49,319.74,309.4,310.9,310.9,5705567.0
2019-01-04,316.69,328.44,316.08,327.08,327.08,4448759.0
2019-01-07,330.52,330.69,323.35,328.11,328.11,4030280.0
2019-01-08,334.11,341.25,332.65,340.53,340.53,4736472.0
2019-01-09,342.96,347.2,340.867,343.83,343.83,4213870.0
2019-01-10,346.51,353.466,343.0,352.61,352.61,5358117.0
2019-01-11,348.56,354.36,348.09,352.9,352.9,3158852.0
2019-01-14,348.2,352.81,347.01,350.36,350.36,2476367.0
2019-01-15,352.0,353.315,347.98,352.24,352.24,2940908.0
2019-01-16,352.5,355.0,351.56,352.06,352.06,2731082.0
2019-01-17,350.75,363.83,350.73,359.09,359.09,4270365.0
2019-01-18,363.88,367.316,361.32,364.73,364.73,4256505.0
2019-01-22,362.86,364.195,354.23,357.9,357.9,4336541.0
2019-01-23,361.91,362.2,353.67,358.61,358.61,2924874.0
2019-01-24,358.91,363.18,356.9,358.27,358.27,2801392.0
2019-01-25,362.49,366.94,360.33,364.2,364.2,3190425.0
2019-01-28,360.65,363.165,357.5,362.97,362.97,3128884.0
2019-01-29,363.07,367.78,362.41,364.91,364.91,3202652.0
2019-01-30,387.4,391.969,380.5,387.72,387.72,12705305.0
2019-01-31,387.16,388.985,382.08,385.62,385.62,6878455.0
2019-02-01,386.11,392.8,384.726,387.43,387.43,5625749.0
2019-02-04,388.97,397.07,388.12,397.0,397.0,4256562.0
2019-02-05,400.75,410.75,399.55,410.18,410.18,7230380.0
2019-02-06,411.51,413.88,405.66,411.11,411.11,5356025.0
2019-02-07,407.93,410.35,402.29,405.17,405.17,5211412.0
2019-02-08,400.0,404.96,397.8,404.91,404.91,4570946.0
2019-02-11,408.1,409.83,402.69,403.95,403.95,3046932.0
2019-02-12,407.0,411.21,405.395,410.72,410.72,3263321.0000000005
2019-02-13,412.52,412.72,407.67,410.58,410.58,3078692.0
2019-02-14,408.93,412.22,407.8,409.82,409.82,2724260.0
2019-02-15,412.48,418.05,411.43,417.97,417.97,4017337.9999999995
2019-02-19,415.5,417.94,414.54,416.26,416.26,3051459.0
2019-02-20,417.14,421.84,417.11,421.55,421.55,3990102.0
2019-02-21,421.58,422.409,415.677,417.58,417.58,2880474.0
2019-02-22,419.7,424.47,419.14,424.05,424.05,3132298.0
2019-02-25,427.49,429.92,426.52,426.87,426.87,3276050.0
2019-02-26,426.0,429.0,424.25,426.77,426.77,2503684.0
2019-02-27,427.17,436.33,427.15,435.44,435.44,4603847.0
2019-02-28,438.7,441.42,437.08,439.96,439.96,5063147.0
2019-03-01,446.01,446.01,440.19,440.62,440.62,5124178.000000001
2019-03-04,443.22,444.5,426.63,432.69,432.69,5971042.0
2019-03-05,431.04,433.85,428.644,430.12,430.12,2844273.0
2019-03-06,429.7,432.0,422.08,424.46,424.46,4159384.9999999995
2019-03-07,423.36,427.7,416.44,422.56,422.56,4893598.0
2019-03-08,416.77,423.426,415.5,422.54,422.54,3794945.0
2019-03-11,371.27,402.67,365.55,400.01,400.01,34742186.0
2019-03-12,384.705,390.0,368.0,375.41,375.41,36922592.0
2019-03-13,378.43,381.77,363.33,377.14,377.14,32662252.0
2019-03-14,374.99,380.39,372.1,373.3,373.3,13514057.0
2019-03-15,370.88,385.71,366.45,378.99,378.99,26697712.0
2019-03-18,370.0,373.07,367.2,372.28,372.28,13119208.000000002
2019-03-19,371.14,378.77,371.01,373.43,373.43,9856108.0
2019-03-20,374.7,380.8,373.68,376.16,376.16,8737593.0
2019-03-21,374.04,377.0,372.23,372.7,372.7,6950984.999999999
2019-03-22,368.79,369.86,361.525,362.17,362.17,10143922.0
2019-03-25,365.0,371.21,362.89,370.46,370.46,7939602.0
2019-03-26,375.58,375.6,367.6,370.38,370.38,6479729.0
2019-03-27,371.89,376.66,365.55,374.21,374.21,9599957.0
2019-03-28,376.6,376.66,372.33,374.44,374.44,4921337.0
2019-03-29,376.52,382.18,374.74,381.42,381.42,7694707.0
2019-04-01,385.8,392.9,383.1,391.54,391.54,7735719.0
2019-04-02,388.5,394.83,388.5,390.75,390.75,6401023.0
2019-04-03,389.68,391.539,384.07,384.74,384.74,7350347.0
2019-04-04,385.99,397.06,385.1,395.86,395.86,9388082.0
2019-04-05,398.07,398.66,390.95,391.93,391.93,6857151.0
2019-04-08,376.2,379.8,371.86,374.52,374.52,14482603.999999998
2019-04-09,370.29,372.24,367.75,369.04,369.04,7980062.0
2019-04-10,368.4,368.79,362.92,364.94,364.94,8284959.0
2019-04-11,364.62,371.08,364.21,370.16,370.16,6598366.999999999
2019-04-12,375.75,379.95,372.0,379.64,379.64,7334644.0
2019-04-15,376.7,377.9,373.68,375.46,375.46,3822079.0
2019-04-16,376.51,384.64,375.03,381.72,381.72,7083834.000000001
2019-04-17,384.1,384.19,377.484,377.52,377.52,4424421.0
2019-04-18,377.52,382.17,377.52,380.07,380.07,4703105.0
2019-04-22,375.69,378.95,374.9,375.17,375.17,4147652.0
2019-04-23,375.54,376.87,372.61,374.02,374.02,4894517.0
2019-04-24,377.89,381.15,373.66,375.46,375.46,9855141.0
2019-04-25,376.01,384.8,372.76,382.8,382.8,6614992.0
2019-04-26,383.89,384.0,378.14,380.79,380.79,4259621.0
2019-04-29,378.49,385.3,376.76,379.05,379.05,5457300.0
2019-04-30,379.5,381.14,375.05,377.69,377.69,3732808.9999999995
2019-05-01,378.53,381.195,376.38,376.8,376.8,2765572.0
2019-05-02,375.5,377.65,373.25,375.8,375.8,2438759.0
2019-05-03,376.08,377.9,374.22,376.46,376.46,2953838.0
2019-05-06,367.88,372.48,365.63,371.6,371.6,4747601.0
2019-05-07,366.33,367.71,355.02,357.23,357.23,9740301.0
2019-05-08,357.77,361.52,353.33,359.75,359.75,6029997.0
2019-05-09,354.76,355.65,347.47,354.13,354.13,6075155.999999999
2019-05-10,351.87,355.54,347.55,354.67,354.67,4574070.0
2019-05-13,344.51,346.63,337.0,337.37,337.37,7757832.0
2019-05-14,339.9,346.1,337.229,343.04,343.04,4747753.0
2019-05-15,339.8,348.8,337.64,345.64,345.64,4809967.0
2019-05-16,348.64,356.5,345.82,353.81,353.81,6036506.000000001
2019-05-17,351.5,359.99,351.164,355.02,355.02,5282942.0
2019-05-20,353.0,355.941,350.53,352.79,352.79,3219868.0
2019-05-21,358.03,360.77,354.88,358.75,358.75,4022572.0
2019-05-22,357.22,357.57,351.75,352.78,352.78,3841429.9999999995
2019-05-23,345.92,351.47,341.15,350.55,350.55,5305388.0
2019-05-24,355.0,361.4,353.0,354.9,354.9,5387544.0
2019-05-28,355.29,359.31,354.88,354.88,354.88,3504280.9999999995
2019-05-29,352.59,352.79,346.05,348.8,348.8,4160546.0
2019-05-30,350.0,351.92,347.937,349.87,349.87,2183884.0
2019-05-31,345.85,345.85,341.36,341.61,341.61,3217645.9999999995
2019-06-03,338.2,339.11,330.67,338.89,338.89,5148019.0
2019-06-04,342.57,346.41,340.12,344.62,344.62,3592323.0
2019-06-05,346.22,353.25,332.49,348.75,348.75,3188375.0
2019-06-06,348.18,351.64,345.58,350.64,350.64,2582259.0000000005
2019-06-07,352.3,355.28,352.3,353.7,353.7,2470694.0
2019-06-10,356.0,357.4,353.55,353.8,353.8,2560804.9999999995
2019-06-11,355.42,355.473,348.13,349.33,349.33,2702727.0
2019-06-12,349.0,349.27,342.795,347.03,347.03,2738326.0
2019-06-13,347.25,349.06,344.1,348.86,348.86,2621303.0
2019-06-14,348.0,349.17,345.885,347.16,347.16,2258374.0
2019-06-17,348.62,356.05,347.05,354.9,354.9,3746426.0
2019-06-18,357.61,374.65,357.6,373.96,373.96,9199161.0
2019-06-19,375.4,379.31,368.35,368.56,368.56,5715984.999999999
2019-06-20,373.0,375.79,368.96,374.88,374.88,3794488.0
2019-06-21,374.39,376.11,371.72,371.84,371.84,4923678.0
2019-06-24,372.95,375.49,372.1,373.99,373.99,2323241.0
2019-06-25,374.75,375.25,368.03,369.32,369.32,3005403.0
2019-06-26,371.02,378.98,370.0,374.94,374.94,4542016.0
2019-06-27,367.54,369.93,362.35,364.02,364.02,8980010.0
2019-06-28,363.92,366.225,361.57,364.01,364.01,4737120.0
2019-07-01,364.88,365.23,353.32,356.46,356.46,6409568.0
2019-07-02,355.63,356.784,352.69,354.16,354.16,3777328.0
2019-07-03,354.5,354.85,352.26,354.47,354.47,2164921.0
