Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,50.68,53.74,50.67,53.53,53.53,21646296.000000004
2019-01-03,53.41,53.62,52.22,52.56,52.56,21183012.0
2019-01-04,54.01,55.375,53.66,55.13,55.13,24205106.0
2019-01-07,55.33,56.21,54.8,55.61,55.61,20634140.000000004
2019-01-08,56.03,56.19,54.76,55.46,55.46,18840135.0
2019-01-09,55.71,56.74,55.61,56.38,56.38,19359050.0
2019-01-10,55.99,56.96,55.7,56.44,56.44,16910049.0
2019-01-11,56.46,57.42,56.03,56.69,56.69,23087497.0
2019-01-14,56.1,59.3,55.7,58.93,58.93,34783396.0
2019-01-15,59.89,61.82,59.55,61.38,61.38,42694236.0
2019-01-16,61.95,62.82,61.24,62.19,62.19,27628897.0
2019-01-17,61.63,62.75,61.33,62.47,62.47,22728884.0
2019-01-18,62.86,63.19,62.007,63.12,63.12,19947263.0
2019-01-22,62.67,62.81,61.43,61.85,61.85,24608658.999999996
2019-01-23,62.27,62.48,61.15,62.13,62.13,16819784.0
2019-01-24,61.74,62.92,61.74,62.71,62.71,14962224.000000002
2019-01-25,63.33,64.45,63.23,64.02,64.02,15827738.0
2019-01-28,63.19,64.06,63.1,63.85,63.85,12683535.0
2019-01-29,63.71,64.07,63.145,63.21,63.21,13472044.0
2019-01-30,63.46,64.74,62.99,64.22,64.22,15929637.0
2019-01-31,63.65,64.6,63.64,64.46,64.46,19442632.0
2019-02-01,64.25,64.66,63.59,63.67,63.67,16991809.0
2019-02-04,63.5,64.06,63.2,64.06,64.06,11515532.0
2019-02-05,64.19,64.2,63.35,63.81,63.81,13310927.999999998
2019-02-06,63.83,64.61,63.56,63.89,63.89,13774373.0
2019-02-07,63.61,63.63,61.91,62.81,62.81,17922418.0
2019-02-08,62.13,62.52,61.01,62.01,62.01,15770773.999999998
2019-02-11,62.41,62.43,61.42,61.61,61.61,14614108.000000002
2019-02-12,62.15,63.335,62.15,62.67,62.67,14347375.0
2019-02-13,63.3,63.75,62.97,63.04,63.04,10710490.0
2019-02-14,62.35,62.86,61.42,62.42,62.42,12855299.0
2019-02-15,63.14,64.575,63.01,64.27,64.27,17908930.0
2019-02-19,63.73,64.65,63.522,64.38,64.38,11013857.0
2019-02-20,64.5,64.7,64.14,64.64,64.64,10545039.999999998
2019-02-21,64.55,64.94,64.035,64.32,64.32,10696370.0
2019-02-22,64.63,65.14,63.84,64.14,64.14,14003814.0
2019-02-25,64.59,65.425,64.45,64.53,64.53,12853042.0
2019-02-26,64.09,64.67,63.89,64.12,64.12,12912844.0
2019-02-27,64.24,64.585,63.68,64.4,64.4,13495687.0
2019-02-28,64.46,64.66,63.84,63.98,63.98,14209279.0
2019-03-01,64.78,65.69,64.11,64.47,64.47,14375999.0
2019-03-04,64.53,65.295,63.105,63.75,63.75,15786620.0
2019-03-05,63.66,63.66,61.91,62.93,62.93,18754938.0
2019-03-06,62.7,63.067,62.1,62.51,62.51,12711217.999999998
2019-03-07,62.03,62.12,61.21,61.9,61.9,15788882.000000002
2019-03-08,60.96,62.12,60.76,62.06,62.06,14304390.0
2019-03-11,62.53,62.955,62.18,62.31,62.31,14167594.0
2019-03-12,62.3,62.94,61.955,62.81,62.81,14772224.000000002
2019-03-13,63.14,64.23,63.0,63.65,63.65,13781080.0
2019-03-14,63.69,64.27,63.42,64.11,64.11,12193611.0
2019-03-15,64.16,65.265,64.02,65.19,65.19,37840256.0
2019-03-18,65.21,66.175,65.21,65.93,65.93,15601081.0
2019-03-19,66.46,66.83,65.35,65.63,65.63,12723634.0
2019-03-20,65.26,65.597,64.22,64.3,64.3,17494005.0
2019-03-21,63.67,64.31,62.92,63.91,63.91,18638315.0
2019-03-22,62.98,63.23,60.45,60.98,60.98,27527408.999999996
2019-03-25,60.98,61.66,60.05,60.33,60.33,20899330.0
2019-03-26,60.99,61.35,60.53,61.22,61.22,14740326.0
2019-03-27,61.38,61.66,60.72,60.73,60.73,16359644.0
2019-03-28,60.95,62.0,60.82,61.98,61.98,12081006.0
2019-03-29,62.33,62.81,61.96,62.22,62.22,13406277.0
2019-04-01,62.85,64.63,62.82,64.36,64.36,17736349.0
2019-04-02,64.24,64.86,63.92,64.42,64.42,9915808.0
2019-04-03,64.99,65.35,64.53,65.06,65.06,11560760.0
2019-04-04,64.81,66.2,64.81,65.82,65.82,11915953.0
2019-04-05,65.93,66.41,65.19,65.55,65.55,11062395.0
2019-04-08,65.13,66.095,65.02,66.07,66.07,10466431.0
2019-04-09,65.6,65.6,64.68,65.2,65.2,10221046.0
2019-04-10,65.48,65.685,64.78,65.52,65.52,12293298.0
2019-04-11,65.8,66.44,65.31,65.91,65.91,11358655.000000002
2019-04-12,67.08,68.305,66.635,67.42,67.42,19238667.0
2019-04-15,67.39,67.78,66.27,67.38,67.38,19493878.0
2019-04-16,67.5,69.42,67.39,69.31,69.31,18635743.0
2019-04-17,69.95,70.75,69.56,70.35,70.35,20509008.0
2019-04-18,70.01,70.39,69.62,69.67,69.67,13513780.0
2019-04-22,69.58,69.71,69.01,69.09,69.09,13195565.999999998
2019-04-23,68.84,69.295,68.375,69.2,69.2,13205192.0
2019-04-24,68.99,69.22,68.4,68.83,68.83,9699865.0
2019-04-25,68.56,69.175,68.15,68.73,68.73,8913593.0
2019-04-26,68.9,69.58,68.51,69.51,69.51,10692657.999999998
2019-04-29,69.69,71.94,69.58,71.03,71.03,16491378.0
2019-04-30,71.02,71.33,70.221,70.7,70.7,11122182.0
2019-05-01,70.68,71.17,69.74,69.96,69.96,13261748.0
2019-05-02,69.74,70.48,69.48,70.36,70.36,12186652.0
2019-05-03,70.39,70.98,70.0,70.67,70.67,11486651.0
2019-05-06,69.05,70.67,68.764,70.41,70.41,12004045.000000002
2019-05-07,69.35,69.5,67.62,68.16,68.16,17673427.0
2019-05-08,67.88,68.85,67.71,68.22,68.22,9470460.0
2019-05-09,66.83,67.86,66.433,67.63,67.63,16994173.0
2019-05-10,67.27,68.1,66.533,67.9,67.9,12318699.0
2019-05-13,66.13,66.33,63.96,64.38,64.38,23494395.0
2019-05-14,64.62,65.967,64.35,65.26,65.26,15096441.0
2019-05-15,64.46,65.225,64.02,64.87,64.87,14570886.0
2019-05-16,65.31,66.39,65.17,65.98,65.98,10573074.0
2019-05-17,64.97,65.93,64.89,65.07,65.07,11503486.0
2019-05-20,64.75,65.5,64.52,64.96,64.96,11605907.0
2019-05-21,65.5,66.09,65.2,66.08,66.08,11051518.000000002
2019-05-22,65.84,65.92,64.64,64.66,64.66,12564927.0
2019-05-23,63.82,63.94,63.08,63.9,63.9,15042239.0
2019-05-24,64.29,64.712,64.06,64.39,64.39,9715596.0
2019-05-28,64.09,64.45,63.76,63.79,63.79,14727413.0
2019-05-29,63.15,63.83,62.72,63.71,63.71,13836271.999999998
2019-05-30,64.77,65.25,63.25,63.61,63.61,13570909.999999998
2019-05-31,62.39,62.87,61.97,62.15,62.15,19968873.0
2019-06-03,62.1,62.78,61.94,62.61,62.61,19636778.0
2019-06-04,63.79,65.94,63.76,65.88,65.88,17743096.0
2019-06-05,65.45,66.02,64.5,65.78,65.78,12536284.0
2019-06-06,65.82,66.77,65.5,66.47,66.47,10868907.0
2019-06-07,66.16,66.8,65.62,65.69,65.69,11674193.0
2019-06-10,66.88,67.98,66.73,67.12,67.12,10994668.999999998
2019-06-11,67.58,68.03,67.16,67.88,67.88,9800911.0
2019-06-12,67.65,67.81,66.63,66.81,66.81,9878318.0
2019-06-13,66.83,67.435,66.765,67.08,67.08,9453801.0
2019-06-14,67.15,67.725,66.5,67.48,67.48,8902164.0
2019-06-17,67.5,67.51,66.4,66.54,66.54,8136156.999999999
2019-06-18,66.81,68.25,66.5,67.98,67.98,12199061.999999998
2019-06-19,68.16,68.59,67.58,67.59,67.59,12335105.0
2019-06-20,68.56,68.72,67.235,68.1,68.1,15557252.0
2019-06-21,68.03,68.96,67.82,67.97,67.97,19502534.0
2019-06-24,67.82,68.505,67.38,67.41,67.41,11223708.999999998
2019-06-25,67.46,67.48,66.48,66.54,66.54,14205639.000000002
2019-06-26,67.04,67.72,66.765,67.22,67.22,13654095.0
2019-06-27,67.62,68.43,67.53,68.15,68.15,11989076.0
2019-06-28,69.28,70.205,69.125,70.03,70.03,20388681.0
2019-07-01,70.86,71.64,70.19,70.74,70.74,13596361.0
2019-07-02,70.36,70.98,70.09,70.44,70.44,10273825.0
2019-07-03,70.71,71.2,70.28,70.85,70.85,7632411.0
2019-07-05,71.27,71.8,70.98,71.4,71.4,9107470.0
2019-07-08,70.76,71.69,70.64,71.13,71.13,10196327.0
2019-07-09,70.53,71.67,70.41,71.56,71.56,9477650.0
2019-07-10,71.5,71.935,70.65,71.13,71.13,12153196.0
2019-07-11,71.43,72.0,71.09,71.61,71.61,10739410.0
2019-07-12,71.89,72.02,71.58,71.77,71.77,15355690.0
2019-07-15,71.73,72.15,70.08,71.71,71.71,23365832.0
