Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,124.03,127.88,123.0,126.38,126.38,4783227.0
2019-01-03,125.31,125.5,120.443,121.51,121.51,6166079.999999999
2019-01-04,124.17,128.59,123.7,128.15,128.15,5456893.0
2019-01-07,128.59,129.6,126.7,128.23,128.23,4653643.0
2019-01-08,129.9,131.502,128.23,129.77,129.77,4202624.0
2019-01-09,131.09,132.22,129.91,130.27,130.27,4865583.0
2019-01-10,128.61,133.12,127.25,132.96,132.96,3418501.0
2019-01-11,131.08,132.32,130.05,132.1,132.1,2908649.0
2019-01-14,130.31,132.39,129.13,131.8,131.8,4482291.0
2019-01-15,132.11,133.11,129.56,130.69,130.69,3224080.0
2019-01-16,130.76,132.52,130.238,131.66,131.66,3636946.0
2019-01-17,130.47,135.9,129.16,134.54,134.54,6878543.0
2019-01-18,135.1,137.72,133.66,136.6,136.6,6122435.0
2019-01-22,134.93,134.94,131.17,132.24,132.24,5188724.0
2019-01-23,133.04,133.49,130.15,131.82,131.82,3123553.0
2019-01-24,131.41,132.99,131.2,132.73,132.73,3943630.0
2019-01-25,134.77,136.89,133.89,136.86,136.86,6429391.000000001
2019-01-28,126.99,127.8,123.15,124.37,124.37,17421413.0
2019-01-29,125.61,128.39,125.61,126.53,126.53,8550767.0
2019-01-30,127.93,131.355,126.311,130.11,130.11,7181643.0
2019-01-31,130.32,133.34,129.04,133.16,133.16,6643296.0
2019-02-01,133.03,133.86,130.11,130.91,130.91,5646683.0
2019-02-04,130.88,131.31,130.1,130.88,130.88,4541720.0
2019-02-05,130.63,132.1,130.6,132.0,132.0,3614480.0
2019-02-06,131.27,132.1,130.36,130.54,130.54,3098186.0
2019-02-07,129.29,130.44,127.36,128.78,128.78,3682114.0000000005
2019-02-08,127.48,128.6,126.55,128.6,128.6,3135042.0000000005
2019-02-11,128.95,130.07,128.69,128.93,128.93,2648527.0000000005
2019-02-12,130.26,133.56,130.0,132.67,132.67,4505567.0
2019-02-13,134.2,134.31,132.45,133.1,133.1,3189563.9999999995
2019-02-14,131.78,133.25,131.268,132.62,132.62,2877504.0
2019-02-15,134.1,136.25,133.68,136.2,136.2,5217523.0
2019-02-19,135.35,136.98,135.0,135.8,135.8,3881321.0
2019-02-20,136.39,140.69,136.34,140.31,140.31,6199038.0
2019-02-21,139.75,140.98,138.41,138.88,138.88,4051065.0
2019-02-22,138.78,139.69,137.93,138.68,138.68,3485007.0
2019-02-25,140.99,142.55,140.18,141.41,141.41,4444059.0
2019-02-26,136.53,139.03,135.27,137.98,137.98,7275601.0
2019-02-27,137.86,139.64,137.14,139.58,139.58,3441015.0
2019-02-28,138.55,139.0,137.14,137.34,137.34,4023970.0
2019-03-01,138.86,139.5,136.94,137.47,137.47,3810952.0
2019-03-04,138.8,139.77,137.095,138.35,138.35,3859825.0
2019-03-05,138.06,138.46,137.0,137.14,137.14,3122878.0
2019-03-06,137.54,137.659,134.73,134.83,134.83,3886033.0
2019-03-07,134.38,134.81,131.62,132.8,132.8,4290794.0
2019-03-08,130.5,132.13,130.23,131.35,131.35,4237956.0
2019-03-11,131.91,133.4,131.595,133.11,133.11,3914781.0
2019-03-12,133.24,133.38,131.92,132.48,132.48,4208776.0
2019-03-13,133.98,134.31,132.69,133.5,133.5,4285187.0
2019-03-14,132.84,134.07,132.02,133.69,133.69,3742487.0
2019-03-15,133.87,134.53,131.981,132.67,132.67,7049923.0
2019-03-18,132.7,134.2,132.53,134.1,134.1,4095418.0000000005
2019-03-19,135.35,135.71,133.51,134.15,134.15,3315928.0
2019-03-20,133.83,134.15,132.06,133.01,133.01,3522060.0
2019-03-21,132.16,134.6,132.01,134.06,134.06,2635695.0
2019-03-22,132.99,133.3,129.49,129.77,129.77,5745823.0
2019-03-25,129.59,132.0,129.23,131.38,131.38,3199920.0
2019-03-26,132.69,133.56,131.13,131.84,131.84,2638304.0
2019-03-27,132.27,132.47,130.25,131.2,131.2,2378318.0
2019-03-28,131.9,132.8,131.16,132.37,132.37,2487176.0
2019-03-29,134.0,136.28,133.62,135.49,135.49,4681573.0
2019-04-01,137.69,140.37,136.32,140.25,140.25,5081522.0
2019-04-02,140.15,140.69,139.23,140.19,140.19,2529038.0
2019-04-03,139.85,140.55,138.41,139.26,139.26,4821813.0
2019-04-04,139.14,140.87,139.0,140.13,140.13,2988945.0
2019-04-05,141.1,141.15,139.92,140.36,140.36,2812451.0
2019-04-08,140.0,140.12,138.61,139.82,139.82,2497583.0
2019-04-09,138.65,138.905,136.07,136.35,136.35,3316822.0
2019-04-10,137.16,138.21,136.28,137.53,137.53,3310886.0
2019-04-11,137.59,139.585,136.98,138.87,138.87,2762939.0
2019-04-12,141.0,141.92,139.81,141.2,141.2,4382980.0
2019-04-15,141.67,142.43,139.67,140.25,140.25,3030187.0000000005
2019-04-16,140.56,142.21,139.59,142.03,142.03,2673062.0
2019-04-17,143.0,144.495,142.46,142.74,142.74,3469375.0
2019-04-18,142.8,144.77,142.42,143.36,143.36,4504507.0
2019-04-22,142.95,143.18,141.43,142.38,142.38,3637910.0
2019-04-23,142.0,143.13,141.44,142.03,142.03,5930454.999999999
2019-04-24,139.75,140.3,136.56,137.73,137.73,8694391.0
2019-04-25,137.05,137.46,134.09,136.13,136.13,5094869.0
2019-04-26,136.56,139.03,135.89,139.03,139.03,5119376.0
2019-04-29,139.5,140.45,138.82,139.02,139.02,3374270.0
2019-04-30,139.99,140.0,137.58,139.42,139.42,3862031.0
2019-05-01,139.58,139.93,137.64,138.15,138.15,3652029.9999999995
2019-05-02,138.52,138.54,134.38,135.17,135.17,5405699.0
2019-05-03,136.12,139.2,135.8,139.06,139.06,4154832.0
2019-05-06,134.78,137.49,134.31,136.76,136.76,4866540.0
2019-05-07,135.2,136.0,132.06,133.67,133.67,5622885.0
2019-05-08,133.02,134.42,131.79,131.95,131.95,4140453.9999999995
2019-05-09,130.22,131.68,128.18,131.2,131.2,5906152.0
2019-05-10,130.53,131.73,127.92,131.34,131.34,5240634.0
2019-05-13,127.51,127.52,124.08,125.3,125.3,8580682.0
2019-05-14,126.5,128.555,125.7,127.47,127.47,4019072.0
2019-05-15,125.91,127.96,124.98,127.3,127.3,2875870.0
2019-05-16,128.43,128.53,126.415,126.61,126.61,4316590.0
2019-05-17,124.38,125.53,122.315,122.76,122.76,6122573.0
2019-05-20,121.56,123.025,121.31,122.43,122.43,6312469.0
2019-05-21,123.33,125.071,122.72,124.95,124.95,5492942.0
2019-05-22,124.25,125.439,123.52,123.56,123.56,4620431.0
2019-05-23,122.1,123.76,121.41,122.26,122.26,4964856.0
2019-05-24,123.52,124.08,122.21,122.9,122.9,3802541.0
2019-05-28,122.9,123.46,121.51,121.59,121.59,4889389.0
2019-05-29,120.5,122.825,120.26,121.48,121.48,5330040.0
2019-05-30,121.61,122.678,121.278,121.84,121.84,2878304.0
2019-05-31,119.79,120.749,118.74,119.81,119.81,4711664.0
2019-06-03,119.91,121.69,119.76,120.65,120.65,4161778.0
2019-06-04,121.81,122.77,120.75,122.08,122.08,4060408.0
2019-06-05,123.4,123.64,121.96,123.12,123.12,3598662.0
2019-06-06,123.1,123.95,122.234,123.39,123.39,3295687.0
2019-06-07,124.38,125.63,124.08,124.46,124.46,2547716.0
2019-06-10,125.47,127.28,125.24,125.74,125.74,3705109.0
2019-06-11,129.0,129.6,126.96,127.28,127.28,4516322.0
2019-06-12,126.75,127.52,126.08,127.1,127.1,3034623.0000000005
2019-06-13,127.35,128.4,126.76,127.17,127.17,3495200.0
2019-06-14,126.61,127.65,125.5,127.23,127.23,2530176.0
2019-06-17,127.21,128.23,126.68,127.32,127.32,2607918.0000000005
2019-06-18,128.4,131.35,128.21,130.33,130.33,4756118.0
2019-06-19,130.32,131.54,129.87,130.61,130.61,3847212.0
2019-06-20,132.9,133.8,131.51,133.63,133.63,3803617.0
2019-06-21,133.35,135.25,132.55,133.89,133.89,5742483.0
2019-06-24,133.64,134.95,133.55,134.37,134.37,3197867.0
2019-06-25,134.58,134.91,132.63,133.71,133.71,3751778.0
2019-06-26,134.26,135.65,134.175,135.15,135.15,3343653.0
2019-06-27,135.7,136.01,133.97,135.5,135.5,3594441.0
2019-06-28,136.0,137.27,136.0,136.29,136.29,10469433.0
2019-07-01,139.3,140.17,134.97,136.6,136.6,4846206.0
2019-07-02,136.6,136.99,135.07,135.85,135.85,3205247.0
2019-07-03,136.44,136.48,134.33,135.59,135.59,2538551.0
2019-07-05,134.43,135.59,133.22,135.49,135.49,3072084.0
2019-07-08,135.15,136.13,134.43,134.84,134.84,2742052.0
2019-07-09,134.11,134.44,133.35,134.29,134.29,2618659.0
2019-07-10,134.73,135.49,132.55,132.64,132.64,3933317.0
2019-07-11,133.2,134.01,132.59,133.96,133.96,3164362.0
2019-07-12,134.71,138.38,134.6,138.36,138.36,4149828.0
2019-07-15,138.38,139.994,138.265,139.64,139.64,4498676.0
2019-07-16,139.41,140.62,138.16,139.09,139.09,4051572.0
2019-07-17,138.2,138.51,135.73,135.73,135.73,3750197.0
2019-07-18,134.87,135.93,134.04,134.89,134.89,3552126.0
2019-07-19,134.22,137.045,134.22,136.23,136.23,4837056.0
2019-07-22,136.37,136.66,134.6,135.24,135.24,3267904.0
2019-07-23,135.93,138.225,135.53,138.1,138.1,4122180.0
2019-07-24,130.98,134.31,128.45,131.91,131.91,12664908.0
2019-07-25,131.08,134.9,131.01,134.71,134.71,4823165.0
2019-07-26,134.45,134.725,132.63,132.92,132.92,4237994.0
2019-07-29,133.49,134.65,132.85,134.46,134.46,2715564.0
2019-07-30,133.32,133.575,131.49,132.95,132.95,3257181.0
2019-07-31,132.9,134.37,131.01,131.67,131.67,4321957.0
2019-08-01,131.64,133.19,126.42,126.79,126.79,5530111.000000001
2019-08-02,126.55,126.8,123.5,124.54,124.54,5968613.0
2019-08-05,122.11,122.81,120.33,121.65,121.65,5482488.0
2019-08-06,122.78,123.65,120.64,122.08,122.08,3713912.0000000005
2019-08-07,120.0,121.2,118.65,120.78,120.78,5048726.0
2019-08-08,121.0,122.1,120.37,122.02,122.02,3734773.0
2019-08-09,121.51,121.7,118.81,119.38,119.38,3805602.0
2019-08-12,118.95,119.03,116.07,116.72,116.72,4310305.0
2019-08-13,116.94,122.0,116.79,119.01,119.01,4363016.0
2019-08-14,116.58,116.9,115.04,115.21,115.21,5543082.000000001
2019-08-15,115.08,115.6,113.97,115.25,115.25,4171878.0
2019-08-16,116.25,117.87,115.92,116.43,116.43,3551929.0
2019-08-19,118.22,118.49,116.71,117.36,117.36,2631016.0
2019-08-20,117.59,117.79,116.466,116.67,116.67,2402447.0
2019-08-21,118.0,119.32,117.54,117.68,117.68,2783752.0
2019-08-22,118.33,118.936,117.22,117.89,117.89,2120512.0
2019-08-23,116.25,116.9,113.32,114.06,114.06,6105282.0
2019-08-26,115.06,115.67,113.84,114.42,114.42,5201870.0
2019-08-27,115.16,115.46,113.151,113.38,113.38,3161180.0
2019-08-28,112.86,114.95,111.75,114.86,114.86,3195047.0
2019-08-29,116.62,118.13,116.49,117.77,117.77,3447962.0
2019-08-30,119.02,119.59,118.45,119.0,119.0,2912975.0
2019-09-03,117.9,117.9,115.4,117.03,117.03,3781536.0
2019-09-04,118.42,119.24,118.26,119.1,119.1,3702307.0
2019-09-05,120.5,124.24,120.5,122.99,122.99,5357890.0
2019-09-06,123.71,124.34,122.46,122.7,122.7,3315702.9999999995
2019-09-09,123.39,127.39,123.2,127.25,127.25,4433325.0
2019-09-10,127.26,130.29,127.22,130.29,130.29,8479717.0
2019-09-11,130.85,133.19,129.47,133.09,133.09,7592635.0
2019-09-12,132.0,132.69,130.07,131.75,131.75,5594600.0
2019-09-13,132.8,133.99,131.13,133.78,133.78,3704948.0
2019-09-16,132.99,133.8,131.99,133.15,133.15,2876495.0
2019-09-17,132.59,132.76,131.19,132.17,132.17,2904129.0
2019-09-18,131.63,132.215,129.72,131.07,131.07,3022901.0
2019-09-19,131.47,132.03,129.87,130.12,130.12,2735957.0
2019-09-20,130.01,130.99,127.87,128.16,128.16,6438036.0
2019-09-23,127.34,128.88,126.34,128.42,128.42,2831819.0
2019-09-24,128.74,129.0,125.57,125.99,125.99,3447414.0
2019-09-25,125.85,126.82,125.02,126.61,126.61,2383176.0
2019-09-26,126.79,126.92,125.65,126.39,126.39,2539176.0
2019-09-27,127.0,127.38,125.66,126.59,126.59,2214299.0
2019-09-30,126.34,127.095,125.88,126.31,126.31,2804049.9999999995
2019-10-01,127.4,128.5,122.3,122.37,122.37,3740091.0
2019-10-02,121.15,121.85,119.34,119.96,119.96,4304179.0
2019-10-03,119.34,120.06,117.25,120.04,120.04,3168153.0
2019-10-04,119.72,121.15,119.35,121.04,121.04,2474888.0
2019-10-07,120.85,121.7,119.75,120.25,120.25,2375347.0
2019-10-08,118.79,119.2,117.69,117.97,117.97,3550933.9999999995
2019-10-09,119.49,120.06,118.0,119.44,119.44,2638282.0
2019-10-10,120.04,123.03,119.76,122.69,122.69,3284202.0
2019-10-11,125.61,130.38,125.4,128.4,128.4,6776172.0
2019-10-14,126.81,128.56,126.01,128.38,128.38,2885247.0
2019-10-15,127.99,131.68,127.65,131.03,131.03,3298517.0
2019-10-16,131.0,132.81,130.11,130.19,130.19,3064010.0
2019-10-17,130.97,132.86,130.18,132.07,132.07,3425488.0000000005
2019-10-18,130.15,132.03,129.99,130.71,130.71,4330724.0
2019-10-21,131.95,133.45,131.5,132.23,132.23,4273117.0
2019-10-22,132.59,134.26,130.94,133.69,133.69,4744362.0
2019-10-23,134.23,135.99,130.7,135.34,135.34,11307592.0
2019-10-24,135.09,135.29,132.383,133.85,133.85,3935579.0
2019-10-25,135.0,139.98,134.85,139.73,139.73,8319459.000000001
2019-10-28,139.97,141.63,138.87,140.06,140.06,6174009.0
2019-10-29,139.38,141.45,138.77,141.33,141.33,4427934.0
2019-10-30,141.0,141.0,139.61,140.34,140.34,3948056.0000000005
2019-10-31,139.37,140.34,136.391,137.8,137.8,4037595.0
2019-11-01,139.37,144.61,139.23,144.49,144.49,6220185.0
2019-11-04,145.35,147.0,145.02,146.92,146.92,5437838.0
2019-11-05,146.86,148.0,145.665,146.37,146.37,4516698.0
2019-11-06,146.47,146.47,144.66,145.49,145.49,3736631.0
2019-11-07,147.39,148.405,146.751,147.01,147.01,3816745.0
2019-11-08,146.66,148.18,145.8,148.16,148.16,2778100.0
2019-11-11,146.74,148.15,146.61,148.0,148.0,2205323.0
2019-11-12,148.11,148.47,146.02,146.34,146.34,2846407.0
2019-11-13,144.36,145.86,143.69,144.49,144.49,3226768.0
2019-11-14,144.21,145.34,143.21,143.44,143.44,2584144.9999999995
2019-11-15,144.56,145.88,144.51,145.31,145.31,2827466.0
2019-11-18,144.24,144.78,143.02,143.59,143.59,2639044.0
2019-11-19,144.35,144.76,142.76,143.18,143.18,2085171.0
2019-11-20,142.45,142.7,140.102,141.52,141.52,3484788.0
2019-11-21,141.55,143.94,140.95,143.36,143.36,3297688.0
2019-11-22,143.92,144.46,143.03,143.88,143.88,2258350.0
2019-11-25,144.75,146.57,143.8,146.42,146.42,3085159.0
2019-11-26,146.4,146.65,145.49,146.09,146.09,2468307.0
2019-11-27,145.02,145.72,143.7,145.69,145.69,2661395.9999999995
2019-11-29,144.19,145.46,143.79,144.73,144.73,1652467.0
2019-12-02,145.2,146.04,142.84,142.96,142.96,2899535.0
2019-12-03,140.05,140.43,138.56,140.06,140.06,3962727.0
2019-12-04,140.98,142.28,140.0,140.12,140.12,2484621.0
2019-12-05,140.58,141.12,139.53,141.05,141.05,2278450.0
2019-12-06,142.91,143.42,142.17,142.72,142.72,2271409.0
2019-12-09,142.97,143.28,142.37,142.83,142.83,1610790.0
2019-12-10,142.69,143.59,141.75,142.87,142.87,1888944.0
2019-12-11,143.77,144.62,143.29,144.0,144.0,2265798.0
2019-12-12,143.54,147.4,143.0,146.78,146.78,3716857.9999999995
2019-12-13,146.8,148.4,145.15,145.53,145.53,3311720.0000000005
2019-12-16,147.71,148.3,145.23,145.36,145.36,2415585.0
2019-12-17,145.5,146.99,145.46,146.37,146.37,2850861.0
2019-12-18,146.5,147.3,145.6,147.12,147.12,2629925.0
2019-12-19,146.98,146.98,144.3,145.02,145.02,3577540.0
2019-12-20,147.38,147.77,145.24,147.57,147.57,6806221.0
2019-12-23,147.68,148.53,146.78,148.5,148.5,2348776.0
2019-12-24,148.7,148.8,147.29,147.48,147.48,966205.0000000001
2019-12-26,147.9,148.23,146.99,148.22,148.22,1577267.0
2019-12-27,148.64,148.93,147.99,148.28,148.28,1544462.0
2019-12-30,148.42,148.47,147.01,147.52,147.52,1789153.0
2019-12-31,147.43,148.23,146.79,147.68,147.68,1952450.0
2020-01-02,149.0,150.55,147.977,150.53,150.53,3311940.0
2020-01-03,148.77,149.96,147.45,148.44,148.44,3100588.0
2020-01-06,147.27,148.56,146.541,148.34,148.34,2552146.0
2020-01-07,147.35,147.57,145.51,146.38,146.38,2852081.9999999995
2020-01-08,146.83,148.57,146.458,147.68,147.68,2153182.0
2020-01-09,147.81,147.969,146.51,147.31,147.31,2272709.0
2020-01-10,147.45,147.72,145.83,146.13,146.13,2393712.0
2020-01-13,146.53,146.83,145.55,146.82,146.82,3356908.0000000005
2020-01-14,147.45,147.98,146.31,146.68,146.68,2743259.0
2020-01-15,146.22,146.74,145.2,145.57,145.57,2640634.0
2020-01-16,146.43,147.93,146.24,147.87,147.87,3070921.0
2020-01-17,147.21,148.274,146.6,147.78,147.78,3331614.0
2020-01-21,147.2,147.87,145.69,145.85,145.85,2476809.0
2020-01-22,146.25,146.56,142.52,142.63,142.63,3602817.9999999995
2020-01-23,141.81,143.21,139.8,142.75,142.75,3182744.0
2020-01-24,142.55,142.7,139.26,140.38,140.38,2526156.0
2020-01-27,136.9,137.81,135.57,135.73,135.73,2920525.0
2020-01-28,137.02,137.6,135.62,136.74,136.74,2763803.0
2020-01-29,137.59,137.76,135.67,135.78,135.78,2620618.0
2020-01-30,134.76,135.97,132.91,135.37,135.37,3862645.0
2020-01-31,133.82,134.99,130.54,131.35,131.35,6785669.0
2020-02-03,131.44,133.16,129.3,129.77,129.77,4385718.0
2020-02-04,133.0,134.78,132.68,133.51,133.51,3501629.0
2020-02-05,135.55,137.47,135.44,137.44,137.44,4448092.0
2020-02-06,138.2,138.33,136.13,137.25,137.25,2283759.0
2020-02-07,136.04,136.49,133.0,133.37,133.37,3812251.0
2020-02-10,133.04,134.33,132.78,134.32,134.32,2331632.0
2020-02-11,135.49,137.23,135.06,136.19,136.19,2381972.0
2020-02-12,138.4,139.94,138.09,139.59,139.59,3221976.0
2020-02-13,140.0,140.5,138.43,139.72,139.72,3318815.0
2020-02-14,139.49,139.616,136.89,137.99,137.99,2813705.0
