Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,107.34,111.68,107.1,110.69,110.69,6384752.0
2019-01-03,111.055,111.29,108.07,108.57,108.57,6496197.0
2019-01-04,110.28,110.99,109.47,110.82,110.82,7952718.0
2019-01-07,111.06,112.93,109.92,112.26,112.26,5712672.0
2019-01-08,113.4,113.79,111.67,111.77,111.77,5674948.000000001
2019-01-09,112.69,114.0,112.45,113.27,113.27,7097032.0
2019-01-10,112.51,113.63,111.71,113.45,113.45,6078294.0
2019-01-11,113.0,113.05,111.67,112.54,112.54,4491701.0
2019-01-14,111.34,112.34,111.08,111.72,111.72,6121770.0
2019-01-15,111.98,113.07,111.51,112.12,112.12,4226071.0
2019-01-16,111.43,112.32,111.22,111.4,111.4,5624092.000000001
2019-01-17,110.75,112.293,110.17,111.96,111.96,4442707.0
2019-01-18,113.99,114.65,113.06,114.37,114.37,9382007.0
2019-01-22,113.12,113.45,111.95,112.34,112.34,7241953.0
2019-01-23,112.38,112.673,110.42,111.39,111.39,6082318.0
2019-01-24,111.03,113.82,110.91,113.51,113.51,8470714.0
2019-01-25,114.06,114.78,112.99,113.22,113.22,6263647.999999999
2019-01-28,111.91,112.57,111.07,112.17,112.17,6886584.0
2019-01-29,113.03,113.35,111.77,111.83,111.83,5359949.0
2019-01-30,112.53,113.65,111.98,113.01,113.01,7941746.000000001
2019-01-31,113.8,115.41,113.38,114.65,114.65,11225591.0
2019-02-01,116.65,119.25,116.6,118.37,118.37,10934318.0
2019-02-04,117.5,119.75,116.31,119.74,119.74,7987938.0
2019-02-05,119.62,119.86,118.69,119.48,119.48,6887384.0
2019-02-06,119.0,119.59,118.691,118.88,118.88,4990460.0
2019-02-07,118.01,118.51,116.51,118.23,118.23,7281907.0
2019-02-08,117.74,117.89,115.92,117.58,117.58,5670965.0
2019-02-11,116.93,117.36,116.39,116.95,116.95,4859572.0
2019-02-12,118.33,118.87,117.61,118.72,118.72,5400708.0
2019-02-13,119.16,120.39,118.699,119.57,119.57,5935860.0
2019-02-14,118.37,119.53,117.66,118.16,118.16,5406775.0
2019-02-15,119.62,119.86,118.59,119.35,119.35,6209779.999999999
2019-02-19,118.9,119.86,118.46,119.31,119.31,4277896.0
2019-02-20,119.31,120.72,119.0,120.28,120.28,5940587.0
2019-02-21,120.07,120.32,118.39,119.14,119.14,5139421.0
2019-02-22,120.28,120.46,118.85,119.39,119.39,4517629.0
2019-02-25,119.41,120.42,119.37,119.62,119.62,5196584.0
2019-02-26,119.81,120.97,119.68,119.94,119.94,5445647.0
2019-02-27,120.29,121.29,119.89,120.08,120.08,5289818.0
2019-02-28,120.0,120.16,118.49,119.58,119.58,6406482.999999999
2019-03-01,120.39,122.04,120.17,122.03,122.03,7743561.0
2019-03-04,122.67,122.84,120.55,122.12,122.12,7499511.0
2019-03-05,121.87,123.35,121.59,123.29,123.29,7345213.0
2019-03-06,123.17,124.7,122.3,123.53,123.53,7600039.0
2019-03-07,123.42,123.5,121.7,121.94,121.94,7201128.0
2019-03-08,120.1,121.93,119.2,121.62,121.62,7014107.0
2019-03-11,122.87,124.2,122.75,123.62,123.62,6088681.0
2019-03-12,123.84,124.96,123.38,123.9,123.9,6184252.0
2019-03-13,124.6,124.93,123.9,124.67,124.67,4707363.0
2019-03-14,124.76,125.46,124.48,124.6,124.6,5146420.000000001
2019-03-15,124.59,125.42,124.35,125.31,125.31,10449712.0
2019-03-18,125.21,126.13,125.17,125.88,125.88,5586982.0
2019-03-19,126.56,126.92,124.74,125.28,125.28,5096794.0
2019-03-20,125.04,126.34,124.68,124.69,124.69,6708647.999999999
2019-03-21,124.87,125.96,124.51,125.86,125.86,5050588.0
2019-03-22,124.85,124.9,122.7,123.09,123.09,5786776.0
2019-03-25,122.93,123.35,122.31,122.89,122.89,3837471.0
2019-03-26,123.77,124.91,123.38,124.13,124.13,4079868.0
2019-03-27,123.98,124.48,122.017,122.79,122.79,3727814.0
2019-03-28,122.6,123.16,122.36,123.02,123.02,4057726.0
2019-03-29,124.28,124.47,122.49,123.18,123.18,5318647.999999999
2019-04-01,123.87,125.27,123.45,124.94,124.94,5506305.0
2019-04-02,125.2,125.44,124.11,124.93,124.93,4362674.0
2019-04-03,125.22,125.35,123.54,123.89,123.89,3595394.0
2019-04-04,124.01,124.83,123.55,124.8,124.8,3715612.0
2019-04-05,125.25,126.64,125.2,126.42,126.42,5551394.0
2019-04-08,126.77,127.34,126.23,126.68,126.68,5483102.0
2019-04-09,126.29,126.29,125.12,125.54,125.54,4143392.0
2019-04-10,126.14,126.565,125.13,125.49,125.49,3970003.0
2019-04-11,125.34,126.255,124.75,125.99,125.99,3248263.0
2019-04-12,121.58,122.0,119.0,119.76,119.76,42693707.00000001
2019-04-15,120.02,121.02,119.33,120.14,120.14,13369114.0
2019-04-16,120.43,121.32,120.06,121.17,121.17,11942932.0
2019-04-17,122.2,122.54,120.05,120.27,120.27,11898072.0
2019-04-18,120.52,120.82,119.1,119.86,119.86,9546462.0
2019-04-22,120.78,122.01,120.45,121.9,121.9,7946203.0
2019-04-23,121.73,122.28,121.349,122.02,122.02,9079208.0
2019-04-24,121.35,121.43,118.09,118.28,118.28,22114969.0
2019-04-25,118.05,118.7,117.4,117.9,117.9,10636448.0
2019-04-26,118.4,118.5,115.65,117.1,117.1,11626677.0
2019-04-29,117.01,118.11,116.7,117.72,117.72,9404221.0
2019-04-30,121.1,121.92,119.65,120.06,120.06,21431718.0
2019-05-01,119.8,120.14,117.76,117.81,117.81,10096975.0
2019-05-02,117.28,118.475,116.28,116.38,116.38,9495613.0
2019-05-03,117.69,118.545,117.11,117.27,117.27,7365249.0
2019-05-06,117.5,119.84,117.47,118.4,118.4,11034974.0
2019-05-07,117.3,118.27,116.5,118.27,118.27,9165204.0
2019-05-08,118.37,118.48,117.4,117.5,117.5,6229243.0
2019-05-09,121.12,122.32,119.86,121.19,121.19,16496308.0
2019-05-10,121.17,122.27,119.83,121.99,121.99,8787875.0
2019-05-13,121.91,122.26,120.01,120.44,120.44,7701636.0
2019-05-14,120.67,122.25,120.51,121.64,121.64,6858533.0
2019-05-15,121.2,122.49,120.87,122.14,122.14,6944992.999999999
2019-05-16,120.99,121.55,120.53,120.8,120.8,8543586.0
2019-05-17,120.06,121.11,119.879,120.52,120.52,6871127.0
2019-05-20,120.71,121.21,120.54,120.84,120.84,4569653.0
