Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,71.4,71.48,70.23,71.18,71.18,6377975.0
2019-01-03,71.14,71.57,70.28,70.84,70.84,6264696.0
2019-01-04,70.67,72.44,70.64,72.21,72.21,4567255.0
2019-01-07,71.89,72.39,71.05,71.51,71.51,5009186.0
2019-01-08,71.51,72.39,71.18,72.34,72.34,5453768.0
2019-01-09,72.26,72.75,71.71,72.22,72.22,3986267.0000000005
2019-01-10,72.34,72.9,70.66,71.9,71.9,7266481.0
2019-01-11,71.18,71.45,69.42,69.85,69.85,5615608.0
2019-01-14,69.36,69.37,67.72,67.97,67.97,7249589.999999999
2019-01-15,67.52,68.95,67.41,68.88,68.88,5780943.999999999
2019-01-16,68.69,69.03,68.117,68.97,68.97,5574973.0
2019-01-17,68.76,69.25,68.54,68.94,68.94,4184327.0
2019-01-18,69.14,69.2,68.3,68.77,68.77,4149653.0
2019-01-22,68.69,68.98,68.025,68.59,68.59,5481920.0
2019-01-23,68.6,69.48,68.58,69.43,69.43,5005556.0
2019-01-24,69.57,69.71,68.49,69.13,69.13,4967303.0
2019-01-25,68.82,69.525,68.82,69.16,69.16,5621725.0
2019-01-28,68.98,69.231,68.28,68.37,68.37,7980590.999999999
2019-01-29,68.8,68.95,68.29,68.69,68.69,6100469.000000001
2019-01-30,68.5,69.705,68.5,69.44,69.44,5565964.0
2019-01-31,69.44,70.6,69.04,70.24,70.24,8457046.0
2019-02-01,70.42,71.36,70.021,70.97,70.97,5090154.0
2019-02-04,70.86,71.71,70.51,71.45,71.45,6226521.0
2019-02-05,71.31,72.0,71.04,71.93,71.93,4041211.0
2019-02-06,71.78,71.97,71.27,71.79,71.79,2893830.0
2019-02-07,71.81,72.67,71.385,72.67,72.67,3397663.0
2019-02-08,72.61,73.07,72.35,73.05,73.05,4160889.0000000005
2019-02-11,72.87,73.36,72.5,72.81,72.81,3481001.9999999995
2019-02-12,72.95,73.594,72.4,73.2,73.2,3938821.0
2019-02-13,72.99,73.41,72.7,73.25,73.25,7234074.000000001
2019-02-14,73.26,73.685,72.81,72.9,72.9,3642081.0
2019-02-15,73.24,73.57,73.01,73.26,73.26,4662432.0
2019-02-19,73.27,73.675,73.01,73.54,73.54,6080955.0
2019-02-20,73.5,73.78,73.23,73.54,73.54,5685748.0
2019-02-21,73.35,74.44,73.31,74.34,74.34,3966551.0
2019-02-22,74.54,75.05,74.07,75.05,75.05,3219113.0
2019-02-25,75.11,75.24,74.34,75.12,75.12,3751080.0
2019-02-26,75.0,75.11,73.32,73.89,73.89,4357327.0
2019-02-27,73.74,74.4,73.71,74.33,74.33,3596881.0
2019-02-28,73.53,74.32,73.3,74.09,74.09,6208758.0
2019-03-01,74.13,74.875,73.77,74.79,74.79,3917882.0
2019-03-04,74.92,75.27,74.13,75.27,75.27,4604186.0
2019-03-05,75.27,75.96,75.12,75.45,75.45,6087363.0
2019-03-06,75.56,76.1,75.25,75.83,75.83,4962976.0
2019-03-07,76.11,76.47,75.85,76.12,76.12,4242879.0
2019-03-08,76.23,76.35,75.14,75.73,75.73,3754533.0
2019-03-11,75.62,76.49,75.62,76.32,76.32,3727034.0
2019-03-12,76.5,76.67,76.04,76.33,76.33,4095186.0
2019-03-13,76.35,76.53,76.14,76.3,76.3,4801409.0
2019-03-14,76.6,76.74,76.065,76.64,76.64,5120644.999999999
2019-03-15,76.44,77.22,76.235,77.04,77.04,13411048.0
2019-03-18,77.1,77.16,76.27,76.61,76.61,3797611.9999999995
2019-03-19,76.67,76.725,75.0,75.19,75.19,5730525.0
2019-03-20,75.45,75.45,74.77,74.94,74.94,4656004.0
2019-03-21,75.11,75.49,74.905,75.11,75.11,4049422.0
2019-03-22,75.19,75.89,75.05,75.52,75.52,5324247.0
2019-03-25,75.72,76.035,75.2,75.94,75.94,3770607.0
2019-03-26,76.05,76.93,75.79,76.88,76.88,2658279.0
2019-03-27,76.72,76.92,76.3,76.84,76.84,4460694.0
2019-03-28,76.81,77.05,75.59,75.67,75.67,4236348.0
2019-03-29,75.51,76.77,75.22,76.66,76.66,5008390.0
2019-04-01,76.57,76.84,75.77,76.69,76.69,3488836.9999999995
2019-04-02,76.8,77.0,76.03,76.97,76.97,3934742.0
2019-04-03,76.85,77.265,76.24,76.96,76.96,3358707.9999999995
2019-04-04,77.1,77.12,76.285,76.9,76.9,2701580.0
2019-04-05,76.91,77.5,76.44,77.47,77.47,4478348.0
2019-04-08,77.27,77.3,76.4,76.67,76.67,3525699.0
2019-04-09,76.6,76.83,76.01,76.39,76.39,3272281.0
2019-04-10,76.5,76.88,75.54,75.83,75.83,4466185.0
2019-04-11,75.88,76.31,75.69,76.3,76.3,2169896.0
2019-04-12,76.15,76.5,75.62,76.44,76.44,2062985.0
2019-04-15,76.55,76.92,76.175,76.67,76.67,3362633.0
2019-04-16,76.48,76.99,75.03,75.12,75.12,3079298.0
2019-04-17,75.22,75.695,74.67,75.27,75.27,3022971.9999999995
2019-04-18,75.27,75.67,74.89,74.92,74.92,3307676.0
2019-04-22,74.82,75.06,74.41,74.7,74.7,2351369.0
2019-04-23,74.75,75.59,74.6,75.45,75.45,2922922.0
2019-04-24,75.54,76.38,75.38,76.29,76.29,2836496.0
2019-04-25,75.95,76.825,75.75,76.55,76.55,2215821.0
2019-04-26,76.81,77.3,76.66,76.79,76.79,1702397.0
2019-04-29,76.51,76.605,75.79,76.17,76.17,2598745.0
2019-04-30,76.29,77.91,76.2,77.87,77.87,3359873.0
2019-05-01,77.5,77.85,76.92,77.14,77.14,2878320.0
2019-05-02,77.28,77.39,76.46,76.98,76.98,2450306.0
2019-05-03,75.76,77.03,75.594,76.79,76.79,3126369.0000000005
2019-05-06,76.79,76.79,75.4,75.49,75.49,3725936.0
2019-05-07,75.39,75.48,74.635,75.04,75.04,3684486.0
2019-05-08,75.0,75.2,73.75,73.81,73.81,3180462.0
2019-05-09,73.75,73.99,72.61,73.31,73.31,3652309.0
2019-05-10,73.26,74.59,73.07,74.56,74.56,2335960.0
2019-05-13,74.31,75.77,74.31,75.6,75.6,3522265.0
2019-05-14,75.48,75.62,74.474,74.59,74.59,2907595.0
2019-05-15,74.79,74.92,74.29,74.29,74.29,2871006.0
2019-05-16,74.23,75.4,74.07,75.32,75.32,2659520.0
2019-05-17,74.72,75.79,74.67,75.6,75.6,2474342.0
2019-05-20,75.79,76.395,75.552,76.05,76.05,2702592.0
2019-05-21,76.13,77.08,75.75,76.73,76.73,3505222.9999999995
2019-05-22,76.73,77.55,76.58,77.33,77.33,2832434.0
2019-05-23,77.43,78.14,77.22,78.05,78.05,3301952.9999999995
2019-05-24,78.15,78.31,77.68,77.72,77.72,2101777.0
2019-05-28,77.91,77.91,76.22,76.25,76.25,5757317.0
2019-05-29,76.52,76.65,75.12,75.22,75.22,3159009.0
2019-05-30,75.17,75.6,74.035,74.31,74.31,3663672.0000000005
2019-05-31,74.46,75.3,74.21,75.18,75.18,3256426.0
2019-06-03,75.32,76.07,74.91,75.96,75.96,2833821.0
2019-06-04,75.88,76.16,74.48,75.97,75.97,2951458.0
2019-06-05,76.23,78.11,75.796,77.61,77.61,3738439.0
2019-06-06,76.61,76.79,76.03,76.35,76.35,5094244.0
2019-06-07,76.94,77.64,75.78,75.79,75.79,5142895.0
2019-06-10,75.67,75.75,75.05,75.42,75.42,3520126.0
2019-06-11,75.34,75.4,73.54,73.91,73.91,9241979.0
2019-06-12,74.2,75.345,74.15,75.08,75.08,11598122.0
