Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,86.11,86.19,84.3,84.7,84.7,2857480.0
2019-01-03,84.76,85.6,84.06,84.67,84.67,2959683.0
2019-01-04,84.16,85.45,84.06,85.37,85.37,3278116.0
2019-01-07,84.85,85.39,84.325,85.01,85.01,3060242.0
2019-01-08,85.04,86.17,84.5,86.08,86.08,2350510.0
2019-01-09,84.96,86.0,84.34,84.81,84.81,3264476.0
2019-01-10,85.05,85.59,84.63,85.27,85.27,3758033.0
2019-01-11,85.21,85.21,84.21,84.61,84.61,3082447.0
2019-01-14,84.32,84.32,82.46,83.66,83.66,3930963.0
2019-01-15,83.6,85.46,83.33,85.14,85.14,2722876.0
2019-01-16,84.72,85.38,84.34,85.27,85.27,2279097.0
2019-01-17,85.29,85.77,84.92,85.64,85.64,1895683.0
2019-01-18,85.94,86.02,85.205,85.6,85.6,2842639.0
2019-01-22,85.01,86.51,84.85,85.61,85.61,2693577.0
2019-01-23,85.49,86.15,85.29,86.13,86.13,2629442.0000000005
2019-01-24,86.23,86.77,85.36,86.7,86.7,2504350.0
2019-01-25,86.34,86.99,85.63,85.85,85.85,2472892.0
2019-01-28,86.02,86.29,85.13,85.65,85.65,2079081.0
2019-01-29,85.95,86.16,85.28,85.63,85.63,3625533.0
2019-01-30,85.36,86.535,85.26,86.05,86.05,2215070.0
2019-01-31,86.09,88.48,85.52,87.78,87.78,6869448.0
2019-02-01,87.78,88.05,86.86,87.78,87.78,3207075.0
2019-02-04,87.16,87.83,86.48,87.82,87.82,3301768.0
2019-02-05,87.91,88.645,87.41,88.5,88.5,3464321.0
2019-02-06,88.45,88.79,87.81,88.46,88.46,2467411.0
2019-02-07,88.4,89.5,87.85,89.48,89.48,2844600.0
2019-02-08,89.42,90.58,89.3,90.3,90.3,3716659.0
2019-02-11,90.08,90.65,89.7,90.17,90.17,2428300.0
2019-02-12,90.3,90.74,89.65,90.23,90.23,2676911.0
2019-02-13,89.9,90.21,89.315,89.59,89.59,5281420.000000001
2019-02-14,88.53,88.61,87.25,87.82,87.82,3987400.0
2019-02-15,88.45,88.49,87.015,87.51,87.51,4472941.0
2019-02-19,87.64,88.14,87.239,87.94,87.94,4358636.0
2019-02-20,87.95,89.06,87.54,88.85,88.85,3471191.0
2019-02-21,88.32,89.655,88.27,89.59,89.59,3167770.0
2019-02-22,89.7,90.29,89.36,89.91,89.91,2538531.0
2019-02-25,89.91,89.95,88.92,89.48,89.48,2550955.0
2019-02-26,89.63,89.89,88.191,88.88,88.88,3234514.0
2019-02-27,88.73,89.43,88.47,89.28,89.28,2112484.0
2019-02-28,89.21,89.99,89.0,89.66,89.66,4137332.0
2019-03-01,89.6,89.91,88.93,89.53,89.53,5613679.0
