Date,Open,High,Low,Close,Adj Close,Volume
2019-09-25,48.79,49.045,48.48,49.01,49.01,4524984.0
2019-09-26,49.05,49.315,48.77,49.18,49.18,3835849.0
2019-09-27,49.23,49.23,48.28,48.58,48.58,4642651.0
2019-09-30,48.59,48.8,48.22,48.31,48.31,3896367.0
2019-10-01,48.24,48.35,47.81,47.98,47.98,5159389.0
2019-10-02,48.05,48.11,47.53,47.62,47.62,4863651.0
2019-10-03,47.74,47.78,47.345,47.72,47.72,5213465.0
2019-10-04,47.95,48.49,47.655,48.45,48.45,3355982.0
2019-10-07,48.23,48.575,47.98,48.46,48.46,4797066.0
2019-10-08,48.17,48.45,47.75,47.77,47.77,4383417.0
2019-10-09,47.75,48.11,47.6,47.91,47.91,3058461.0
2019-10-10,47.68,47.725,47.09,47.42,47.42,4939511.0
2019-10-11,47.55,47.94,47.435,47.51,47.51,4412974.0
2019-10-14,47.61,47.659,46.9,47.105,47.105,2668611.0
2019-10-15,47.13,47.37,46.93,47.06,47.06,3484568.0
2019-10-16,46.75,46.75,44.74,44.91,44.91,11581451.0
2019-10-17,44.3,44.38,43.415,44.06,44.06,19581502.0
2019-10-18,44.0,44.765,43.92,44.665,44.665,20319079.0
2019-10-21,44.78,44.88,44.45,44.71,44.71,7404476.0
2019-10-22,44.97,45.265,44.59,45.25,45.25,8683914.0
2019-10-23,45.51,45.79,45.16,45.65,45.65,8714396.0
2019-10-24,45.56,46.26,45.56,46.18,46.18,6880195.0
2019-10-25,46.12,46.24,45.61,45.89,45.89,6409170.0
2019-10-28,45.83,45.89,45.44,45.6,45.6,6367709.0
2019-10-29,45.58,45.97,45.37,45.86,45.86,5574929.0
2019-10-30,45.82,46.67,45.74,46.66,46.66,7578278.0
2019-10-31,46.5,46.68,45.125,45.49,45.49,8266893.0
2019-11-01,45.44,45.92,45.24,45.34,45.34,5639392.0
2019-11-04,45.45,45.525,44.28,44.5,44.5,6965433.0
2019-11-05,44.48,44.985,44.31,44.78,44.78,7036880.0
2019-11-06,44.82,45.125,44.64,44.82,44.82,6254659.0
2019-11-07,44.61,44.79,44.35,44.7,44.7,4818394.0
2019-11-08,44.57,44.87,44.36,44.71,44.71,4156716.0
2019-11-11,44.67,44.71,43.915,44.02,44.02,3668192.0000000005
2019-11-12,44.02,44.53,43.96,44.32,44.32,4475892.0
2019-11-13,44.4,44.79,44.32,44.5,44.5,4515987.0
2019-11-14,44.12,44.66,44.02,44.63,44.63,4798472.0
2019-11-15,44.8,45.035,44.51,45.02,45.02,4607847.0
2019-11-18,45.18,45.6,44.97,45.41,45.41,6322148.999999999
2019-11-19,45.51,45.84,45.26,45.37,45.37,9678971.0
2019-11-20,45.2,45.44,44.53,45.36,45.36,25359895.0
2019-11-21,45.2,45.36,44.26,44.39,44.39,8430571.0
2019-11-22,44.57,44.59,44.07,44.43,44.43,5850030.0
2019-11-25,44.43,44.6,44.11,44.17,44.17,8003403.0
2019-11-26,44.1,44.25,43.81,44.01,44.01,11003558.0
2019-11-27,44.1,44.33,43.82,44.27,44.27,4185024.0
2019-11-29,44.33,44.62,44.2,44.4,44.4,3903514.0
2019-12-02,44.3,44.42,43.85,43.91,43.91,7091052.0
2019-12-03,44.18,44.31,43.805,44.26,44.26,7266044.000000001
2019-12-04,44.09,44.665,44.04,44.54,44.54,5136342.0
2019-12-05,44.65,44.89,44.24,44.86,44.86,5841061.0
2019-12-06,44.84,45.3,44.61,44.86,44.86,4442782.0
2019-12-09,44.91,45.04,44.68,44.93,44.93,3425428.9999999995
2019-12-10,45.05,45.15,44.68,44.72,44.72,5683602.0
2019-12-11,44.49,44.63,44.01,44.195,44.195,5592455.0
2019-12-12,44.25,44.54,43.81,44.1,44.1,6879129.0
2019-12-13,44.1,44.13,43.565,43.82,43.82,7198817.0
2019-12-16,43.99,44.76,43.945,44.7,44.7,7291862.0
2019-12-17,44.92,45.09,44.43,44.98,44.98,7252827.999999999
2019-12-18,45.15,45.4,44.465,45.37,45.37,6446267.0
2019-12-19,45.26,45.398,44.4,44.98,44.98,9138667.0
2019-12-20,45.35,45.73,44.98,45.45,45.45,11962672.0
2019-12-23,45.45,45.59,44.84,45.2,45.2,6660217.0
2019-12-24,45.28,45.44,45.09,45.32,45.32,1960805.0
2019-12-26,45.19,45.515,45.135,45.32,45.32,3432020.9999999995
2019-12-27,45.4,45.53,45.15,45.41,45.41,3493542.0
2019-12-30,45.4,45.71,45.24,45.38,45.38,3621033.0
2019-12-31,45.39,45.64,45.18,45.59,45.59,3691352.9999999995
2020-01-02,45.78,45.78,45.25,45.43,45.43,4888826.0
2020-01-03,45.33,45.765,45.32,45.57,45.57,5385573.000000001
2020-01-06,45.54,45.76,45.39,45.635,45.635,5551464.0
2020-01-07,45.53,45.69,45.12,45.68,45.68,6777396.0
2020-01-08,45.68,46.18,45.625,46.005,46.005,6139503.0
2020-01-09,45.92,46.19,45.58,46.15,46.15,5320854.000000001
2020-01-10,46.3,46.43,46.115,46.26,46.26,5738538.999999999
2020-01-13,46.23,46.58,46.12,46.19,46.19,6653880.0
2020-01-14,46.09,46.095,45.57,45.81,45.81,6279666.999999999
2020-01-15,46.05,46.91,46.01,46.55,46.55,5877284.0
2020-01-16,46.65,47.03,46.55,46.74,46.74,5763883.0
2020-01-17,46.96,47.47,46.73,47.39,47.39,7566295.0
2020-01-21,47.44,47.61,47.23,47.58,47.58,5097360.0
2020-01-22,47.57,47.91,47.5,47.66,47.66,8751545.0
2020-01-23,47.67,48.0,47.44,47.95,47.95,6076020.999999999
2020-01-24,47.85,48.17,47.55,47.73,47.73,4801223.0
2020-01-27,47.76,48.17,47.19,47.27,47.27,5451092.0
2020-01-28,47.26,47.91,47.23,47.73,47.73,5118538.0
2020-01-29,47.66,48.275,47.58,47.81,47.81,6526332.0
2020-01-30,47.62,48.15,47.4,48.06,48.06,5240488.0
2020-01-31,48.0,48.16,47.25,47.59,47.59,6880671.0
2020-02-03,47.68,48.3,47.6,48.2,48.2,6122899.0
2020-02-04,48.11,48.51,47.89,48.09,48.09,6091442.0
2020-02-05,48.01,48.44,47.82,48.33,48.33,5062968.0
2020-02-06,48.35,48.57,48.2,48.26,48.26,4162485.0
2020-02-07,48.37,48.58,48.15,48.19,48.19,4831435.0
2020-02-10,48.29,48.36,48.055,48.31,48.31,4227498.0
2020-02-11,48.31,49.465,48.31,49.34,49.34,6187445.0
2020-02-12,49.44,49.62,49.01,49.26,49.26,5279708.000000001
2020-02-13,49.45,49.695,49.205,49.57,49.57,5165540.999999999
2020-02-14,49.6,49.78,49.33,49.76,49.76,3643068.0
2020-02-18,49.92,50.54,49.65,50.38,50.38,5163076.0
2020-02-19,49.83,50.039,49.395,49.6,49.6,4023510.9999999995
2020-02-20,49.48,49.93,49.42,49.85,49.85,3745514.0
2020-02-21,49.84,50.044,49.65,49.72,49.72,7352332.0
2020-02-24,50.05,50.47,48.8,48.82,48.82,5989460.0
2020-02-25,48.77,48.875,47.51,47.63,47.63,7610223.999999999
2020-02-26,48.19,48.3,47.03,47.05,47.05,6901530.0
2020-02-27,47.11,47.14,45.12,45.14,45.14,8275434.0
2020-02-28,44.34,44.36,42.32,43.11,43.11,14879090.000000002
2020-03-02,43.19,45.44,42.9,45.43,45.43,9653778.0
2020-03-03,45.08,46.58,44.04,44.19,44.19,11652224.000000002
2020-03-04,44.61,46.865,44.51,46.82,46.82,8139820.999999999
2020-03-05,45.75,46.39,45.29,46.13,46.13,8488883.0
2020-03-06,44.01,45.37,43.56,45.17,45.17,9421638.0
2020-03-09,42.99,44.61,41.13,41.91,41.91,12448042.0
2020-03-10,42.68,43.68,40.88,43.12,43.12,13291561.0
2020-03-11,42.08,42.08,39.37,39.81,39.81,9143220.0
2020-03-12,37.5,38.23,34.425,35.27,35.27,13262277.999999998
2020-03-13,36.15,37.997,34.1,36.36,36.36,11414572.0
2020-03-16,33.17,35.59,29.78,30.51,30.51,8626644.0
2020-03-17,31.28,36.25,29.42,36.0,36.0,13613677.0
2020-03-18,33.85,34.73,30.92,33.04,33.04,9679988.0
2020-03-19,32.98,34.34,30.51,32.41,32.41,7480928.0
2020-03-20,32.67,33.48,30.82,31.0,31.0,8645011.0
2020-03-23,31.45,31.94,29.28,29.98,29.98,9696507.0
2020-03-24,31.46,34.57,31.36,34.51,34.51,11154265.0
2020-03-25,34.03,36.31,33.2,34.55,34.55,9018783.0
2020-03-26,34.57,36.99,34.26,36.59,36.59,6956192.0
2020-03-27,35.0,36.865,34.68,35.5,35.5,6617432.0
2020-03-30,35.69,37.48,35.5,37.23,37.23,7186313.0
2020-03-31,36.8,37.961,36.23,36.81,36.81,10591886.0
2020-04-01,35.2,35.78,32.94,33.48,33.48,5835527.0
2020-04-02,33.38,35.29,32.96,34.68,34.68,4312191.0
2020-04-03,34.19,34.45,32.39,32.75,32.75,6410809.0
2020-04-06,34.12,36.6,34.07,36.32,36.32,6897630.0
2020-04-07,37.56,37.89,35.65,35.79,35.79,6199444.999999999
2020-04-08,35.8,37.93,35.58,37.59,37.59,6604571.0
2020-04-09,37.97,39.83,37.97,39.15,39.15,9360912.0
2020-04-13,39.67,39.67,37.2,37.75,37.75,5644183.0
2020-04-14,38.86,39.14,38.11,39.07,39.07,5024277.0
2020-04-15,38.17,38.29,36.8,37.03,37.03,5905567.999999999
2020-04-16,37.15,37.62,36.415,37.1,37.1,4541469.0
2020-04-17,38.02,38.56,37.405,38.44,38.44,5713654.0
2020-04-20,37.66,37.85,37.02,37.07,37.07,4945686.0
2020-04-21,36.34,36.71,35.22,35.68,35.68,7887708.0
