Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,155.32,157.464,153.82,157.26,157.26,1276344.0
2019-01-03,156.0,156.73,152.44,153.37,153.37,1436004.0
2019-01-04,155.35,157.83,154.12,157.77,157.77,1839965.0
2019-01-07,157.63,159.67,155.93,158.65,158.65,1047431.0
2019-01-08,159.29,159.92,156.75,158.66,158.66,1350339.0
2019-01-09,159.26,161.51,159.16,160.9,160.9,1483825.0
2019-01-10,160.27,162.55,159.37,162.43,162.43,1131560.0
2019-01-11,161.28,163.85,160.9,163.81,163.81,1239323.0
2019-01-14,162.3,164.94,162.24,164.53,164.53,1367952.0
2019-01-15,164.85,165.39,162.39,163.14,163.14,1906833.0
2019-01-16,162.79,164.68,162.69,163.6,163.6,1090766.0
2019-01-17,162.0,166.83,161.75,165.72,165.72,976433.0
2019-01-18,167.0,170.13,166.24,168.58,168.58,1665849.0
2019-01-22,167.65,168.79,165.565,167.22,167.22,1298110.0
2019-01-23,168.48,169.91,166.14,168.81,168.81,1199772.0
2019-01-24,169.19,172.5,169.19,170.82,170.82,1329668.0
2019-01-25,172.65,172.9,170.8,171.22,171.22,1192090.0
2019-01-28,169.68,172.26,169.22,172.19,172.19,1285015.0
2019-01-29,172.73,176.16,172.73,176.0,176.0,1573800.0
2019-01-30,169.84,171.35,165.02,170.91,170.91,4073435.0
2019-01-31,169.18,173.3,169.08,171.17,171.17,2162600.0
2019-02-01,171.38,172.0,168.25,169.03,169.03,1716653.0
2019-02-04,169.38,174.61,169.22,174.61,174.61,1664657.0
2019-02-05,174.61,174.95,171.99,172.22,172.22,1583308.0
2019-02-06,171.98,174.53,171.98,172.76,172.76,1180302.0
2019-02-07,172.12,173.64,170.45,173.59,173.59,1538450.0
2019-02-08,172.86,173.265,171.3,172.12,172.12,2255589.0
2019-02-11,172.47,172.9,170.68,170.93,170.93,1159739.0
2019-02-12,171.63,173.19,171.38,172.76,172.76,1303432.0
2019-02-13,173.44,174.38,173.01,173.48,173.48,1053570.0
2019-02-14,173.02,173.08,171.49,172.1,172.1,843005.0
2019-02-15,172.54,175.4,171.69,175.24,175.24,1222893.0
2019-02-19,175.0,175.47,173.72,174.78,174.78,902428.0
2019-02-20,174.88,175.309,173.45,174.45,174.45,1038486.0
2019-02-21,174.18,174.313,170.89,171.63,171.63,979825.0
2019-02-22,172.17,172.72,171.63,172.54,172.54,1388411.9999999998
2019-02-25,174.04,174.36,172.98,173.14,173.14,951883.0
2019-02-26,172.81,173.04,169.9,170.0,170.0,1424101.0
2019-02-27,169.4,169.99,168.227,169.34,169.34,1514879.0
2019-02-28,169.2,170.98,168.89,170.22,170.22,1739728.0
2019-03-01,171.0,171.03,168.57,169.28,169.28,1109092.0
2019-03-04,170.4,170.4,166.46,166.75,166.75,1706528.9999999998
2019-03-05,166.75,168.38,166.75,168.03,168.03,1837263.0
2019-03-06,167.88,168.832,166.39,166.47,166.47,1080739.0
2019-03-07,166.18,166.535,163.932,166.34,166.34,1218271.0
2019-03-08,165.18,166.32,164.12,166.14,166.14,1324098.0
2019-03-11,165.12,169.86,164.68,169.51,169.51,1443774.0
2019-03-12,169.56,170.53,168.5,168.77,168.77,1452510.0
2019-03-13,169.43,173.1,169.03,171.72,171.72,1244743.0
2019-03-14,171.37,171.71,169.53,169.59,169.59,1261396.0
2019-03-15,169.64,170.96,168.657,169.79,169.79,3972139.0000000005
2019-03-18,169.77,171.99,169.67,171.67,171.67,1718762.0
2019-03-19,172.5,173.481,170.363,170.72,170.72,1314776.0
2019-03-20,170.69,170.97,168.36,168.49,168.49,871287.0
2019-03-21,168.35,170.362,168.18,169.83,169.83,702536.0
2019-03-22,169.4,169.54,165.71,165.85,165.85,816523.0
2019-03-25,166.28,167.21,165.43,166.62,166.62,853981.0
2019-03-26,167.92,168.5,165.92,166.9,166.9,905911.0
2019-03-27,167.29,168.58,165.65,166.56,166.56,712115.0
2019-03-28,167.19,168.2,166.06,167.76,167.76,859051.9999999999
2019-03-29,168.87,169.425,168.503,169.28,169.28,1333670.0
2019-04-01,170.25,172.77,170.04,172.31,172.31,1055123.0
2019-04-02,171.92,172.203,169.52,169.94,169.94,1367808.0
2019-04-03,170.6,170.6,166.75,167.75,167.75,1484858.9999999998
2019-04-04,168.0,170.37,167.82,169.17,169.17,1062064.0
2019-04-05,169.26,171.13,168.59,171.12,171.12,1240361.0
2019-04-08,170.52,172.53,170.095,172.3,172.3,1159753.0
2019-04-09,171.17,171.565,169.06,169.17,169.17,1037086.9999999999
2019-04-10,169.22,169.83,167.61,169.37,169.37,926839.0
2019-04-11,168.79,171.65,168.39,171.43,171.43,1212411.0
2019-04-12,172.67,175.49,172.05,174.93,174.93,1454065.0
2019-04-15,174.37,174.75,171.5,172.0,172.0,1601544.0
2019-04-16,172.7,174.727,172.7,173.74,173.74,931728.0
2019-04-17,175.0,176.48,174.27,174.53,174.53,988403.0
2019-04-18,174.9,177.0,174.51,176.85,176.85,1348448.0
2019-04-22,175.87,177.855,175.27,177.03,177.03,1467058.0
2019-04-23,179.66,183.13,178.8,182.37,182.37,1948133.0
2019-04-24,193.11,193.11,180.24,180.73,180.73,3087278.0
2019-04-25,179.74,180.22,175.92,176.88,176.88,1799148.0000000002
2019-04-26,177.14,178.15,176.15,178.07,178.07,852316.0
2019-04-29,178.0,179.64,177.601,179.21,179.21,844937.9999999999
2019-04-30,179.55,179.98,176.72,178.72,178.72,1213173.0
2019-05-01,179.12,179.93,176.35,176.39,176.39,1224102.0
2019-05-02,175.81,176.35,172.8,174.57,174.57,2036484.0
2019-05-03,175.24,176.79,175.08,176.69,176.69,1354422.0000000002
