Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,169.71,173.18,169.05,172.41,172.41,4242898.0
2019-01-03,171.84,171.84,168.21,168.61,168.61,4810468.0
2019-01-04,170.18,174.74,169.52,173.62,173.62,4762627.0
2019-01-07,173.83,178.18,173.83,177.04,177.04,4928789.0
2019-01-08,178.57,179.59,175.61,177.89,177.89,4722367.0
2019-01-09,177.87,181.27,177.1,179.73,179.73,4922046.0
2019-01-10,178.03,179.24,176.34,179.06,179.06,3605294.0
2019-01-11,177.93,180.26,177.12,179.41,179.41,3285063.0
2019-01-14,177.59,179.23,176.901,178.81,178.81,3871399.0
2019-01-15,176.08,177.821,175.2,176.47,176.47,5016065.0
2019-01-16,177.09,177.93,175.86,177.04,177.04,4075410.0
2019-01-17,174.01,175.46,172.0,174.87,174.87,6499188.0
2019-01-18,176.98,180.04,176.18,179.58,179.58,6371422.0
2019-01-22,177.49,178.605,175.363,177.11,177.11,6272714.999999999
2019-01-23,176.59,178.06,174.53,176.89,176.89,4910402.0
2019-01-24,177.0,177.53,175.3,177.29,177.29,3860308.9999999995
2019-01-25,179.78,180.87,178.61,180.4,180.4,4502516.0
2019-01-28,178.97,179.99,177.41,179.83,179.83,4091373.0
2019-01-29,178.96,180.15,178.09,179.69,179.69,3686877.0
2019-01-30,180.47,184.2,179.78,182.18,182.18,5197765.000000001
2019-01-31,181.5,184.67,181.06,183.53,183.53,5138001.0
2019-02-01,184.03,185.15,182.83,184.37,184.37,4513184.0
2019-02-04,184.3,186.43,183.84,186.43,186.43,3050201.0
2019-02-05,186.89,186.99,184.69,186.39,186.39,4135159.0
2019-02-06,186.69,186.69,184.06,184.72,184.72,3072472.0
2019-02-07,183.74,184.923,182.45,184.07,184.07,2793487.0
2019-02-08,183.05,184.58,182.72,184.54,184.54,2792477.0
2019-02-11,185.0,185.42,182.75,182.92,182.92,3729221.9999999995
2019-02-12,183.84,186.4,183.52,185.52,185.52,3773229.0
2019-02-13,186.3,188.68,185.92,188.41,188.41,4147029.0
2019-02-14,187.5,188.93,186.003,187.71,187.71,2600831.0
2019-02-15,189.87,192.62,189.05,192.39,192.39,4997891.0
2019-02-19,191.71,193.19,191.28,192.33,192.33,3828464.0
2019-02-20,192.39,192.4,191.11,191.85,191.85,3970075.0
2019-02-21,191.85,192.37,190.61,191.82,191.82,3094240.0
2019-02-22,191.69,192.54,191.62,192.39,192.39,3321635.0
