Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45.96,47.47,45.77,47.08,47.08,18774573.0
2019-01-03,46.15,46.28,44.39,44.49,44.49,32267297.0
2019-01-04,45.835,47.57,45.54,47.22,47.22,35447286.0
2019-01-07,47.1,47.995,46.75,47.44,47.44,22736796.0
2019-01-08,47.8,48.03,46.78,47.74,47.74,22749206.0
2019-01-09,47.96,48.57,47.78,48.01,48.01,22554525.0
2019-01-10,47.75,48.65,47.41,48.56,48.56,27202575.0
2019-01-11,48.1,49.291,48.05,48.93,48.93,21751291.0
2019-01-14,48.46,48.83,48.3,48.35,48.35,19193910.0
2019-01-15,48.71,49.13,48.44,48.6,48.6,22480820.0
2019-01-16,48.6,48.89,48.08,48.13,48.13,19057707.0
2019-01-17,48.0,48.84,47.905,48.47,48.47,17448657.0
2019-01-18,49.11,49.38,48.69,49.19,49.19,29874317.0
2019-01-22,48.96,48.98,47.87,48.27,48.27,25940722.0
2019-01-23,48.41,48.8,47.52,47.94,47.94,18960709.0
2019-01-24,48.7,50.035,48.6,49.76,49.76,50578269.0
2019-01-25,46.85,47.43,45.75,47.04,47.04,86471848.00000001
2019-01-28,46.13,46.73,46.05,46.71,46.71,35928704.0
2019-01-29,46.78,46.97,46.33,46.54,46.54,20988341.999999996
2019-01-30,46.68,47.68,46.45,47.54,47.54,26931676.000000004
2019-01-31,46.7,47.18,46.1,47.12,47.12,43051306.00000001
2019-02-01,47.06,49.05,47.01,48.73,48.73,37442926.0
2019-02-04,48.62,49.24,48.24,49.22,49.22,20905010.000000004
2019-02-05,49.18,50.716,49.18,50.01,50.01,31641570.0
2019-02-06,49.95,50.64,49.82,49.9,49.9,21647842.999999996
2019-02-07,49.5,49.85,48.68,49.23,49.23,27825875.0
2019-02-08,48.77,49.02,48.01,48.84,48.84,18851208.0
2019-02-11,49.02,49.32,48.58,48.77,48.77,18004088.0
2019-02-12,49.36,50.14,49.27,50.01,50.01,18050058.0
2019-02-13,50.13,50.81,50.0,50.47,50.47,17712782.0
