Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,128.13,128.38,126.28,127.75,127.75,7631672.0
2019-01-03,128.135,128.27,125.36,125.72,125.72,8654685.0
2019-01-04,127.12,128.65,126.73,127.83,127.83,8831997.0
2019-01-07,127.63,128.349,126.797,127.01,127.01,8404653.0
2019-01-08,128.18,130.5,127.73,129.96,129.96,9351570.0
2019-01-09,129.83,130.24,128.33,128.93,128.93,7403525.0
2019-01-10,127.69,129.89,127.69,129.71,129.71,6224419.0
2019-01-11,129.0,129.84,128.31,129.75,129.75,5300666.0
2019-01-14,128.74,128.96,127.59,128.28,128.28,7374457.0
2019-01-15,128.52,129.49,127.65,129.36,129.36,5194405.0
2019-01-16,129.41,129.41,127.9,128.04,128.04,6264150.0
2019-01-17,127.71,129.52,127.463,129.09,129.09,7631960.0
2019-01-18,129.9,131.18,129.45,130.69,130.69,10592972.0
2019-01-22,128.2,129.501,127.01,128.8,128.8,10568128.0
2019-01-23,128.5,129.3,127.93,128.8,128.8,9267966.0
2019-01-24,128.49,128.7,125.0,127.03,127.03,9917100.0
2019-01-25,128.13,128.45,127.18,128.23,128.23,7585947.0
2019-01-28,127.81,129.15,127.29,128.99,128.99,6927661.000000001
2019-01-29,128.95,130.47,128.5,130.33,130.33,6669289.0
2019-01-30,130.37,132.19,130.3,131.64,131.64,7299455.0
2019-01-31,131.63,135.19,130.87,133.08,133.08,17298062.0
2019-02-01,134.02,134.69,133.47,134.2,134.2,9575150.0
2019-02-04,133.96,134.15,132.21,132.88,132.88,7759043.0
2019-02-05,133.52,133.88,132.75,132.88,132.88,6449787.0
2019-02-06,133.08,133.565,132.3,133.0,133.0,5066324.0
2019-02-07,132.45,132.64,131.53,132.05,132.05,6085346.0
2019-02-08,131.95,132.46,131.54,132.4,132.4,4436768.0
2019-02-11,132.31,132.67,131.26,132.0,132.0,4962617.0
2019-02-12,132.08,134.3,132.08,134.16,134.16,6262320.0
2019-02-13,134.07,134.98,133.21,134.45,134.45,7902181.000000001
2019-02-14,134.3,134.82,133.35,134.31,134.31,3910453.9999999995
