Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,95.95,99.78,95.94,99.31,99.31,15670850.0
2019-01-03,98.64,98.89,96.69,97.11,97.11,16286425.999999998
2019-01-04,99.11,100.93,98.28,100.69,100.69,16935205.0
2019-01-07,100.43,101.47,99.71,100.76,100.76,15430712.0
2019-01-08,101.63,101.82,99.545,100.57,100.57,13578777.0
2019-01-09,100.81,101.49,99.93,100.4,100.4,14230331.000000002
2019-01-10,100.02,100.73,99.27,100.39,100.39,14376430.0
2019-01-11,99.89,100.17,98.95,99.91,99.91,15439849.999999998
2019-01-14,98.87,101.36,98.66,100.94,100.94,21258458.0
2019-01-15,98.89,102.47,98.6,101.68,101.68,26504852.0
2019-01-16,102.25,103.45,101.8,102.5,102.5,18532952.0
2019-01-17,102.11,103.5,101.921,102.92,102.92,14247564.0
2019-01-18,103.77,104.9,102.83,104.59,104.59,16428710.000000002
2019-01-22,103.08,103.59,102.13,102.94,102.94,17083681.0
2019-01-23,103.44,103.7,101.965,102.68,102.68,12146678.0
2019-01-24,102.13,103.09,101.94,102.74,102.74,11296764.0
2019-01-25,103.51,104.31,102.74,103.39,103.39,14412559.000000002
2019-01-28,102.89,104.24,102.59,103.88,103.88,12283089.0
2019-01-29,103.88,105.11,103.73,104.17,104.17,9743271.0
2019-01-30,104.14,105.24,103.78,104.41,104.41,12526274.0
2019-01-31,103.41,103.8,102.73,103.5,103.5,17520551.0
2019-02-01,104.0,104.846,103.52,103.88,103.88,13000780.0
2019-02-04,103.79,104.25,103.01,104.25,104.25,9871549.0
2019-02-05,104.52,104.55,103.29,103.79,103.79,12762982.0
2019-02-06,103.71,104.62,103.465,103.74,103.74,8744957.0
2019-02-07,103.25,103.5,101.44,102.38,102.38,13177489.0
2019-02-08,102.08,102.335,100.06,101.36,101.36,12892562.0
2019-02-11,101.76,102.01,100.771,100.88,100.88,10978516.0
2019-02-12,101.95,102.92,101.89,102.6,102.6,12852252.0
2019-02-13,102.9,103.85,102.9,103.09,103.09,10754061.0
2019-02-14,102.47,103.1,101.35,102.42,102.42,11518530.0
2019-02-15,103.9,105.7,103.66,105.55,105.55,14716860.999999998
2019-02-19,104.91,105.37,103.81,105.18,105.18,12764888.0
2019-02-20,105.21,105.8,104.875,105.69,105.69,10030326.0
2019-02-21,105.45,105.99,104.96,105.47,105.47,8400075.0
2019-02-22,105.7,106.09,104.775,105.0,105.0,10647258.0
2019-02-25,105.75,107.27,105.69,106.1,106.1,11230679.0
2019-02-26,104.5,105.47,103.94,105.29,105.29,15465393.0
2019-02-27,105.18,105.38,104.505,105.16,105.16,9968822.0
2019-02-28,105.01,105.21,104.18,104.36,104.36,15156850.0
2019-03-01,105.1,105.905,104.2,104.43,104.43,13813309.999999998
2019-03-04,104.92,105.916,103.267,104.19,104.19,12466285.0
2019-03-05,104.13,104.55,103.26,104.11,104.11,10856646.0
2019-03-06,103.86,104.57,103.55,103.72,103.72,9070782.0
2019-03-07,103.25,103.47,102.16,102.97,102.97,12705739.000000002
2019-03-08,101.99,103.23,101.99,103.01,103.01,10582371.0
2019-03-11,103.98,104.545,103.66,104.35,104.35,9763235.0
2019-03-12,104.59,104.79,103.754,104.04,104.04,10219100.0
2019-03-13,104.19,104.98,103.95,104.39,104.39,13022241.0
2019-03-14,104.5,105.87,104.46,105.34,105.34,10926470.0
2019-03-15,105.41,106.8,105.23,106.55,106.55,24811729.999999996
2019-03-18,106.55,107.785,106.5,107.19,107.19,12935514.0
2019-03-19,108.2,108.4,106.55,106.8,106.8,12889267.0
2019-03-20,106.43,106.65,104.41,104.52,104.52,14920658.0
2019-03-21,103.49,103.49,102.28,102.87,102.87,19751044.0
2019-03-22,101.82,102.32,99.52,99.76,99.76,31115189.0
2019-03-25,99.59,100.57,98.09,98.93,98.93,21032295.0
2019-03-26,99.82,100.4,98.82,99.92,99.92,15987129.0
2019-03-27,99.88,100.45,99.08,99.58,99.58,12753234.0
2019-03-28,100.0,100.8,99.74,100.71,100.71,12454070.0
2019-03-29,101.54,101.99,100.585,101.23,101.23,14523395.0
2019-04-01,102.15,104.68,102.12,104.64,104.64,17499280.0
2019-04-02,104.6,105.44,104.33,105.14,105.14,10295539.000000002
2019-04-03,105.81,106.36,104.785,105.35,105.35,11499209.0
2019-04-04,104.55,105.73,104.45,105.56,105.56,11952077.999999998
2019-04-05,105.8,106.11,104.99,105.31,105.31,9933660.0
2019-04-08,105.11,105.65,104.91,105.65,105.65,8056282.0
2019-04-09,105.08,105.2,104.25,104.87,104.87,9092188.0
2019-04-10,105.13,105.715,104.47,105.34,105.34,10882304.0
2019-04-11,105.71,106.73,105.56,106.23,106.23,11183844.999999998
2019-04-12,109.44,111.85,108.88,111.21,111.21,25834073.0
2019-04-15,110.92,111.0,109.12,109.94,109.94,15163815.0
2019-04-16,109.9,111.39,109.86,111.1,111.1,11583232.0
2019-04-17,111.7,114.66,111.01,114.3,114.3,17791890.0
2019-04-18,114.53,114.945,113.33,113.46,113.46,12501949.0
2019-04-22,112.83,113.93,112.662,113.6,113.6,7975860.0
2019-04-23,113.0,114.37,112.85,113.74,113.74,9193318.0
2019-04-24,113.26,114.15,112.81,113.55,113.55,9245743.0
2019-04-25,113.01,114.145,112.5,113.61,113.61,9311768.0
2019-04-26,113.95,114.58,113.6,114.47,114.47,7889519.0
2019-04-29,114.6,117.155,114.445,116.12,116.12,14242237.0
2019-04-30,116.43,116.724,115.26,116.05,116.05,11389147.0
2019-05-01,115.72,117.0,115.11,115.16,115.16,10412881.0
2019-05-02,115.17,115.775,114.58,115.41,115.41,8613305.0
2019-05-03,116.0,116.68,115.67,116.12,116.12,8185409.0
2019-05-06,114.18,115.47,113.72,115.09,115.09,9387010.0
2019-05-07,114.03,114.03,112.285,113.21,113.21,15017725.0
2019-05-08,112.66,113.67,112.46,112.61,112.61,9576075.0
2019-05-09,111.14,112.74,110.58,112.52,112.52,12205866.0
2019-05-10,111.75,112.84,110.54,112.51,112.51,13189381.0
2019-05-13,110.08,110.45,108.98,109.45,109.45,13783652.0
2019-05-14,109.55,111.72,109.5,110.32,110.32,10503672.0
2019-05-15,109.21,110.896,108.61,109.9,109.9,10142048.0
2019-05-16,110.62,112.17,110.59,111.31,111.31,9672729.0
2019-05-17,110.0,111.75,109.826,110.77,110.77,9570477.0
2019-05-20,110.58,111.81,110.37,111.35,111.35,8518244.0
2019-05-21,111.44,111.92,111.215,111.73,111.73,7967976.0
2019-05-22,111.4,111.79,110.75,110.82,110.82,7918898.0
2019-05-23,109.64,109.79,107.5,108.64,108.64,14557969.0
2019-05-24,109.52,109.96,109.19,109.71,109.71,8537252.0
2019-05-28,109.2,109.83,108.44,108.52,108.52,11665579.0
2019-05-29,107.45,108.4,107.06,108.22,108.22,9966365.0
2019-05-30,108.65,109.18,106.54,107.06,107.06,10367822.000000002
2019-05-31,105.56,106.589,104.84,105.96,105.96,10952856.999999998
2019-06-03,105.8,106.86,105.3,106.46,106.46,11680745.0
2019-06-04,107.85,109.9,107.13,109.74,109.74,12858587.0
2019-06-05,109.86,110.38,108.638,110.13,110.13,8340484.0
2019-06-06,110.15,110.87,108.931,110.37,110.37,8726664.0
2019-06-07,109.7,110.02,108.96,109.16,109.16,10618932.0
2019-06-10,110.75,111.21,110.215,110.34,110.34,11380601.999999998
2019-06-11,110.82,111.57,110.37,110.68,110.68,9847999.0
2019-06-12,110.7,110.9,108.89,109.27,109.27,9670511.0
2019-06-13,109.46,110.16,109.05,109.54,109.54,8406903.0
2019-06-14,109.57,110.303,108.63,109.82,109.82,9077685.0
2019-06-17,109.7,110.37,109.06,109.22,109.22,8128583.0
2019-06-18,109.01,111.405,108.98,110.71,110.71,11057340.0
2019-06-19,110.82,111.59,109.695,109.91,109.91,13126542.0
2019-06-20,110.88,111.085,109.033,110.19,110.19,13638199.0
2019-06-21,110.19,111.67,109.09,109.44,109.44,27089546.0
2019-06-24,109.28,109.77,108.535,108.66,108.66,13039577.0
2019-06-25,108.68,108.98,107.67,107.76,107.76,18660111.0
2019-06-26,108.3,109.31,108.16,108.48,108.48,10324609.0
2019-06-27,108.84,109.55,108.44,108.84,108.84,10906606.999999998
2019-06-28,111.04,112.43,110.9,111.8,111.8,21634683.0
2019-07-01,113.23,114.52,113.08,113.68,113.68,12762478.000000002
2019-07-02,113.51,114.2,113.22,113.8,113.8,10182625.0
2019-07-03,113.34,113.87,112.26,112.82,112.82,6849443.0
2019-07-05,113.51,114.27,112.92,113.49,113.49,7929536.000000001
