date,Open,High,Low,Close,Adj Close,Volume
2019/1/2,258.36,265.3,256.79,264.73,264.73,1064888
2019/1/3,262.32,264,257.38,258.08,258.08,1165621
2019/1/4,261.92,265.49,260.34,265.04,265.04,1444084
2019/1/7,266,270,263.86,268.08,268.08,1465162
2019/1/8,271.13,271.75,267.81,269.87,269.87,1791533
2019/1/9,270.13,272.22,269.13,270.54,270.54,1235961
2019/1/10,269.62,277.68,269.5,277.5,277.5,1842543
2019/1/11,275.79,277.76,272.43,277.73,277.73,1157952
2019/1/14,276.67,279.52,274.43,277.51,277.51,1388645
2019/1/15,278.23,278.33,273.51,276,276,1193552
2019/1/16,275.4,275.69,270.63,272.39,272.39,1325176
2019/1/17,271.17,279.99,270.84,278.8,278.8,1241981
2019/1/18,281.18,285.37,279.72,282.87,282.87,2073526
2019/1/22,281.39,284.62,278,279.59,279.59,1885239
2019/1/23,282.11,285.73,280.5,283.51,283.51,1631036
2019/1/24,284.59,288.24,282.59,285.25,285.25,1017571
2019/1/25,288.17,289.3,286.13,287.04,287.04,1050481
2019/1/28,285,288.41,282.89,287.87,287.87,1166359
2019/1/29,281.11,292.86,281,292.05,292.05,2037401
2019/1/30,293.95,293.99,286.77,291.67,291.67,1781754
2019/1/31,290.17,292.83,287.79,289.69,289.69,1311222
2019/2/1,290.85,292.58,289.2,290.58,290.58,1359001
2019/2/4,290.9,299.06,290.11,298.77,298.77,1328900
2019/2/5,300,302.98,297.23,299.46,299.46,1454764
2019/2/6,299.99,302.68,299.01,299.83,299.83,1114284
2019/2/7,298.79,300.36,296.14,300.13,300.13,1150543
2019/2/8,299.22,301.63,297,301.5,301.5,1021879
2019/2/11,301.78,302.75,298.8,300.04,300.04,1077932
2019/2/12,301.47,304.32,300.86,304.11,304.11,840639
2019/2/13,305,305.95,303.68,304.42,304.42,958590
2019/2/14,303.36,304,300.91,301,301,888353
2019/2/15,304.01,307.33,304.01,307.23,307.23,847704
2019/2/19,305.97,306.59,303.76,305.18,305.18,929463
2019/2/20,305,307.2,304.29,307.2,307.2,870598
2019/2/21,307.06,307.17,303.28,304.51,304.51,1044980
2019/2/22,305.91,307.36,303.9,307.13,307.13,581808
2019/2/25,308.89,309.4,305.55,305.97,305.97,1088026
2019/2/26,305.6,308.08,305.01,305.88,305.88,871562
2019/2/27,305.02,307.94,304.11,307.58,307.58,1121331
2019/2/28,307.44,311.75,306.12,309.41,309.41,1839228
2019/3/1,311.56,311.56,306.44,309.47,309.47,1424888
2019/3/4,311.78,311.78,303.48,304.69,304.69,1070877
2019/3/5,306.01,307.22,304.22,305.76,305.76,907702
2019/3/6,306.48,308.35,303.32,303.32,303.32,879164
2019/3/7,302.9,303.2,297.42,303.01,303.01,1255490
2019/3/8,300.57,301.69,298.77,300.95,300.95,1054175
2019/3/11,299.62,304.58,298.63,304.4,304.4,1294422
2019/3/12,304.6,305.31,300.79,301.92,301.92,1248945
2019/3/13,303.06,304.56,301.12,303.45,303.45,1133476
2019/3/14,303.42,304.46,298.32,298.51,298.51,1178428
2019/3/15,298.86,299.23,293.77,296.15,296.15,4516526
2019/3/18,295.87,298.36,293.27,297.64,297.64,1793659
2019/3/19,299.48,302.14,295.44,296.6,296.6,1504003
2019/3/20,296.91,298.71,295.06,295.98,295.98,1321836
2019/3/21,295.37,300.07,295,299.01,299.01,1145731
2019/3/22,297.65,298.4,293.88,294.01,294.01,942780
2019/3/25,294.41,295.82,292.53,294.12,294.12,779657
2019/3/26,296.09,297.6,292.69,294.92,294.92,882292
2019/3/27,295.62,297.89,292.85,293.95,293.95,835575
2019/3/28,295.03,295.94,293.65,295.6,295.6,567095
2019/3/29,297.5,300.59,296.74,300.16,300.16,1211953
2019/4/1,302.56,306.11,301.84,304.29,304.29,1153998
2019/4/2,304.87,306.78,302.87,303.1,303.1,872622
2019/4/3,303.61,304.4,296.14,297.27,297.27,1178337
2019/4/4,298.16,302.05,297.89,299.67,299.67,789451
2019/4/5,299.91,302.66,299.71,302.58,302.58,705239
2019/4/8,301.99,305.86,300.67,305.66,305.66,1121482
2019/4/9,304.36,304.58,301.19,302.68,302.68,867130
2019/4/10,302.23,302.35,297.33,299.12,299.12,1226188
2019/4/11,300.23,305.83,300,305.59,305.59,829474
2019/4/12,307,309.78,306.03,309.7,309.7,891932
2019/4/15,309.96,310,307.54,308.71,308.71,864790
2019/4/16,309.22,310.6292,308.1,310.06,310.06,834088
2019/4/17,311.22,312.43,309.78,310.5,310.5,1041831
2019/4/18,311.03,314.57,309.47,314.26,314.26,1107163
2019/4/22,314.25,316.26,313.27,315.26,315.26,1318968
2019/4/23,326.52,337.32,324.52,333.1,333.1,3425799
2019/4/24,333.9,335.78,327.84,330.12,330.12,2089980
2019/4/25,330.25,334.23,328.46,328.87,328.87,1506514
2019/4/26,329.6,330.75,327.08,328.33,328.33,873509
2019/4/29,328.4,331.15,327.21,328.59,328.59,969221
2019/4/30,329.52,333.86,328.46,333.33,333.33,990090
2019/5/1,334.25,337.21,331.58,331.85,331.85,1104397
2019/5/2,332.01,332.7,328.24,332.55,332.55,962542
2019/5/3,333.58,335.64,331.2,334.07,334.07,806766
2019/5/6,330.5,336.53,330.17,335.72,335.72,812813
2019/5/7,334.74,334.74,328.84,330.9,330.9,1176417
2019/5/8,330.9,336.88,330.35,334.18,334.18,1083968
2019/5/9,334,340.33,331.94,339.36,339.36,1496527
