Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,175.41,176.3,174.168,176.06,176.06,2571462.0
2019-01-03,175.45,176.45,174.41,174.9,174.9,3728238.0
2019-01-04,176.03,179.2,175.69,178.28,178.28,3194259.0
2019-01-07,178.14,181.88,178.14,180.22,180.22,3282952.0
2019-01-08,181.96,182.29,179.91,180.6,180.6,2941377.0
2019-01-09,180.56,180.9,179.19,180.29,180.29,2680711.9999999995
2019-01-10,179.84,181.875,179.32,181.55,181.55,2498483.0
2019-01-11,180.59,182.4,180.46,182.37,182.37,2348922.0
2019-01-14,181.42,181.75,180.69,181.22,181.22,1886302.0
2019-01-15,181.47,183.21,180.74,181.02,181.02,3860212.0
2019-01-16,180.94,181.53,179.14,179.35,179.35,3376029.0
2019-01-17,179.25,181.11,179.03,181.11,181.11,3061038.0
2019-01-18,183.04,183.26,180.94,182.57,182.57,3497959.0
2019-01-22,182.25,185.48,182.25,184.57,184.57,3190315.0
2019-01-23,184.78,186.17,184.11,186.09,186.09,2530657.0
2019-01-24,186.86,187.88,185.94,187.37,187.37,3214190.0
2019-01-25,188.77,189.42,183.93,184.0,184.0,4408751.0
2019-01-28,183.06,183.72,181.83,183.6,183.6,4138677.0
2019-01-29,183.28,183.72,180.97,182.17,182.17,3666741.0
2019-01-30,182.92,187.792,178.67,181.77,181.77,9489921.0
2019-01-31,180.25,181.85,176.87,178.78,178.78,10440121.999999998
2019-02-01,179.55,180.49,176.48,176.72,176.72,6529191.0
2019-02-04,177.29,177.78,175.66,177.55,177.55,4533792.0
2019-02-05,177.71,179.42,177.22,177.57,177.57,4495881.0
2019-02-06,177.55,177.55,175.99,176.18,176.18,3965233.0
2019-02-07,176.0,176.26,174.31,175.28,175.28,4176269.0
2019-02-08,174.77,175.47,174.4,174.75,174.75,4051647.0
2019-02-11,175.24,175.9,174.17,174.26,174.26,3216447.0
2019-02-12,174.79,175.28,173.8,173.97,173.97,4692769.0
2019-02-13,174.0,174.66,173.75,174.15,174.15,5283031.999999999
2019-02-14,173.93,176.44,173.41,175.87,175.87,4428976.0
2019-02-15,177.28,179.98,177.014,179.97,179.97,4648604.0
2019-02-19,181.11,181.9,179.16,179.25,179.25,4765391.0
2019-02-20,179.47,180.92,179.34,180.49,180.49,3707411.0
2019-02-21,180.45,183.34,180.4,182.81,182.81,4391022.0
2019-02-22,182.98,183.41,182.0,183.17,183.17,3073495.0
2019-02-25,183.93,184.705,182.41,182.61,182.61,3090787.0000000005
2019-02-26,183.44,183.81,182.47,183.21,183.21,2219087.0
2019-02-27,183.07,184.06,182.84,183.36,183.36,2261701.0
2019-02-28,182.13,183.98,182.01,183.84,183.84,3298206.0
2019-03-01,184.59,185.65,184.07,185.05,185.05,2690988.0
2019-03-04,184.55,184.73,179.7,180.59,180.59,4899760.0
2019-03-05,180.6,181.75,180.35,181.35,181.35,3362509.0
2019-03-06,182.0,183.46,181.9,182.03,182.03,2083946.0
2019-03-07,182.12,182.39,179.95,180.52,180.52,3268106.0
2019-03-08,179.75,180.0,178.27,179.5,179.5,2757219.0
2019-03-11,180.0,181.12,179.8,181.08,181.08,2071481.0
2019-03-12,181.67,182.1,180.66,181.83,181.83,2191830.0
2019-03-13,182.52,183.18,181.7,182.06,182.06,2612135.0
2019-03-14,181.99,182.78,180.67,182.74,182.74,2375444.0
2019-03-15,183.27,185.46,182.11,185.33,185.33,6010520.0
2019-03-18,185.98,186.26,183.41,183.95,183.95,3669226.0
2019-03-19,184.06,184.37,182.53,183.11,183.11,4102771.0
2019-03-20,183.38,185.36,182.32,184.97,184.97,3522394.0
2019-03-21,184.44,186.63,184.43,186.37,186.37,2830192.0
2019-03-22,185.96,188.65,185.935,186.81,186.81,3319613.0
2019-03-25,186.25,186.46,184.01,185.72,185.72,2651646.0
2019-03-26,186.65,188.88,186.35,187.48,187.48,2609558.0
2019-03-27,187.64,188.66,187.03,187.51,187.51,1684775.0
2019-03-28,187.97,189.445,187.93,189.39,189.39,1977103.0
2019-03-29,190.25,190.52,188.91,189.9,189.9,2951993.0
2019-04-01,190.5,190.85,187.74,188.39,188.39,3195051.0000000005
2019-04-02,188.91,188.95,186.7,188.35,188.35,1798034.0
2019-04-03,188.88,189.24,187.62,188.35,188.35,2512264.0
2019-04-04,189.05,190.73,188.9,189.87,189.87,2324932.0
2019-04-05,190.35,191.24,190.07,190.71,190.71,2438651.0
2019-04-08,190.71,191.5,189.6,189.85,189.85,2290381.0
