Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,89.53,90.14,87.09,87.92,87.92,7099122.0
2019-01-03,87.62,87.73,85.18,85.45,85.45,6099838.999999999
2019-01-04,86.84,88.71,86.74,88.13,88.13,6275390.0
2019-01-07,88.37,89.08,82.24,82.45,82.45,17462669.0
2019-01-08,83.28,83.96,81.664,83.03,83.03,14472210.0
2019-01-09,83.79,85.5,83.45,84.3,84.3,7894292.0
2019-01-10,83.86,84.91,83.34,84.84,84.84,5279154.0
2019-01-11,84.17,84.88,83.45,84.84,84.84,5054343.0
2019-01-14,84.35,84.98,84.11,84.75,84.75,5294699.000000001
2019-01-15,85.27,86.57,85.03,86.03,86.03,6323447.0
2019-01-16,86.58,87.315,86.2,86.99,86.99,5066833.0
2019-01-17,86.97,88.19,86.79,87.6,87.6,7521721.0
2019-01-18,88.52,88.62,86.31,87.3,87.3,8549341.0
2019-01-22,86.82,87.02,86.0,87.0,87.0,6567045.000000001
2019-01-23,87.08,87.29,85.91,87.16,87.16,4642868.0
2019-01-24,87.26,87.32,86.43,87.23,87.23,4515378.0
2019-01-25,87.68,87.91,86.7,87.02,87.02,5283463.0
2019-01-28,86.52,87.0,85.66,86.42,86.42,5143383.0
2019-01-29,85.96,87.08,85.96,86.47,86.47,3670829.0
2019-01-30,86.49,87.97,86.26,87.83,87.83,5385889.0
2019-01-31,87.74,89.32,87.51,88.39,88.39,9536194.0
2019-02-01,88.87,89.45,87.73,88.31,88.31,5727362.000000001
2019-02-04,88.31,88.46,86.84,87.81,87.81,4970915.0
2019-02-05,88.26,88.62,87.75,88.03,88.03,5640832.0
2019-02-06,88.28,89.1,87.81,88.86,88.86,3417417.0
2019-02-07,88.41,89.36,88.13,88.9,88.9,4304926.0
2019-02-08,88.43,89.51,88.17,89.01,89.01,3982248.0
2019-02-11,89.48,89.9,89.14,89.6,89.6,4020028.0
2019-02-12,90.0,90.52,89.27,90.25,90.25,3713860.0000000005
2019-02-13,90.76,90.95,90.2,90.67,90.67,3483499.0
2019-02-14,90.84,91.63,90.54,91.23,91.23,4644495.0
2019-02-15,91.96,92.34,91.53,92.27,92.27,5622496.0
2019-02-19,93.22,94.59,92.23,92.33,92.33,6891817.0
2019-02-20,92.45,93.0,92.21,92.8,92.8,4924756.0
2019-02-21,92.67,92.89,92.12,92.61,92.61,4222631.0
2019-02-22,93.0,93.83,92.94,93.77,93.77,4551328.0
2019-02-25,93.92,94.06,92.17,92.22,92.22,7216832.000000001
2019-02-26,92.25,92.45,91.21,91.29,91.29,4541771.0
2019-02-27,91.0,91.39,90.57,90.89,90.89,7327243.0
2019-02-28,90.93,91.27,90.39,90.5,90.5,12189554.0
2019-03-01,91.18,92.17,90.95,92.09,92.09,8021455.0
2019-03-04,92.51,93.16,91.255,92.29,92.29,5620135.0
2019-03-05,92.01,93.03,91.45,92.72,92.72,6073938.000000001
2019-03-06,92.88,93.02,91.98,92.08,92.08,4070678.0
2019-03-07,91.81,92.13,90.86,91.08,91.08,4876110.0
2019-03-08,90.98,91.28,89.5,90.52,90.52,4113861.0
2019-03-11,90.97,92.11,90.88,92.0,92.0,4639110.0
2019-03-12,92.24,92.81,91.9,92.44,92.44,6149076.0
2019-03-13,92.86,93.64,92.64,93.02,93.02,6638227.000000001
2019-03-14,93.1,93.53,92.44,93.33,93.33,5578615.999999999
2019-03-15,93.36,94.2,93.29,93.79,93.79,9493836.0
2019-03-18,93.26,93.62,91.21,91.89,91.89,8347669.0
2019-03-19,92.06,92.88,91.42,92.66,92.66,5909407.0
2019-03-20,92.39,92.545,91.54,91.72,91.72,4772565.0
2019-03-21,90.97,92.9,90.63,92.1,92.1,4217026.0
2019-03-22,91.63,92.115,90.37,90.39,90.39,4291708.0
2019-03-25,90.38,90.965,90.01,90.62,90.62,3336909.0
2019-03-26,91.36,92.17,90.61,91.07,91.07,4463274.0
2019-03-27,91.07,91.29,89.51,90.26,90.26,4822400.0
2019-03-28,90.3,90.66,89.465,89.96,89.96,6534920.0
2019-03-29,90.22,91.193,89.8,91.08,91.08,4742710.0
2019-04-01,91.63,91.87,90.395,90.69,90.69,4467145.0
2019-04-02,90.95,91.02,90.16,90.4,90.4,3684708.9999999995
2019-04-03,90.84,90.86,88.31,88.45,88.45,7633207.0
2019-04-04,88.5,89.47,88.08,89.23,89.23,6085392.000000001
2019-04-05,89.72,90.038,88.735,88.93,88.93,6211959.000000001
2019-04-08,89.17,89.17,88.0,88.99,88.99,5464532.0
2019-04-09,88.68,89.12,88.473,88.72,88.72,4938743.0
2019-04-10,88.72,89.35,88.49,88.63,88.63,5031439.0
2019-04-11,89.2,89.2,87.253,87.6,87.6,7878873.0
2019-04-12,88.0,88.074,86.62,86.75,86.75,7324154.0
2019-04-15,87.13,87.29,86.67,86.87,86.87,5815903.0
2019-04-16,87.51,87.545,86.05,86.15,86.15,8424622.0
2019-04-17,86.24,86.419,84.55,84.73,84.73,9388331.0
2019-04-18,84.54,84.64,82.77,84.22,84.22,6798040.0
2019-04-22,83.76,84.69,83.65,84.15,84.15,3878362.0
2019-04-23,84.47,85.78,84.4,85.1,85.1,6415893.0
2019-04-24,84.89,86.27,84.355,85.64,85.64,4389231.0
2019-04-25,85.75,86.94,85.36,86.86,86.86,5928231.0
2019-04-26,87.25,87.49,86.74,87.35,87.35,3435165.0
2019-04-29,87.23,87.65,86.92,87.44,87.44,4068955.0000000005
2019-04-30,87.61,89.1,87.4,88.81,88.81,7380726.0
2019-05-01,88.82,89.08,87.41,88.31,88.31,4685536.0
2019-05-02,88.29,89.17,88.03,89.14,89.14,4761915.0
2019-05-03,89.55,89.86,89.13,89.58,89.58,3705101.0
2019-05-06,88.5,90.35,88.24,90.15,90.15,5504709.0
2019-05-07,89.75,90.3,88.739,89.27,89.27,6455588.0
2019-05-08,89.02,89.47,88.79,89.0,89.0,4556410.0
2019-05-09,88.34,88.34,86.69,88.14,88.14,6844167.0
2019-05-10,87.53,88.65,86.09,88.33,88.33,4239865.0
2019-05-13,87.26,87.57,86.62,87.33,87.33,3823753.0
2019-05-14,87.45,88.31,87.305,87.66,87.66,3194635.0
2019-05-15,87.23,88.61,86.76,88.27,88.27,3696216.9999999995
2019-05-16,88.67,89.26,88.07,88.11,88.11,5013215.0
2019-05-17,87.22,88.58,87.15,87.73,87.73,4735765.0
2019-05-20,87.51,88.0,86.89,87.57,87.57,4677387.0
2019-05-21,88.02,88.69,87.71,87.77,87.77,6403380.0
2019-05-22,87.72,89.12,87.42,88.76,88.76,7391275.000000001
2019-05-23,91.08,91.79,90.12,91.64,91.64,12993225.0
2019-05-24,92.4,93.92,92.01,93.03,93.03,7341215.999999999
2019-05-28,92.89,93.5,91.25,91.31,91.31,8852181.0
2019-05-29,91.18,91.78,90.25,91.52,91.52,5830411.0
2019-05-30,91.87,93.37,91.58,92.58,92.58,4400781.0
2019-05-31,92.12,92.93,91.83,92.58,92.58,5949906.999999999
2019-06-03,92.78,94.0,92.36,93.33,93.33,8489104.0
2019-06-04,94.0,94.72,93.38,94.41,94.41,6871343.000000001
2019-06-05,95.7,96.858,95.0,96.55,96.55,7867800.999999999
2019-06-06,96.51,97.23,95.7,96.5,96.5,6495064.0
2019-06-07,96.94,97.47,96.89,97.11,97.11,4848711.0
2019-06-10,97.03,97.83,96.82,97.75,97.75,3975939.0
2019-06-11,98.0,98.74,97.14,97.56,97.56,3621487.0
2019-06-12,97.53,97.98,97.19,97.53,97.53,3108782.0
2019-06-13,97.5,97.77,96.98,97.5,97.5,4281404.0
2019-06-14,97.6,98.16,97.37,97.5,97.5,3056865.0000000005
2019-06-17,97.51,97.744,97.05,97.32,97.32,2749538.0
2019-06-18,97.82,98.39,97.45,97.96,97.96,3653993.0
2019-06-19,97.63,99.06,97.59,98.75,98.75,4307296.0
2019-06-20,99.31,99.9,98.45,99.26,99.26,4887158.0
2019-06-21,99.21,99.77,98.44,99.38,99.38,7027596.0
2019-06-24,99.29,99.87,98.9,99.16,99.16,4037935.0
2019-06-25,99.15,99.695,98.84,98.9,98.9,4416108.0
2019-06-26,98.46,98.492,96.85,97.22,97.22,4315029.0
2019-06-27,97.84,98.05,96.52,97.48,97.48,7428044.0
2019-06-28,97.9,97.98,96.88,97.39,97.39,5539398.0
2019-07-01,98.29,98.56,97.38,98.1,98.1,3329347.0
2019-07-02,98.1,98.6,97.65,98.05,98.05,3380398.0
2019-07-03,98.06,98.81,97.87,98.81,98.81,2325952.0
2019-07-05,97.91,98.35,97.44,98.11,98.11,2319827.0
2019-07-08,98.16,98.39,97.5,98.02,98.02,4384849.0
2019-07-09,98.4,99.11,98.12,98.44,98.44,5665312.0
2019-07-10,98.5,98.95,98.01,98.85,98.85,3482072.0
