Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,187.82,190.99,186.7,190.95,190.95,2475193.0
2019-01-03,188.28,188.28,182.89,183.76,183.76,3358241.0
2019-01-04,186.75,191.98,186.03,191.32,191.32,2995052.0
2019-01-07,191.36,192.3,188.66,190.88,190.88,2162158.0
2019-01-08,193.0,194.11,189.58,191.68,191.68,2479787.0
2019-01-09,193.25,193.94,191.382,192.3,192.3,2163815.0
2019-01-10,190.87,193.81,189.4,193.6,193.6,1939317.0
2019-01-11,191.84,192.69,190.86,192.21,192.21,2360186.0
2019-01-14,190.64,192.83,189.8,192.17,192.17,1914426.0
2019-01-15,188.84,190.676,187.86,188.94,188.94,2737349.0
2019-01-16,188.51,190.44,188.42,189.48,189.48,2492126.0
2019-01-17,188.56,192.9,187.895,191.71,191.71,1978891.0000000002
2019-01-18,194.34,196.4,192.36,195.86,195.86,2746603.0
2019-01-22,194.22,194.49,190.43,192.26,192.26,2709562.0000000005
2019-01-23,192.63,194.0,190.275,192.29,192.29,1653006.0
2019-01-24,192.26,193.165,191.51,192.52,192.52,1582949.0000000002
2019-01-25,194.72,197.16,194.46,195.9,195.9,2320397.0
2019-01-28,193.14,193.45,191.07,193.2,193.2,3156986.0
2019-01-29,195.01,199.89,194.2,196.95,196.95,4311097.0
2019-01-30,198.22,200.11,194.63,199.27,199.27,2168133.0
2019-01-31,198.8,200.89,197.74,200.3,200.3,3338363.0
2019-02-01,201.49,201.77,198.29,199.16,199.16,2239400.0
2019-02-04,199.01,200.26,196.25,200.21,200.21,1973572.0
2019-02-05,200.72,201.13,199.725,201.12,201.12,2036879.0000000002
2019-02-06,201.22,203.08,200.25,202.57,202.57,1672422.0
2019-02-07,201.02,202.4,198.855,199.84,199.84,1949370.9999999998
2019-02-08,199.22,199.85,197.9,199.82,199.82,1451833.0
2019-02-11,200.93,201.2,199.64,200.91,200.91,1513457.0
2019-02-12,202.87,206.79,202.19,206.57,206.57,2622973.0
2019-02-13,207.09,210.4,206.59,209.72,209.72,2967332.0
2019-02-14,206.59,207.12,204.05,204.93,204.93,2229753.0
2019-02-15,206.46,208.97,206.0,208.86,208.86,2000378.0
2019-02-19,207.91,209.15,207.39,208.41,208.41,1534456.9999999998
2019-02-20,208.93,208.97,207.32,208.53,208.53,1879145.0
2019-02-21,208.16,209.11,207.25,207.77,207.77,1737687.0
2019-02-22,207.77,209.66,207.15,209.35,209.35,1534158.0
2019-02-25,210.47,211.35,210.34,210.58,210.58,2183547.0
2019-02-26,210.58,211.59,209.37,209.38,209.38,1671310.0
2019-02-27,209.6,209.69,208.16,209.03,209.03,1540585.0
2019-02-28,209.05,209.05,206.96,207.39,207.39,2121733.0
2019-03-01,208.81,209.76,206.9,207.49,207.49,1754444.0
2019-03-04,208.99,209.98,205.738,206.86,206.86,1990128.0
2019-03-05,205.58,207.25,203.84,203.84,203.84,2744490.0
2019-03-06,204.73,204.79,202.76,202.8,202.8,1825348.0
2019-03-07,202.56,202.56,198.5,199.86,199.86,3339599.0
2019-03-08,198.38,201.17,198.0,200.89,200.89,1724488.0
2019-03-11,201.88,207.16,201.66,207.1,207.1,2385314.0
2019-03-12,207.84,208.39,205.375,205.8,205.8,2115092.0
2019-03-13,206.83,207.3,205.63,206.66,206.66,2036665.0000000002
2019-03-14,206.7,207.45,205.73,207.38,207.38,1793356.0
2019-03-15,208.4,208.66,206.79,208.08,208.08,4394759.0
2019-03-18,208.44,208.6,205.612,208.49,208.49,1843555.0
2019-03-19,209.1,210.54,208.315,209.02,209.02,2351597.0
2019-03-20,209.0,210.51,207.29,208.3,208.3,1734653.0000000002
2019-03-21,206.8,210.16,205.97,209.61,209.61,2288068.0
2019-03-22,208.29,208.49,204.47,204.66,204.66,2716057.0
2019-03-25,203.46,205.47,202.25,203.21,203.21,2020649.0
2019-03-26,205.0,207.64,204.77,207.24,207.24,1895577.0
2019-03-27,207.4,207.942,205.129,207.16,207.16,2003968.0000000002
2019-03-28,208.0,208.74,206.64,208.53,208.53,1670590.0
2019-03-29,209.29,209.495,206.2,207.78,207.78,2858396.0
2019-04-01,209.89,212.39,209.255,211.94,211.94,2588445.0
2019-04-02,212.24,212.7,211.003,212.13,212.13,1413493.0
2019-04-03,212.95,213.93,212.44,213.13,213.13,1569956.0
2019-04-04,213.5,215.27,212.325,215.03,215.03,1560926.0
2019-04-05,215.88,216.49,214.8,215.41,215.41,1391097.0
2019-04-08,214.71,215.07,213.47,215.02,215.02,1130042.0
2019-04-09,214.42,214.57,211.82,211.96,211.96,1516450.0
2019-04-10,212.42,212.71,210.72,212.11,212.11,1348779.9999999998
2019-04-11,211.71,213.71,211.44,213.53,213.53,1181248.0
2019-04-12,215.1,217.49,214.35,217.42,217.42,1922409.0
2019-04-15,216.84,217.36,214.9,215.83,215.83,1483313.0
2019-04-16,216.59,217.67,215.48,216.9,216.9,1549643.0
2019-04-17,217.63,219.33,217.175,217.64,217.64,1977615.0000000002
2019-04-18,217.98,219.67,217.62,218.88,218.88,1780158.9999999998
2019-04-22,217.3,219.4,217.27,218.54,218.54,1403478.0
2019-04-23,218.01,219.55,217.18,219.5,219.5,1561876.0
2019-04-24,219.0,219.75,218.1,219.08,219.08,2048899.0
2019-04-25,197.54,198.96,189.6,190.72,190.72,14646157.0
2019-04-26,190.53,192.25,189.36,191.67,191.67,4491273.0
2019-04-29,191.52,192.19,189.75,190.21,190.21,3803436.0
2019-04-30,190.86,190.86,186.548,189.51,189.51,4540971.0
2019-05-01,189.49,189.71,185.92,186.07,186.07,3818525.0
2019-05-02,184.5,186.5,183.38,184.75,184.75,5654906.999999999
2019-05-03,185.81,186.685,184.089,185.22,185.22,4747767.0
2019-05-06,182.04,183.106,180.13,183.04,183.04,6517556.0
2019-05-07,181.81,181.9,177.81,179.12,179.12,5415556.0
2019-05-08,179.51,180.525,178.5,178.59,178.59,2990518.0
2019-05-09,177.3,177.4,174.18,175.28,175.28,5098235.0
2019-05-10,175.02,176.33,173.01,175.86,175.86,5012341.0
2019-05-13,173.935,174.58,172.79,174.07,174.07,5916911.0
2019-05-14,174.79,176.97,174.51,175.21,175.21,4013992.0
2019-05-15,174.02,175.65,173.651,174.12,174.12,3015543.0
2019-05-16,174.39,174.39,171.36,171.81,171.81,4039493.0
2019-05-17,170.0,170.26,168.43,169.09,169.09,4595046.0
2019-05-20,167.96,167.96,165.61,166.25,166.25,4374976.0
2019-05-21,167.01,167.42,166.18,167.3,167.3,4148575.0
2019-05-22,167.43,170.76,166.46,169.74,169.74,4504159.0
2019-05-23,167.58,168.3,164.59,165.87,165.87,3830288.0
2019-05-24,166.34,167.42,165.32,166.09,166.09,2366928.0
2019-05-28,166.8,166.99,163.35,163.35,163.35,4875105.0
2019-05-29,163.01,163.8,160.5,161.4,161.4,3669087.0
2019-05-30,161.4,162.27,160.0,160.58,160.58,2478748.0
2019-05-31,159.83,160.74,159.63,159.75,159.75,3521955.0
2019-06-03,159.75,161.5,159.32,160.04,160.04,3726881.0
2019-06-04,161.73,165.09,161.58,164.29,164.29,3747008.0
2019-06-05,165.14,165.83,162.88,163.85,163.85,3161678.9999999995
2019-06-06,164.0,166.35,162.46,164.72,164.72,3581835.0
2019-06-07,165.56,167.09,164.64,166.61,166.61,2017674.0
2019-06-10,168.11,170.22,167.87,168.29,168.29,2257636.0
2019-06-11,169.91,170.36,168.5,168.91,168.91,2227253.0
2019-06-12,169.87,170.15,168.59,169.01,169.01,2166416.0
2019-06-13,169.36,169.9,167.87,168.85,168.85,2141467.0
2019-06-14,168.24,168.25,166.05,166.69,166.69,2719182.0
2019-06-17,167.1,167.43,166.457,166.78,166.78,1783368.0
2019-06-18,167.85,172.267,167.57,171.86,171.86,3623039.9999999995
2019-06-19,171.88,172.81,170.54,170.75,170.75,2777447.0
2019-06-20,172.87,174.28,171.7,173.94,173.94,3064186.0000000005
2019-06-21,173.75,174.56,172.63,173.35,173.35,4880902.0
2019-06-24,173.35,174.34,173.34,173.38,173.38,2711904.0
2019-06-25,173.25,173.39,171.275,172.03,172.03,2733265.0
2019-06-26,172.35,173.24,171.719,171.88,171.88,1812226.0
2019-06-27,172.51,172.79,170.65,171.5,171.5,1718539.0
2019-06-28,171.85,174.37,171.77,173.34,173.34,3600970.0
2019-07-01,175.46,175.78,173.52,174.51,174.51,2107994.0
2019-07-02,175.1,175.1,173.07,174.02,174.02,1555476.0
2019-07-03,174.17,175.04,172.93,174.98,174.98,1170675.0
2019-07-05,173.0,173.28,169.725,172.0,172.0,1740696.0
2019-07-08,169.92,170.48,168.77,169.19,169.19,2285513.0
2019-07-09,166.82,167.45,164.29,165.7,165.7,4536143.0
2019-07-10,166.19,167.315,165.565,165.7,165.7,2661694.0
2019-07-11,166.3,169.09,165.87,169.04,169.04,2815142.0
2019-07-12,170.1,173.36,169.246,173.34,173.34,3160670.0
2019-07-15,173.38,174.25,171.21,172.84,172.84,2187533.0
2019-07-16,172.75,177.25,172.72,176.49,176.49,3918852.9999999995
2019-07-17,176.35,176.49,174.1,174.67,174.67,2947472.0
2019-07-18,174.42,175.14,172.4,173.06,173.06,2223279.0
2019-07-19,173.01,173.99,172.21,172.61,172.61,2360660.0
2019-07-22,172.81,175.21,172.13,174.64,174.64,2004610.0000000002
2019-07-23,176.0,178.02,175.65,177.52,177.52,2360731.0
2019-07-24,176.93,180.29,176.26,179.42,179.42,3532346.0
2019-07-25,187.01,187.72,176.66,178.13,178.13,7362223.0
2019-07-26,177.63,178.39,170.57,173.98,173.98,4016128.0
2019-07-29,173.83,177.62,173.66,176.76,176.76,2638931.0
2019-07-30,175.66,177.81,173.8,177.63,177.63,1978939.0
2019-07-31,177.65,178.024,173.4,174.72,174.72,3015761.9999999995
2019-08-01,174.79,177.67,173.03,173.36,173.36,2381294.0
2019-08-02,172.86,172.92,169.81,170.55,170.55,2423102.0
2019-08-05,168.95,169.02,164.42,164.71,164.71,2894657.0000000005
2019-08-06,164.82,165.48,162.9,163.71,163.71,3494834.0
2019-08-07,162.0,163.95,158.04,163.64,163.64,5993166.0
2019-08-08,164.37,165.49,163.55,164.22,164.22,3260527.0
2019-08-09,164.54,164.75,162.03,163.47,163.47,1582093.0000000002
2019-08-12,163.02,164.78,161.55,162.1,162.1,1427810.0
2019-08-13,162.56,167.88,162.15,164.88,164.88,3247303.9999999995
2019-08-14,162.5,162.87,158.67,158.81,158.81,4056102.0
2019-08-15,158.06,159.7,155.63,156.84,156.84,4452733.0
2019-08-16,157.84,161.91,157.45,161.5,161.5,3481777.0
2019-08-19,163.71,163.953,161.78,162.95,162.95,3197998.0
2019-08-20,163.11,163.11,160.96,161.01,161.01,2061690.9999999998
2019-08-21,162.69,163.65,161.05,161.15,161.15,1623565.0
2019-08-22,162.0,162.93,160.15,160.88,160.88,1441603.0
2019-08-23,160.08,160.35,155.27,155.85,155.85,4224008.0
2019-08-26,157.01,157.465,155.08,156.12,156.12,2215423.0
2019-08-27,157.33,157.48,155.4,155.75,155.75,2281142.0
2019-08-28,155.1,157.78,154.0,157.55,157.55,2352823.0
2019-08-29,159.3,161.03,159.05,160.36,160.36,3170688.0
2019-08-30,161.57,162.146,160.41,161.72,161.72,1967010.0
2019-09-03,161.4,161.63,157.26,158.64,158.64,1835782.0
2019-09-04,159.83,160.63,158.99,160.07,160.07,1520739.0
2019-09-05,162.5,166.415,162.39,164.23,164.23,2421764.0
2019-09-06,164.64,164.88,162.95,163.94,163.94,1762386.0
2019-09-09,165.0,167.85,164.69,165.94,165.94,3091339.0
2019-09-10,166.16,169.1,166.01,168.86,168.86,3240355.0
2019-09-11,169.86,169.89,165.37,168.08,168.08,3579099.0
2019-09-12,169.62,171.85,168.61,170.58,170.58,2870355.0
2019-09-13,170.59,172.48,169.86,171.44,171.44,2534191.0
2019-09-16,171.21,171.21,167.91,169.67,169.67,2459306.0
2019-09-17,167.76,168.57,166.5,168.07,168.07,2742017.0
2019-09-18,167.61,168.05,165.25,167.44,167.44,2190557.0
2019-09-19,167.39,168.81,166.91,167.07,167.07,1631552.0
2019-09-20,167.43,169.17,166.48,166.76,166.76,3712913.0
2019-09-23,165.49,167.43,164.5,166.76,166.76,2114937.0
2019-09-24,167.05,167.55,164.16,164.74,164.74,3052312.9999999995
2019-09-25,164.76,164.98,163.685,164.0,164.0,2788159.0
2019-09-26,164.0,164.41,162.8,163.83,163.83,2784498.0
2019-09-27,164.48,165.64,163.52,164.53,164.53,2870298.0
2019-09-30,165.21,165.565,163.94,164.4,164.4,2574771.0
2019-10-01,165.0,165.21,158.17,158.38,158.38,3283467.0
2019-10-02,157.06,157.22,154.63,155.65,155.65,3046851.0
2019-10-03,155.14,155.46,150.81,155.23,155.23,3089563.0
2019-10-04,155.23,156.05,154.4,155.82,155.82,2648859.0
2019-10-07,155.0,155.35,153.52,153.52,153.52,2522123.0
2019-10-08,152.33,152.8,150.58,150.74,150.74,2822011.9999999995
2019-10-09,152.34,152.44,150.79,150.99,150.99,3434926.0
2019-10-10,150.95,153.093,150.87,152.31,152.31,3201644.9999999995
2019-10-11,154.13,159.6,154.11,158.1,158.1,4686467.0
2019-10-14,158.04,162.39,157.34,160.51,160.51,3283072.0
2019-10-15,159.35,164.02,159.35,162.98,162.98,3103740.0000000005
2019-10-16,163.1,164.2,162.12,162.18,162.18,1951970.0
2019-10-17,163.14,165.49,163.08,163.54,163.54,1984704.0000000002
2019-10-18,163.56,164.27,162.98,163.1,163.1,2693736.0
2019-10-21,165.47,166.15,164.76,165.94,165.94,2011630.9999999998
2019-10-22,166.27,168.905,165.1,167.54,167.54,2085530.0
2019-10-23,167.41,168.76,166.56,168.76,168.76,2717457.9999999995
2019-10-24,165.16,165.25,159.631,161.89,161.89,5959562.0
2019-10-25,162.51,167.63,162.13,166.09,166.09,3104753.0
2019-10-28,166.48,169.71,166.2,169.06,169.06,3138032.0
2019-10-29,168.03,169.95,167.51,168.81,168.81,2669380.0
2019-10-30,168.23,168.57,167.03,168.37,168.37,1780351.0
2019-10-31,168.51,168.56,163.55,164.99,164.99,2653140.0
2019-11-01,166.94,170.15,166.72,170.09,170.09,2467439.0
2019-11-04,171.62,175.0,171.62,174.9,174.9,4142793.0
2019-11-05,175.0,175.46,173.77,175.27,175.27,2304382.0
2019-11-06,174.91,175.0,172.36,174.0,174.0,3012883.0
2019-11-07,175.73,176.71,173.79,174.52,174.52,3358790.0
2019-11-08,174.58,174.87,172.11,173.15,173.15,1615589.0
2019-11-11,172.5,172.5,169.65,170.11,170.11,2664268.0
2019-11-12,170.36,172.07,170.03,170.84,170.84,1740740.0000000002
2019-11-13,170.11,171.39,169.58,170.55,170.55,1830860.9999999998
2019-11-14,169.98,172.32,169.93,170.93,170.93,1613987.0
2019-11-15,171.66,172.69,171.04,171.88,171.88,2617186.0
2019-11-18,170.79,171.195,169.17,170.54,170.54,2364756.0
2019-11-19,171.72,171.72,169.53,170.68,170.68,1791801.0
