Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,23.55,24.47,23.3,23.8,23.8,8591802.0
2019-01-03,23.85,24.2,23.41,23.95,23.95,5591753.0
2019-01-04,23.84,24.83,23.84,24.4,24.4,9156628.0
2019-01-07,18.5,20.2,17.96,18.95,18.95,35120521.0
2019-01-08,16.79,17.56,15.78,17.56,17.56,34202024.0
2019-01-09,17.6,19.35,17.56,17.83,17.83,24533320.0
2019-01-10,18.05,19.2,17.07,17.76,17.76,24798319.0
2019-01-11,17.0,17.96,16.72,17.59,17.59,19750705.0
2019-01-14,9.21,9.73,7.78,8.38,8.38,127198783.0
2019-01-15,6.28,7.2,5.07,6.91,6.91,173062580.00000003
2019-01-16,6.45,7.11,6.31,7.03,7.03,78485910.0
2019-01-17,8.3,8.32,6.31,6.36,6.36,205294490.0
2019-01-18,6.66,7.46,6.54,7.23,7.23,53590412.0
2019-01-22,7.16,8.38,7.0,7.7,7.7,59384937.0
2019-01-23,7.96,8.05,7.52,7.99,7.99,21631003.0
2019-01-24,7.9,14.5,7.3,13.95,13.95,82538284.0
2019-01-25,12.7,12.86,11.51,11.77,11.77,72454086.0
2019-01-28,10.61,14.15,10.61,12.01,12.01,58267049.0
2019-01-29,12.31,14.35,12.23,13.99,13.99,56057392.0
2019-01-30,14.15,14.15,13.15,13.67,13.67,19681038.0
2019-01-31,13.38,13.658,12.73,13.0,13.0,12119528.0
2019-02-01,12.88,13.25,12.811,13.08,13.08,6496910.0
2019-02-04,13.37,13.39,12.8,13.29,13.29,8512113.0
2019-02-05,13.26,14.25,13.17,14.08,14.08,9157107.0
2019-02-06,14.12,14.14,13.66,13.67,13.67,5999724.0
2019-02-07,13.5,14.15,13.42,14.06,14.06,8918497.0
2019-02-08,13.93,14.57,13.71,14.2,14.2,6488278.0
2019-02-11,14.32,14.66,14.08,14.33,14.33,7368347.0
2019-02-12,14.81,15.47,14.38,15.43,15.43,11555809.0
2019-02-13,15.5,16.0,15.15,15.21,15.21,8686957.0
2019-02-14,15.35,15.55,15.12,15.47,15.47,7240477.0
2019-02-15,15.45,15.68,15.395,15.48,15.48,4823156.0
2019-02-19,16.35,18.51,16.13,17.74,17.74,29442458.0
2019-02-20,18.06,18.48,17.76,18.21,18.21,12206211.0
2019-02-21,18.45,19.95,18.3,19.4,19.4,22164028.0
2019-02-22,19.88,19.99,17.78,18.77,18.77,16304350.0
2019-02-25,18.8,18.83,17.917,18.65,18.65,5906541.999999999
2019-02-26,18.65,19.03,18.32,18.52,18.52,5207514.0
2019-02-27,18.68,18.85,17.35,17.8,17.8,11950722.0
2019-02-28,17.85,17.86,16.23,17.03,17.03,11974631.0
2019-03-01,17.1,18.27,17.05,17.91,17.91,11335813.0
2019-03-04,18.14,18.19,17.71,18.05,18.05,8047124.0
2019-03-05,18.0,18.44,17.97,18.31,18.31,7826416.0
2019-03-06,18.16,19.2,18.15,18.36,18.36,8635983.0
2019-03-07,18.48,19.17,18.41,19.07,19.07,7077875.0
2019-03-08,18.88,19.4,18.77,19.39,19.39,3936170.0
2019-03-11,19.4,19.57,19.14,19.38,19.38,5576785.0
2019-03-12,19.39,19.52,19.16,19.22,19.22,4570667.0
2019-03-13,19.6,19.61,18.81,19.46,19.46,12773064.0
2019-03-14,19.39,19.56,19.255,19.51,19.51,6437325.0
2019-03-15,19.58,19.67,18.96,19.65,19.65,8077258.000000001
2019-03-18,19.8,19.8,19.21,19.43,19.43,6636523.999999999
2019-03-19,19.43,19.48,18.71,19.07,19.07,7094139.0
2019-03-20,18.93,19.36,18.836,19.08,19.08,2576903.0
2019-03-21,19.03,19.15,18.82,19.05,19.05,2472712.0
2019-03-22,19.1,19.48,18.9,19.42,19.42,9601653.0
2019-03-25,19.38,19.38,17.5,18.21,18.21,12809419.0
2019-03-26,18.27,18.75,17.92,17.95,17.95,3537135.0
2019-03-27,17.93,17.995,17.4,17.68,17.68,8151552.0
2019-03-28,18.04,18.13,15.49,17.25,17.25,12484115.0
2019-03-29,17.39,17.81,16.96,17.8,17.8,3587344.0
2019-04-01,17.59,18.03,17.18,18.01,18.01,4114687.0
2019-04-02,17.97,18.42,17.63,17.66,17.66,5701029.999999999
2019-04-03,18.16,18.75,17.86,18.47,18.47,9992466.0
2019-04-04,18.9,19.64,18.76,18.86,18.86,7950893.0
2019-04-05,19.07,19.425,18.88,19.37,19.37,3570788.9999999995
2019-04-08,19.42,20.06,19.394,19.68,19.68,8207557.000000001
2019-04-09,19.65,19.86,18.74,18.82,18.82,6424871.000000001
2019-04-10,18.82,19.2,18.79,18.87,18.87,1971738.0
2019-04-11,18.98,19.6,18.9,19.13,19.13,3405091.0
2019-04-12,19.18,23.22,18.83,23.08,23.08,26759136.0
2019-04-15,22.76,24.9,22.02,23.72,23.72,20527440.0
2019-04-16,23.55,23.75,22.135,22.26,22.26,7660395.0
2019-04-17,22.81,22.81,21.71,21.85,21.85,5429272.999999999
2019-04-18,21.7,21.73,20.81,21.0,21.0,5209478.0
2019-04-22,20.88,21.6,20.87,21.4,21.4,5001270.0
2019-04-23,21.5,21.78,21.3,21.53,21.53,11613191.0
2019-04-24,22.32,23.45,22.05,22.93,22.93,16766799.0
2019-04-25,22.67,23.24,22.23,23.09,23.09,5321176.0
2019-04-26,23.05,23.41,22.755,23.41,23.41,8885131.0
2019-04-29,23.4,23.8,23.272,23.42,23.42,6637120.0
2019-04-30,23.43,23.47,22.495,22.52,22.52,4419328.0
2019-05-01,22.66,22.66,21.51,21.7,21.7,6483388.0
