Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,66.13,67.77,65.735,67.31,67.31,6471504.0
2019-01-03,67.02,68.26,66.29,66.44,66.44,6178183.0
2019-01-04,67.03,69.57,66.95,69.55,69.55,7220971.0
2019-01-07,69.19,69.3,67.34,67.42,67.42,7807152.0
2019-01-08,67.68,68.28,67.51,67.87,67.87,7257741.0
2019-01-09,68.25,68.714,67.8,67.91,67.91,5924037.0
2019-01-10,68.18,68.72,67.969,68.15,68.15,8988157.0
2019-01-11,68.46,69.52,67.83,69.5,69.5,7150367.0
2019-01-14,69.24,69.92,68.99,69.62,69.62,8408731.0
2019-01-15,69.35,70.66,69.2,70.5,70.5,6639221.0
2019-01-16,70.4,71.05,69.36,70.75,70.75,7360416.0
2019-01-17,70.61,72.75,70.31,72.52,72.52,7974471.999999999
2019-01-18,73.26,74.19,72.66,73.79,73.79,8715783.0
2019-01-22,73.36,73.86,71.85,72.81,72.81,10288323.0
2019-01-23,73.17,74.16,72.75,74.0,74.0,6260827.0
2019-01-24,73.55,73.82,70.31,71.55,71.55,13249629.0
2019-01-25,72.08,73.52,71.94,72.73,72.73,5292917.0
2019-01-28,72.61,74.5,72.14,74.35,74.35,6605285.0
2019-01-29,74.45,75.18,74.04,74.41,74.41,4798066.0
2019-01-30,74.85,75.31,74.36,74.48,74.48,6093807.000000001
2019-01-31,74.8,77.1,74.33,76.72,76.72,8512434.0
2019-02-01,77.03,77.05,75.33,75.73,75.73,7805454.999999999
2019-02-04,75.51,76.194,75.26,76.05,76.05,5362197.0
2019-02-05,76.01,76.25,75.595,75.81,75.81,4759994.0
2019-02-06,75.54,76.11,75.34,75.51,75.51,4993775.0
2019-02-07,77.76,78.62,75.77,76.73,76.73,6972413.0
2019-02-08,76.99,80.02,76.4,79.98,79.98,12070226.0
2019-02-11,79.56,80.03,78.92,79.05,79.05,7011977.000000001
2019-02-12,79.2,80.86,78.975,80.6,80.6,6144847.0
2019-02-13,80.96,81.33,80.55,81.3,81.3,5248733.999999999
2019-02-14,81.11,82.5,81.02,81.85,81.85,5625547.0
2019-02-15,82.8,83.56,82.2,83.46,83.46,6435136.0
2019-02-19,83.53,83.7,82.63,83.39,83.39,5307336.0
2019-02-20,83.48,85.78,83.39,85.04,85.04,5633006.0
2019-02-21,85.05,85.82,84.53,85.58,85.58,5887230.0
2019-02-22,85.48,87.25,85.16,87.15,87.15,4317871.0
2019-02-25,87.41,87.7,86.57,86.6,86.6,5020062.0
2019-02-26,86.31,87.47,86.2,86.51,86.51,4756179.0
2019-02-27,87.28,87.6,86.73,87.27,87.27,4670125.0
2019-02-28,87.27,87.54,86.76,86.94,86.94,4290101.0
2019-03-01,87.42,87.7,86.75,87.51,87.51,4379297.0
2019-03-04,87.8,88.0,86.66,87.28,87.28,3711709.0
2019-03-05,86.82,87.68,86.54,86.98,86.98,5547122.000000001
2019-03-06,86.98,87.381,86.38,87.02,87.02,4938428.0
2019-03-07,87.07,87.14,86.385,86.97,86.97,4802715.0
2019-03-08,86.91,87.97,86.76,87.45,87.45,3865514.9999999995
2019-03-11,87.61,89.5,87.61,89.24,89.24,6022469.0
2019-03-12,89.5,90.27,88.48,88.8,88.8,5669754.0
2019-03-13,88.89,89.79,88.58,89.5,89.5,4468929.0
2019-03-14,89.13,89.905,88.96,89.79,89.79,4534712.0
2019-03-15,89.56,91.32,89.4,90.85,90.85,12348393.000000002
2019-03-18,91.24,91.3,90.56,90.73,90.73,5948478.0
2019-03-19,90.73,91.55,90.15,90.5,90.5,6075434.0
2019-03-20,90.3,91.02,89.86,90.74,90.74,5253763.0
2019-03-21,90.34,92.01,90.23,91.91,91.91,4262570.0
2019-03-22,91.67,92.74,91.13,91.17,91.17,5980005.0
2019-03-25,89.53,89.79,88.17,88.27,88.27,7938777.0
2019-03-26,88.61,89.44,88.28,88.59,88.59,5925651.0
2019-03-27,88.27,88.605,85.95,87.03,87.03,6483167.0
2019-03-28,87.0,87.98,86.89,87.28,87.28,5839983.999999999
2019-03-29,87.48,88.51,87.08,88.39,88.39,6314021.0
2019-04-01,88.38,88.825,87.94,88.2,88.2,4249642.0
2019-04-02,88.65,89.09,87.74,88.01,88.01,3995193.0
2019-04-03,87.54,87.856,85.18,85.81,85.81,7540291.999999999
2019-04-04,86.09,86.7,85.95,86.07,86.07,4672781.0
2019-04-05,86.11,86.25,84.91,85.44,85.44,5494988.0
2019-04-08,85.77,85.83,84.96,85.31,85.31,4439103.0
2019-04-09,85.23,86.04,85.085,85.84,85.84,3898856.0
2019-04-10,85.52,86.04,85.41,85.71,85.71,2855397.0
2019-04-11,85.76,86.0,85.467,85.51,85.51,3893433.9999999995
2019-04-12,86.0,86.04,85.35,85.77,85.77,4652928.0
2019-04-15,86.1,86.69,85.86,86.19,86.19,3491324.0
2019-04-16,86.24,86.66,85.84,86.21,86.21,4544823.0
2019-04-17,86.42,86.5,85.15,85.48,85.48,4675715.0
2019-04-18,85.64,87.45,82.63,84.49,84.49,7765417.0
2019-04-22,84.14,85.39,83.91,84.29,84.29,3530282.0000000005
2019-04-23,84.4,85.07,83.915,84.91,84.91,6397557.000000001
2019-04-24,84.73,84.83,83.17,84.45,84.45,4716517.0
2019-04-25,83.45,83.9,82.45,83.59,83.59,5241363.0
2019-04-26,83.94,85.13,83.89,84.76,84.76,3930258.0
2019-04-29,84.67,85.295,84.394,84.9,84.9,4416862.0
2019-04-30,84.83,87.53,84.57,86.56,86.56,5640278.0
2019-05-01,87.05,87.13,85.68,85.78,85.78,3655691.0
2019-05-02,85.42,86.73,84.705,84.92,84.92,2852794.0
2019-05-03,85.51,85.945,84.92,85.7,85.7,2738800.0
2019-05-06,85.22,85.89,84.46,85.12,85.12,3307893.0000000005
2019-05-07,84.61,84.84,83.03,84.43,84.43,4804444.0
2019-05-08,84.22,84.55,83.36,83.81,83.81,3223988.0
