Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,66.81,68.16,66.33,67.5,67.5,43289.0
2019-01-03,67.5,67.98,66.02,66.79,66.79,21720.0
2019-01-04,67.66,68.37,66.99,68.19,68.19,38499.0
2019-01-07,68.08,68.71,67.2,68.26,68.26,25737.0
2019-01-08,68.78,68.78,67.57,68.77,68.77,26876.000000000004
2019-01-09,69.28,69.67,67.78,69.67,69.67,57097.0
2019-01-10,69.7,70.44,68.72,70.44,70.44,19843.0
2019-01-11,70.44,70.7,69.77,69.97,69.97,33129.0
2019-01-14,69.7,70.61,69.7,70.17,70.17,20791.0
2019-01-15,70.07,70.877,69.91,70.82,70.82,23978.0
2019-01-16,71.0,74.04,71.0,73.24,73.24,19557.0
2019-01-17,73.56,73.982,72.695,73.52,73.52,31786.0
2019-01-18,74.29,75.18,73.33,74.5,74.5,16202.0
2019-01-22,74.51,75.288,74.01,74.23,74.23,23337.0
2019-01-23,74.25,75.0,71.44,71.78,71.78,13308.0
2019-01-24,71.78,71.78,70.7,71.21,71.21,9603.0
2019-01-25,72.28,73.037,71.71,71.71,71.71,6902.0
2019-01-28,71.3,71.31,70.14,70.46,70.46,12773.000000000002
2019-01-29,70.45,71.25,69.64,70.61,70.61,14977.0
2019-01-30,70.86,72.86,70.86,72.78,72.78,9770.0
2019-01-31,74.49,74.49,72.05,72.93,72.93,17111.0
2019-02-01,72.89,74.08,71.99,73.42,73.42,14508.0
2019-02-04,73.5,74.23,72.72,74.01,74.01,11645.0
2019-02-05,74.29,74.29,73.66,74.14,74.14,8828.0
2019-02-06,72.475,74.153,72.475,73.1,73.1,8733.0
2019-02-07,72.94,72.94,71.12,71.66,71.66,17464.0
2019-02-08,71.105,72.12,71.105,71.37,71.37,13466.0
2019-02-11,71.6,73.53,71.26,73.53,73.53,17696.0
2019-02-12,74.0,75.277,73.245,73.8,73.8,10774.0
2019-02-13,73.92,76.47,73.92,76.07,76.07,22144.0
2019-02-14,76.6,78.25,76.34,77.96,77.96,29497.0
2019-02-15,78.28,80.88,78.28,80.27,80.27,32395.0
2019-02-19,80.04,83.34,80.04,82.22,82.22,32174.0
2019-02-20,81.7,82.03,79.1,79.39,79.39,45406.00000000001
2019-02-21,79.54,80.14,78.86,79.12,79.12,25417.0
2019-02-22,79.5,81.4,79.5,80.2,80.2,22403.0
2019-02-25,80.54,80.6,79.58,80.12,80.12,10387.0
2019-02-26,80.503,80.95,80.0,80.26,80.26,13751.0
2019-02-27,79.81,80.97,79.81,80.6,80.6,18775.0
2019-02-28,80.6,80.6,79.54,79.71,79.71,18946.0
2019-03-01,80.05,80.95,80.05,80.22,80.22,16316.0
2019-03-04,80.62,81.33,79.27,79.81,79.81,33172.0
2019-03-05,79.96,80.065,79.06,79.77,79.77,23153.0
2019-03-06,79.66,80.485,78.66,78.74,78.74,39714.0
2019-03-07,78.644,78.644,77.328,78.01,78.01,12672.000000000002
2019-03-08,77.47,77.69,76.79,77.25,77.25,15770.0
2019-03-11,77.79,79.18,77.79,78.92,78.92,16223.0
2019-03-12,78.95,80.48,78.35,79.33,79.33,25480.999999999996
2019-03-13,79.86,79.86,78.66,79.01,79.01,19796.0
2019-03-14,78.34,80.23,78.34,79.2,79.2,12370.000000000002
2019-03-15,79.85,80.05,78.885,79.78,79.78,51860.0
2019-03-18,79.78,80.47,79.245,80.12,80.12,19789.0
2019-03-19,80.9,80.97,80.255,80.41,80.41,29103.0
2019-03-20,80.77,82.455,80.295,81.06,81.06,30278.0
2019-03-21,80.94,85.0,78.03,83.9,83.9,46630.0
2019-03-22,83.13,83.56,79.35,80.39,80.39,25724.999999999996
2019-03-25,80.33,82.82,79.72,82.4,82.4,37343.0
2019-03-26,83.17,83.17,81.88,82.21,82.21,21857.000000000004
2019-03-27,82.0,82.68,80.42,80.74,80.74,24624.0
2019-03-28,81.05,81.97,80.41,81.36,81.36,15320.0
2019-03-29,81.77,82.07,79.97,80.61,80.61,51397.00000000001
2019-04-01,81.31,82.12,79.66,81.79,81.79,43599.0
2019-04-02,81.79,82.24,80.095,80.2,80.2,27213.0
2019-04-03,80.6,81.24,80.38,80.57,80.57,48329.00000000001
2019-04-04,81.0,81.65,80.0,81.65,81.65,22515.0
2019-04-05,81.73,83.9,81.54,83.44,83.44,33755.0
2019-04-08,83.45,83.6,82.52,83.03,83.03,29916.999999999996
2019-04-09,82.92,83.41,81.94,82.7,82.7,47121.00000000001
2019-04-10,82.89,83.705,82.44,83.15,83.15,26892.999999999996
2019-04-11,83.11,83.99,82.56,83.51,83.51,52022.00000000001
2019-04-12,84.33,84.83,83.005,83.9,83.9,36690.0
2019-04-15,83.5,84.135,82.37,83.11,83.11,26953.999999999996
2019-04-16,83.4,83.89,82.73,82.95,82.95,20882.0
2019-04-17,83.18,84.57,83.18,83.85,83.85,17011.0
2019-04-18,83.88,84.573,83.155,84.11,84.11,24225.0
2019-04-22,83.94,84.224,83.12,83.61,83.61,16010.0
2019-04-23,83.49,85.38,83.49,84.85,84.85,16979.0
2019-04-24,84.94,84.94,83.49,84.28,84.28,20812.0
2019-04-25,83.91,84.605,83.3,83.98,83.98,13873.0
2019-04-26,83.61,84.8,83.475,84.75,84.75,10194.0
2019-04-29,84.66,86.325,84.66,86.13,86.13,19881.0
2019-04-30,86.36,86.48,83.52,84.51,84.51,45561.99999999999
2019-05-01,84.58,86.635,84.27,86.29,86.29,60359.99999999999
2019-05-02,86.1,86.595,83.49,84.35,84.35,38137.0
2019-05-03,85.15,89.8,84.13,89.54,89.54,51864.0
2019-05-06,89.54,89.56,87.745,88.18,88.18,32791.0
2019-05-07,87.35,88.19,86.2,86.38,86.38,32923.0
2019-05-08,86.84,87.6,85.33,86.52,86.52,47525.00000000001
2019-05-09,86.03,86.9,85.0,86.24,86.24,41311.0
2019-05-10,85.73,86.48,85.42,85.9,85.9,21441.0
2019-05-13,84.91,85.67,83.56,84.91,84.91,25554.0
2019-05-14,85.0,86.02,84.36,84.7,84.7,47029.0
2019-05-15,84.15,84.78,83.89,84.18,84.18,20526.0
2019-05-16,84.24,84.83,82.24,82.7,82.7,56411.0
2019-05-17,82.22,83.83,82.22,82.34,82.34,21786.0
2019-05-20,82.45,82.9,80.87,81.25,81.25,26460.0
2019-05-21,81.53,82.1,80.99,81.36,81.36,40721.99999999999
2019-05-22,81.11,82.015,77.95,78.56,78.56,31269.0
2019-05-23,77.84,78.35,75.89,76.84,76.84,25488.0
2019-05-24,77.29,78.04,76.69,77.04,77.04,23416.0
2019-05-28,76.98,77.405,76.55,76.88,76.88,30732.0
2019-05-29,76.535,77.73,76.33,76.37,76.37,17199.0
2019-05-30,76.69,77.8,70.157,70.6,70.6,35998.0
2019-05-31,69.65,69.93,65.11,67.47,67.47,83288.0
2019-06-03,67.2,70.17,66.68,69.78,69.78,55751.0
2019-06-04,70.51,71.86,70.5,71.85,71.85,34737.0
2019-06-05,72.02,72.51,70.69,71.7,71.7,57073.0
2019-06-06,71.96,72.53,69.46,70.61,70.61,58811.0
2019-06-07,70.94,71.9,70.57,70.63,70.63,51320.0
2019-06-10,70.73,71.85,69.4,69.72,69.72,35353.0
2019-06-11,70.24,70.85,69.13,69.86,69.86,84392.0
2019-06-12,69.78,70.42,67.2,67.34,67.34,45599.0
2019-06-13,68.32,71.12,68.26,70.79,70.79,60125.0
2019-06-14,70.82,71.0,67.89,67.99,67.99,47554.0
2019-06-17,68.0,70.82,68.0,70.12,70.12,48765.0
2019-06-18,70.691,73.0,69.65,70.16,70.16,74629.0
2019-06-19,70.2,70.5,68.322,69.02,69.02,47416.0
2019-06-20,69.78,71.8,69.25,71.25,71.25,56106.99999999999
2019-06-21,71.24,71.945,69.27,69.8,69.8,92242.0
2019-06-24,69.8,70.35,66.31,66.92,66.92,68698.0
2019-06-25,66.94,69.27,66.46,67.99,67.99,77053.0
2019-06-26,68.4,70.26,68.25,69.24,69.24,47626.0
2019-06-27,69.04,71.16,69.01,71.02,71.02,51015.0
2019-06-28,70.92,72.96,70.92,72.9,72.9,83030.00000000001
2019-07-01,73.91,74.285,70.64,71.4,71.4,75855.0
2019-07-02,71.5,71.805,69.55,69.9,69.9,41578.0
2019-07-03,70.11,70.98,69.9,70.98,70.98,28658.0
2019-07-05,70.72,71.99,70.31,71.72,71.72,23477.0
2019-07-08,71.47,73.74,71.47,73.08,73.08,70281.0
2019-07-09,72.8,73.99,72.51,73.86,73.86,46384.0
2019-07-10,74.42,75.87,74.42,75.24,75.24,68255.0
2019-07-11,75.49,76.92,73.32,73.68,73.68,54771.0
2019-07-12,73.79,75.53,72.31,74.82,74.82,45773.0
2019-07-15,74.68,75.58,74.0,75.58,75.58,50091.0
2019-07-16,75.38,77.88,75.1,77.25,77.25,51660.00000000001
2019-07-17,77.5,78.32,75.91,76.32,76.32,55899.0
2019-07-18,75.97,77.13,75.91,76.79,76.79,46447.0
2019-07-19,77.18,80.83,76.6,79.75,79.75,63581.0
2019-07-22,79.8,79.9,76.66,77.49,77.49,69647.0
2019-07-23,76.595,77.82,75.95,77.4,77.4,37390.0
2019-07-24,76.285,79.52,76.285,79.12,79.12,73455.0
2019-07-25,78.93,78.93,75.61,76.06,76.06,20373.0
2019-07-26,76.33,76.55,75.8,76.22,76.22,31312.000000000004
2019-07-29,76.29,76.29,73.55,74.29,74.29,24065.0
2019-07-30,73.85,76.8,73.625,76.1,76.1,31650.0
2019-07-31,76.19,76.75,74.26,74.6,74.6,37066.0
2019-08-01,74.35,75.42,73.02,75.01,75.01,39077.0
2019-08-02,74.86,74.86,73.03,73.43,73.43,20118.0
2019-08-05,72.14,72.14,69.8,70.67,70.67,26326.0
2019-08-06,70.71,70.75,69.13,70.75,70.75,19821.0
2019-08-07,69.78,72.19,69.78,71.47,71.47,26860.0
2019-08-08,72.01,73.86,72.01,73.86,73.86,49172.0
2019-08-09,73.83,73.83,72.08,72.76,72.76,17046.0
2019-08-12,73.305,73.305,71.43,71.43,71.43,31502.0
2019-08-13,70.92,72.6,70.63,71.96,71.96,67339.0
2019-08-14,70.83,71.47,68.665,69.13,69.13,50066.0
2019-08-15,69.04,70.3,67.88,70.06,70.06,59132.99999999999
2019-08-16,70.59,72.64,70.1,72.64,72.64,45197.0
2019-08-19,73.62,74.8,72.73,74.19,74.19,59005.0
2019-08-20,74.01,74.77,71.87,72.13,72.13,33016.0
2019-08-21,73.19,73.64,72.17,72.86,72.86,41129.0
2019-08-22,73.01,73.46,71.81,72.01,72.01,62671.0
2019-08-23,71.27,72.21,68.11,68.51,68.51,61857.0
2019-08-26,69.0,69.221,67.46,68.79,68.79,30776.0
2019-08-27,68.76,68.76,65.18,67.14,67.14,47368.0
2019-08-28,67.52,70.595,66.83,69.5,69.5,30602.0
2019-08-29,71.04,72.3,69.53,70.28,70.28,90521.99999999999
2019-08-30,70.65,70.67,68.1,68.68,68.68,55685.0
2019-09-03,67.72,74.25,67.6,72.62,72.62,99342.0
2019-09-04,73.44,73.44,71.41,73.0,73.0,38259.0
2019-09-05,73.93,75.79,73.93,75.1,75.1,49052.0
2019-09-06,74.74,75.92,74.44,75.53,75.53,21322.0
2019-09-09,75.98,77.07,74.42,76.34,76.34,38124.0
2019-09-10,76.74,78.8,74.625,77.98,77.98,40140.0
2019-09-11,77.85,79.12,76.79,78.95,78.95,33169.0
2019-09-12,78.22,79.85,77.66,78.15,78.15,44855.0
2019-09-13,78.79,80.02,76.72,77.38,77.38,60934.0
2019-09-16,77.23,80.55,77.23,80.35,80.35,47543.0
2019-09-17,80.14,80.14,78.32,78.56,78.56,31622.0
2019-09-18,78.12,78.45,77.47,77.68,77.68,15264.0
2019-09-19,77.77,79.53,76.42,76.45,76.45,38949.0
2019-09-20,76.51,78.36,74.93,76.84,76.84,99611.0
2019-09-23,76.05,77.97,75.78,77.11,77.11,36602.0
2019-09-24,76.79,77.85,74.75,75.3,75.3,52797.0
2019-09-25,75.26,78.435,74.8,77.4,77.4,43550.00000000001
2019-09-26,77.31,77.31,74.33,75.67,75.67,37488.0
2019-09-27,75.8,76.87,75.26,75.92,75.92,25727.000000000004
2019-09-30,75.43,76.73,75.43,76.33,76.33,44150.0
