Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,43.89,43.95,43.26,43.72,43.72,5756167.0
2019-01-03,43.76,44.69,43.76,44.34,44.34,9405505.0
2019-01-04,44.12,44.73,44.04,44.71,44.71,5680801.0
2019-01-07,44.51,44.76,44.175,44.61,44.61,5397821.0
2019-01-08,44.61,45.97,44.5,45.88,45.88,7246178.0
2019-01-09,45.8,46.04,45.32,45.49,45.49,6687636.0
2019-01-10,45.6,46.42,45.38,46.34,46.34,4634944.0
2019-01-11,46.22,46.785,45.82,46.61,46.61,6136967.0
2019-01-14,46.19,46.46,45.548,46.16,46.16,6328975.0
2019-01-15,46.08,47.089,46.07,46.79,46.79,5433138.0
2019-01-16,46.53,46.94,46.26,46.87,46.87,5475262.0
2019-01-17,46.86,47.11,46.63,47.07,47.07,3578587.9999999995
2019-01-18,47.1,47.24,46.89,47.22,47.22,4015423.0
2019-01-22,46.96,47.22,46.49,47.07,47.07,5292437.0
2019-01-23,47.07,47.61,46.98,47.58,47.58,4754784.0
2019-01-24,47.6,48.0,47.18,47.96,47.96,4812180.0
2019-01-25,47.85,48.17,47.365,47.5,47.5,4862407.0
2019-01-28,47.51,47.62,47.11,47.43,47.43,3926973.0
2019-01-29,47.58,47.84,47.37,47.58,47.58,5205046.0
2019-01-30,47.49,48.115,47.36,47.87,47.87,3556176.0
2019-01-31,47.93,48.68,47.56,48.6,48.6,7148969.0
2019-02-01,48.54,48.65,47.94,48.49,48.49,4216139.0
2019-02-04,48.1,48.61,47.81,48.61,48.61,4306270.0
2019-02-05,48.57,48.805,48.31,48.73,48.73,5116590.0
2019-02-06,48.57,48.8,48.4,48.54,48.54,3224286.0
2019-02-07,48.54,49.18,48.333,49.16,49.16,4178562.0
2019-02-08,49.0,49.13,48.72,49.12,49.12,4033060.0
2019-02-11,49.05,49.38,49.02,49.24,49.24,5158638.999999999
2019-02-12,49.26,49.62,48.93,49.37,49.37,3925988.0
2019-02-13,49.31,49.35,49.0,49.22,49.22,3815521.0
2019-02-14,49.2,49.45,48.94,49.2,49.2,4007910.0
2019-02-15,48.84,48.96,48.45,48.56,48.56,4647718.0
2019-02-19,48.54,48.96,48.42,48.92,48.92,6270499.0
2019-02-20,49.02,50.0,48.75,49.74,49.74,9627054.0
2019-02-21,49.33,50.35,49.24,50.22,50.22,8403065.0
2019-02-22,50.11,50.54,49.69,50.37,50.37,7245519.0
2019-02-25,50.25,50.29,49.265,49.56,49.56,5728130.0
2019-02-26,49.73,49.8,49.013,49.22,49.22,6112696.999999999
2019-02-27,49.09,49.54,49.01,49.38,49.38,3288467.9999999995
2019-02-28,49.36,49.875,49.14,49.69,49.69,6105384.0
2019-03-01,49.79,50.08,49.35,49.98,49.98,4261647.0
