Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,96.12,97.36,95.78,97.21,97.21,3297520.0
2019-01-03,96.47,96.648,94.19,94.45,94.45,2705032.0
2019-01-04,96.19,97.93,95.83,97.74,97.74,3347302.0000000005
2019-01-07,97.48,98.154,96.181,97.41,97.41,3795650.0
2019-01-08,98.46,99.11,96.53,97.42,97.42,3034282.0
2019-01-09,97.59,98.33,97.16,97.92,97.92,3678230.0
2019-01-10,97.4,99.14,96.85,98.91,98.91,2432217.0
2019-01-11,98.29,98.96,97.31,97.91,97.91,5282804.0
2019-01-14,97.33,99.65,96.63,99.14,99.14,4731266.0
2019-01-15,99.14,99.14,96.815,97.56,97.56,4777103.0
2019-01-16,97.9,98.95,96.865,96.99,96.99,4463447.0
2019-01-17,96.95,99.65,96.8,99.58,99.58,4004283.0
2019-01-18,100.43,101.87,100.11,101.6,101.6,4249091.0
2019-01-22,101.5,103.0,101.15,102.68,102.68,5594315.0
2019-01-23,103.04,103.13,99.24,100.92,100.92,4573263.0
2019-01-24,100.36,100.64,98.83,99.7,99.7,2807393.0
2019-01-25,100.7,101.74,100.0,100.83,100.83,3445551.0
2019-01-28,99.87,100.62,98.91,100.33,100.33,3126239.0
2019-01-29,100.37,101.33,99.78,101.3,101.3,2209103.0
2019-01-30,101.89,102.05,100.25,101.19,101.19,4013005.0
2019-01-31,105.5,108.0,102.75,105.4,105.4,7327400.0
2019-02-01,105.72,106.5,105.26,106.09,106.09,3526127.0
2019-02-04,106.0,106.59,105.42,106.58,106.58,3184663.0
2019-02-05,106.81,107.71,106.04,107.66,107.66,3690385.0
2019-02-06,107.45,108.84,107.17,108.82,108.82,4490558.0
2019-02-07,108.35,108.945,107.39,107.94,107.94,3395683.0
2019-02-08,107.39,108.12,106.74,108.1,108.1,2951012.0
2019-02-11,108.21,109.02,107.89,108.93,108.93,2765281.0
2019-02-12,109.56,110.79,109.56,110.66,110.66,2881875.0
2019-02-13,111.0,112.06,110.48,112.01,112.01,2731606.0
2019-02-14,111.41,112.17,110.607,111.8,111.8,2359424.0
2019-02-15,110.93,111.95,109.615,110.87,110.87,4273403.0
2019-02-19,110.9,111.75,110.165,110.77,110.77,2658706.0000000005
2019-02-20,110.93,111.16,110.4,111.07,111.07,3346687.0
2019-02-21,110.77,112.28,110.71,111.76,111.76,2260051.0
2019-02-22,111.89,111.89,107.85,110.36,110.36,4084975.0
2019-02-25,109.9,111.23,109.65,110.86,110.86,3112674.0
2019-02-26,110.72,111.9,110.67,111.04,111.04,2927654.0
2019-02-27,110.93,111.2,110.42,111.13,111.13,2620930.0
2019-02-28,110.74,111.09,109.99,110.2,110.2,2843575.0
2019-03-01,110.94,112.37,110.35,112.13,112.13,3904160.0
2019-03-04,112.72,112.9,109.81,110.48,110.48,2731050.0
2019-03-05,109.89,110.85,109.01,109.97,109.97,3150966.0000000005
2019-03-06,109.83,110.01,108.33,108.85,108.85,2679533.0
2019-03-07,108.65,109.03,106.22,106.86,106.86,3979948.0
2019-03-08,106.19,106.73,104.94,106.68,106.68,2648883.0
2019-03-11,106.87,108.92,106.79,108.83,108.83,2963374.0
2019-03-12,109.08,109.84,108.62,109.01,109.01,2549594.0
2019-03-13,109.72,111.73,109.58,110.86,110.86,3323786.0
2019-03-14,111.16,111.18,110.08,110.88,110.88,2539575.0
2019-03-15,110.85,111.25,109.42,109.52,109.52,4874437.0
2019-03-18,109.55,110.87,109.5,110.69,110.69,2394675.0
2019-03-19,110.8,111.02,110.11,110.35,110.35,2940813.0
2019-03-20,108.33,109.0,106.5,107.92,107.92,4199058.0
2019-03-21,107.27,109.97,106.93,109.8,109.8,1820318.0
2019-03-22,109.27,109.585,107.3,107.35,107.35,2727867.0
2019-03-25,107.07,107.46,106.34,106.9,106.9,2088191.0
2019-03-26,107.69,108.79,107.28,108.41,108.41,2204468.0
2019-03-27,108.5,109.139,108.16,108.98,108.98,1911333.0
2019-03-28,109.31,110.41,109.02,110.3,110.3,1621022.0
2019-03-29,111.0,112.032,110.93,111.74,111.74,3428646.0
2019-04-01,113.19,114.78,112.9,114.43,114.43,3721746.0
2019-04-02,114.38,114.55,113.11,113.68,113.68,2456380.0
