Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.64,93.65,91.64,93.34,93.34,8152732.999999999
2019-01-03,93.21,94.71,92.7,92.86,92.86,8277288.999999999
2019-01-04,93.21,93.66,92.69,93.44,93.44,8029144.0
2019-01-07,93.62,95.17,93.18,94.54,94.54,7789701.0
2019-01-08,95.06,95.755,93.91,95.2,95.2,7200912.0
2019-01-09,95.71,96.14,94.77,94.89,94.89,6272293.0
2019-01-10,93.88,94.98,93.12,94.96,94.96,9396271.0
2019-01-11,94.99,95.29,94.55,94.84,94.84,5394592.0
2019-01-14,94.48,95.45,94.28,94.95,94.95,7085094.0
2019-01-15,95.47,96.6,95.38,96.25,96.25,7058230.0
2019-01-16,95.93,96.86,95.825,96.35,96.35,5409950.0
2019-01-17,96.32,97.21,96.16,96.74,96.74,5614489.0
2019-01-18,96.95,98.199,96.85,97.73,97.73,6120643.0
2019-01-22,97.15,98.43,96.78,97.49,97.49,8063202.0
2019-01-23,98.87,99.35,97.53,98.71,98.71,8345750.0
2019-01-24,98.2,98.46,96.43,98.36,98.36,7609746.0
2019-01-25,98.75,98.91,96.75,96.94,96.94,7222089.0
2019-01-28,96.53,97.07,96.08,97.06,97.06,5875780.999999999
2019-01-29,96.77,97.159,96.51,96.71,96.71,5253370.0
2019-01-30,96.68,96.8,94.26,94.8,94.8,11849337.0
2019-01-31,94.63,96.87,94.63,95.83,95.83,14722988.0
2019-02-01,95.92,96.0,93.11,93.86,93.86,12591922.0
2019-02-04,93.86,94.77,93.35,94.77,94.77,7268629.0
2019-02-05,95.25,95.94,95.02,95.6,95.6,6099856.999999999
2019-02-06,95.43,96.01,95.22,95.64,95.64,4264855.0
2019-02-07,95.11,96.82,95.0,96.73,96.73,7010368.0
2019-02-08,96.34,96.69,95.14,95.58,95.58,6169180.0
2019-02-11,95.65,96.35,95.64,96.2,96.2,5542761.0
2019-02-12,96.82,97.17,96.5,96.97,96.97,5881251.999999999
2019-02-13,97.3,98.0,97.09,97.94,97.94,5458532.0
2019-02-14,97.68,99.2,97.02,98.52,98.52,7200761.0
2019-02-15,98.98,100.0,98.855,99.99,99.99,9480983.0
2019-02-19,102.38,104.18,102.07,102.2,102.2,20697252.0
2019-02-20,101.81,102.34,98.65,99.88,99.88,17631790.0
2019-02-21,99.66,99.921,98.91,99.39,99.39,6413163.0
2019-02-22,99.82,100.16,99.14,99.55,99.55,8086946.0
2019-02-25,100.12,100.13,99.05,99.12,99.12,9234970.0
2019-02-26,99.02,99.06,97.87,98.69,98.69,8488088.0
2019-02-27,98.12,98.39,97.59,98.11,98.11,7902307.0
2019-02-28,98.11,99.47,97.77,98.99,98.99,11375927.0
2019-03-01,99.47,99.56,97.12,97.93,97.93,10352471.0
2019-03-04,98.12,98.59,97.37,97.85,97.85,7683837.0
2019-03-05,98.13,99.19,98.091,98.34,98.34,6119520.0
2019-03-06,98.27,99.0,97.86,98.26,98.26,4696686.0
2019-03-07,97.71,98.2,97.235,97.45,97.45,6126558.0
2019-03-08,97.55,98.42,97.0,97.59,97.59,5659344.0
2019-03-11,98.04,98.58,97.82,98.48,98.48,5345255.0
2019-03-12,98.53,98.74,98.05,98.37,98.37,5070769.0
2019-03-13,98.7,99.35,98.39,99.03,99.03,5482267.000000001
