date,FSI,NFP,ICI,TY10,CCI,EPU,GDP,UR,M2,CPI,GPR,M1,Manu PMI,Serv PMI
2020-01-01,1.75,5.3,55.9,3.1463,126.4,755.26,209671.1,5.61,2023066.49,5.38,114.53,545531.79,50.0,53.1
2020-01-02,1.75,5.3,55.9,3.1446,126.4,755.26,209671.1,5.61,2023066.49,5.38,163.18,545531.79,50.0,53.1
2020-01-03,1.75,5.3,55.9,3.1463,126.4,755.26,209671.1,5.61,2023066.49,5.38,80.79,545531.79,50.0,53.1
2020-01-06,1.75,5.3,55.9,3.132,126.4,755.26,209671.1,5.61,2023066.49,5.38,251.99,545531.79,50.0,53.1
2020-01-07,1.75,5.3,55.9,3.1375,126.4,755.26,209671.1,5.61,2023066.49,5.38,413.46,545531.79,50.0,53.1
2020-01-08,1.75,5.3,55.9,3.1296,126.4,755.26,209671.1,5.61,2023066.49,5.38,180.61,545531.79,50.0,53.1
2020-01-09,1.75,5.3,55.9,3.1159,126.4,755.26,209671.1,5.61,2023066.49,5.38,394.46,545531.79,50.0,53.1
2020-01-10,1.75,5.3,55.9,3.0816,126.4,755.26,209671.1,5.61,2023066.49,5.38,167.3,545531.79,50.0,53.1
2020-01-13,1.75,5.3,55.9,3.0831,126.4,755.26,209671.1,5.61,2023066.49,5.38,152.73,545531.79,50.0,53.1
2020-01-14,1.75,5.3,55.9,3.0961,126.4,755.26,209671.1,5.61,2023066.49,5.38,131.78,545531.79,50.0,53.1
2020-01-15,1.75,5.3,55.9,3.0895,126.4,755.26,209671.1,5.61,2023066.49,5.38,153.53,545531.79,50.0,53.1
2020-01-16,1.75,5.3,55.9,3.0934,126.4,755.26,209671.1,5.61,2023066.49,5.38,145.95,545531.79,50.0,53.1
2020-01-17,1.75,5.3,55.9,3.0809,126.4,755.26,209671.1,5.61,2023066.49,5.38,129.82,545531.79,50.0,53.1
2020-01-20,1.75,5.3,55.9,3.0558,126.4,755.26,209671.1,5.61,2023066.49,5.38,119.12,545531.79,50.0,53.1
2020-01-21,1.75,5.3,55.9,3.0765,126.4,755.26,209671.1,5.61,2023066.49,5.38,119.33,545531.79,50.0,53.1
2020-01-22,1.75,5.3,55.9,3.047,126.4,755.26,209671.1,5.61,2023066.49,5.38,77.99,545531.79,50.0,53.1
2020-01-23,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,93.07,545531.79,50.0,53.1
2020-01-24,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,51.96,545531.79,50.0,53.1
2020-01-27,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,72.01,545531.79,50.0,53.1
2020-01-28,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,99.59,545531.79,50.0,53.1
2020-01-29,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,47.02,545531.79,50.0,53.1
2020-01-30,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,188.07,545531.79,50.0,53.1
2020-01-31,1.75,5.3,55.9,3.0287,126.4,755.26,209671.1,5.61,2023066.49,5.38,73.98,545531.79,50.0,53.1
2020-02-03,1.75,6.2,54.3,2.9216,118.9,646.37,209671.1,5.61,2030830.42,5.17,107.52,552700.73,35.7,30.1
2020-02-04,1.75,6.2,54.3,2.8354,118.9,646.37,209671.1,5.61,2030830.42,5.17,143.61,552700.73,35.7,30.1
2020-02-05,1.75,6.2,54.3,2.8687,118.9,646.37,209671.1,5.61,2030830.42,5.17,68.35,552700.73,35.7,30.1
2020-02-06,1.75,6.2,54.3,2.8583,118.9,646.37,209671.1,5.61,2030830.42,5.17,90.63,552700.73,35.7,30.1
2020-02-07,1.75,6.2,54.3,2.8245,118.9,646.37,209671.1,5.61,2030830.42,5.17,78.96,552700.73,35.7,30.1
2020-02-10,1.75,6.2,54.3,2.8014,118.9,646.37,209671.1,5.61,2030830.42,5.17,24.76,552700.73,35.7,30.1
2020-02-11,1.75,6.2,54.3,2.8017,118.9,646.37,209671.1,5.61,2030830.42,5.17,90.26,552700.73,35.7,30.1
2020-02-12,1.75,6.2,54.3,2.8214,118.9,646.37,209671.1,5.61,2030830.42,5.17,62.03,552700.73,35.7,30.1
2020-02-13,1.75,6.2,54.3,2.8331,118.9,646.37,209671.1,5.61,2030830.42,5.17,58.85,552700.73,35.7,30.1
2020-02-14,1.75,6.2,54.3,2.8352,118.9,646.37,209671.1,5.61,2030830.42,5.17,89.18,552700.73,35.7,30.1
2020-02-17,1.75,6.2,54.3,2.8883,118.9,646.37,209671.1,5.61,2030830.42,5.17,84.65,552700.73,35.7,30.1
