Ticker,Sector,Stock Style Box
002410,Information Technology,Mid Growth
002821,Consumer Discretionary,Small Growth
300122,Health Care,Mid Growth
300888,Information Technology,Small Growth
002202,Information Technology,Small Growth
002001,Financials,Large Core
002607,Consumer Discretionary,Mid Growth
000776,Financials,Large Core
000166,Financials,Large Core
300450,Industrials,Mid Growth
002600,Consumer Discretionary,Mid Core
300124,Industrials,Mid Growth
002007,Health Care,Mid Growth
002601,Information Technology,Mid Growth
000002,Real Estate,Large Value
002371,Information Technology,Mid Growth
002415,Information Technology,Large Growth
300866,Consumer Discretionary,Mid Growth
000001,Financials,Large Core
002414,Information Technology,Mid Growth
000066,Information Technology,Large Growth
003816,Financials,Large Core
000338,Industrials,Large Core
000661,Health Care,Large Growth
002466,Materials,Mid Core
300750,Consumer Discretionary,Large Growth
002841,Industrials,Mid Core
000703,Energy,Mid Core
300142,Consumer Staples,Large Core
300433,Materials,Small Core
002049,Information Technology,Mid Growth
002459,Industrials,Mid Growth
000538,Health Care,Large Core
002475,Information Technology,Large Growth
300999,Consumer Staples,Large Core
300033,Energy,Small Value
300782,Information Technology,Small Growth
000100,Information Technology,Mid Growth
002064,Industrials,Small Core
002460,Materials,Mid Core
300595,Health Care,Small Growth
002304,Consumer Staples,Large Core
000063,Information Technology,Large Growth
300144,Consumer Discretionary,Small Growth
000895,Consumer Staples,Large Core
002714,Consumer Staples,Mid Growth
300408,Information Technology,Mid Growth
000301,Industrials,Mid Core
002271,Information Technology,Mid Growth
300347,Health Care,Mid Growth
002311,Industrials,Mid Core
300558,Health Care,Small Growth
300014,Health Care,Small Growth
002241,Information Technology,Mid Growth
002916,Information Technology,Small Growth
000708,Materials,Mid Core
300015,Health Care,Mid Growth
300759,Consumer Discretionary,Mid Growth
300003,Health Care,Mid Growth
300413,Communication Services,Mid Growth
001979,Real Estate,Large Value
000333,Consumer Discretionary,Large Core
000858,Consumer Staples,Large Core
002120,Industrials,Mid Growth
000938,Information Technology,Large Growth
002493,Materials,Large Core
300760,Health Care,Large Growth
000069,Industrials,Large Core
300628,Materials,Mid Core
002044,Health Care,Mid Growth
002050,Industrials,Mid Core
002736,Financials,Large Core
002252,Health Care,Mid Growth
002938,Health Care,Large Growth
300601,Information Technology,Small Growth
002709,Consumer Staples,Small Value
000651,Consumer Discretionary,Large Core
000876,Consumer Staples,Mid Core
000725,Information Technology,Large Core
000568,Consumer Staples,Large Core
300498,Information Technology,Small Growth
002236,Information Technology,Mid Growth
002008,Industrials,Small Growth
002791,Consumer Staples,Mid Core
300274,Information Technology,Mid Growth
000596,Consumer Staples,Large Core
002142,Financials,Large Value
002624,Consumer Discretionary,Mid Growth
300896,Information Technology,Mid Growth
300316,Health Care,Small Growth
000768,Industrials,Large Core
002157,Industrials,Mid Core
000783,Financials,Large Value
300529,Information Technology,Mid Growth
000963,Health Care,Small Growth
002812,Materials,Mid Growth
000977,Information Technology,Mid Growth
300059,Financials,Large Growth
300677,Information Technology,Mid Growth
002027,Health Care,Mid Growth
002594,Consumer Discretionary,Large Growth
002230,Information Technology,Large Growth
000625,Consumer Discretionary,Large Core
002032,Industrials,Mid Growth
000157,Industrials,Large Core
300676,Industrials,Small Growth
000786,Real Estate,Mid Core
002352,Industrials,Large Growth
000800,Consumer Discretionary,Mid Core
002568,Consumer Staples,Mid Growth
000425,Industrials,Large Core
002555,Consumer Staples,Mid Core
002179,Industrials,Mid Core
